"age_NA","ageolder_BP","ageyounger_BP","depth","Adenocarpus","Alnus","Amaranthaceae undif.","Angelica palustris-type","Anthemideae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Calluna","Campanulaceae","Cardueae undif.","Carum verticillatum","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Conopodium majus","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Erica t.","Fern","Filipendula t.","Frangula","Fraxinus","Galium t.","Genisteae","Gentiana t.","Halimium/Tuberaria","Hepaticae","Hypericum undif.","Ilex","Juglans","Lamiaceae undif.","Linum t.","Lycopodium spike","Lycopodium tablets","Lysimachia","Lythrum","Mercurialis","Musci","Olea t.","Paronychieae","Petaloid monocot","Phillyrea","Physospermum cornubiense","Pinus nigra/sylvestris t.","Pinus pinaster","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Potentilla t.","Quercus undif.","Ranunculaceae undif.","Rosa t.","Salix","Sambucus","Sanguisorba t.","Saxifraga t.","Scrophulariaceae undif.","Spergularia t.","Thymelaeaceae undif.","Trifolium t.","Ulmus t.","Valerianella","Vitis"
NA,NA,NA,"70","0","4","0","0","0","2","0","0","0","1","17","0","55","0","0","3","0","0","0","0","0","0","0","1","0","1","0","27","9","0","0","1","1","4","1","1","0","0","0","0","0","0","113","0","0","0","0","1","0","0","0","0","0","9","8","0","1","0","71","0","1","41","4","0","0","0","0","0","0","0","0","0","0","0","0"
NA,NA,NA,"75","0","5","2","0","0","7","0","0","0","0","17","1","81","0","0","1","2","0","0","0","0","1","0","1","0","3","0","45","9","0","0","0","3","5","4","0","0","0","0","0","0","2","273","0","0","0","0","0","0","0","0","0","0","14","6","0","2","0","133","0","2","103","70","0","1","0","0","0","0","0","0","0","0","1","0"
NA,NA,NA,"60","0","5","0","0","0","1","0","2","0","1","26","1","87","1","0","16","2","0","0","0","0","0","0","3","0","11","1","26","6","0","0","3","1","57","3","4","0","0","0","0","0","0","203","0","0","0","0","1","0","0","1","2","1","3","11","0","1","0","188","1","1","79","6","0","2","0","0","2","0","1","0","0","0","0","0"
NA,NA,NA,"50","0","31","1","0","0","7","0","1","1","3","32","0","276","1","0","31","4","0","3","1","0","0","1","2","0","0","2","73","9","1","0","0","1","3","11","0","0","0","2","0","0","0","83","0","0","0","0","14","2","0","5","6","0","6","36","0","2","0","50","0","2","169","5","0","1","0","0","0","0","0","0","0","0","0","0"
NA,NA,NA,"20","0","10","1","0","0","10","0","2","1","2","9","1","5","0","0","0","6","1","0","0","0","1","0","8","0","1","0","254","5","0","0","0","5","17","0","4","0","1","0","0","0","0","85","0","0","0","1","1","1","0","4","0","0","1","0","0","3","0","198","2","4","42","9","1","1","0","0","1","0","0","1","0","0","0","0"
NA,NA,NA,"40","0","35","1","2","11","2","0","5","0","0","21","0","74","5","0","0","4","0","0","6","0","1","3","7","0","1","5","117","13","0","0","0","3","3","5","3","0","0","1","0","0","0","62","0","0","1","1","0","2","0","24","6","0","7","31","0","1","0","194","2","31","126","8","0","1","0","0","0","0","0","0","0","1","0","0"
NA,NA,NA,"15","0","11","0","0","1","6","0","14","0","6","8","0","19","4","0","0","8","4","0","2","0","0","1","27","1","1","0","306","5","0","1","1","15","20","2","4","0","0","2","1","0","0","153","0","0","0","0","1","1","2","4","0","0","0","0","0","1","2","447","0","2","58","5","0","0","0","0","0","0","1","0","0","0","0","1"
NA,NA,NA," 5","0","20","0","0","2","4","0","3","1","2","22","2","17","1","0","0","34","1","0","0","1","0","1","1","0","0","0","642","17","0","0","0","11","3","0","32","1","0","0","3","0","0","163","0","0","0","0","1","13","2","3","0","0","0","13","0","7","0","553","7","1","79","4","2","0","0","0","3","0","1","2","0","0","0","0"
NA,NA,NA,"30","0","27","0","0","1","10","1","3","1","2","27","0","195","0","0","0","3","3","2","0","0","0","0","21","0","3","1","172","15","0","0","0","6","14","9","3","0","0","0","0","1","0","156","0","1","0","0","0","2","1","10","3","0","3","8","1","4","0","234","2","34","132","15","1","0","1","0","1","1","0","0","0","0","0","0"
NA,NA,NA,"10","1","16","0","0","3","16","0","5","1","1","15","2","6","4","1","0","7","7","3","6","0","1","1","23","0","1","0","313","8","0","0","0","21","23","4","10","0","2","0","0","0","0","67","0","0","0","0","2","6","1","4","2","0","2","4","0","6","0","718","5","5","83","15","1","1","1","1","4","0","3","4","1","0","0","0"
