"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Agrimonia","Algae","Alnus","Amaranthaceae undif.","Anagallis t.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Apium t.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Calligonum","Callitriche","Campanulaceae","Cannabis","Cardueae undif.","Caryophyllaceae undif.","Castanea","Celtis","Centaurea","Ceratophyllum","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyclamen","Cyperaceae","Dipsacaceae","Echinops","Echium t.","Ephedra","Erica t.","Eucalyptus","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Ficus","Fraxinus","Fungi","Genisteae","Geranium","Hedera","Hypericum undif.","IsoÃ«tes","Juglans","Juncaceae","Lamiaceae undif.","Lemnaceae","Linum t.","Lotus t.","Lycopodium spike","Lycopodium tablets","Lysimachia","Lythrum","Mercurialis","Myriophyllum spicatum/verticillatum t.","Olea t.","Paronychieae","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Prunus t.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Riccia","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Scrophulariaceae undif.","Searsia","Secale","Solanaceae undif.","Solanum","Sparganium","Spergularia t.","Thalictrum","Theligonum","Thymelaeaceae undif.","Trifolium t.","Typha","Ulmus t.","Urtica t.","Utricularia","Valeriana t.","Valerianella","Vitis"
" -56.00",NA,NA,"  0","1","0","0","1","2","0","1","0","11","0","39","5","9","0","7","0","0","2","7","0","0","0","0","0","3","1","4","0","1","1","22","1","0","1","0","6","0","1","39","0","0","0","0","3","1","0","0","0","0","19","0","1","2","2","0","1","0","1","0","0","1","20","0","0","188","0","0","1","0","0","15","1","1","1","0","0","55","0","16","225","4","0","0","10","0","0","36","2","7","11","1","0","0","8","30","0","0","2","0","1","0","0","32","1","0","0","1","4","54","1","0","0","0","0","1"
"  15.83",NA,NA," 10","1","0","1","0","2","0","2","0","7","0","17","0","3","1","16","0","0","1","4","0","0","0","0","0","4","0","8","0","1","0","40","1","0","1","0","1","2","0","28","1","0","1","1","2","3","0","0","0","0","5","0","1","8","1","0","0","0","2","0","0","0","3","1","0","101","0","0","1","0","0","3","0","0","4","1","0","134","1","137","147","5","0","6","2","0","1","19","1","5","12","0","0","0","5","16","0","1","2","0","0","1","0","8","0","0","1","0","21","19","0","1","0","0","0","0"
"  87.66",NA,NA," 20","1","0","0","0","3","0","6","0","54","0","18","0","2","7","14","0","0","0","12","0","0","0","0","0","5","2","1","0","0","0","121","4","0","0","0","1","1","0","11","0","0","0","0","1","0","0","0","0","0","77","0","0","9","0","0","0","1","25","0","0","2","1","0","0","143","0","1","0","0","0","9","2","0","0","1","0","1","0","15","208","13","1","0","2","0","0","9","1","1","0","3","0","0","1","52","0","0","1","0","0","0","0","0","0","0","1","0","7","2","0","2","0","0","0","0"
" 159.50",NA,NA," 30","1","0","0","0","90","0","7","0","7","0","48","7","7","1","2","0","0","2","6","0","0","0","0","0","1","2","2","0","2","52","13","0","1","0","0","0","0","1","37","0","0","2","0","3","0","0","0","0","0","27","1","2","20","0","0","2","0","5","0","1","0","24","0","0","185","0","0","5","0","0","6","9","0","1","1","0","2","2","4","270","4","0","0","15","0","0","34","2","2","11","0","4","2","12","13","4","0","0","0","0","0","2","37","0","1","0","0","5","48","1","2","0","0","0","2"
" 231.33",NA,NA," 40","1","0","0","0","8","0","8","0","9","0","29","2","11","1","6","0","0","0","10","1","0","2","0","0","2","0","1","0","0","0","8","0","0","1","0","3","0","0","46","0","0","4","0","1","0","1","0","0","0","10","0","3","20","1","0","1","1","0","1","1","1","28","0","0","593","0","1","2","0","0","9","2","0","0","0","0","2","3","13","298","5","1","0","15","0","1","50","3","15","3","0","1","0","6","31","0","0","0","0","0","0","0","69","0","1","0","0","1","94","0","4","0","0","0","2"
" 303.16",NA,NA," 50","1","0","0","0","0","1","5","0","2","1","14","1","7","1","2","0","1","0","2","1","1","1","0","0","0","1","0","0","2","87","5","0","0","0","0","1","0","2","24","0","0","2","0","2","0","0","0","0","0","16","0","0","5","0","0","0","0","0","0","0","0","55","0","0","293","0","0","0","3","0","2","3","0","1","0","0","1","2","2","160","1","0","0","8","0","0","36","6","9","3","0","0","1","3","13","0","0","0","1","0","0","0","130","0","0","0","0","2","55","0","0","1","0","0","1"
" 374.99",NA,NA," 60","1","0","0","0","0","0","3","0","12","0","35","2","5","0","6","0","0","0","9","0","0","0","0","0","1","0","0","1","1","59","9","0","0","0","0","1","0","0","11","0","0","4","0","1","0","0","2","0","0","18","0","0","21","0","0","4","1","2","0","0","3","13","0","0","172","0","0","1","1","0","4","1","0","0","0","1","2","2","7","199","3","0","0","16","6","1","64","2","6","7","0","4","1","6","15","1","0","1","0","1","0","0","29","0","0","1","0","4","26","0","1","0","0","0","0"
" 461.19",NA,NA," 72","1","0","0","0","0","1","1","0","4","0","25","0","4","2","9","0","1","0","1","0","0","0","0","0","2","0","0","0","1","0","13","0","0","1","0","1","0","0","52","0","0","0","0","0","0","0","0","1","0","5","0","2","6","0","0","4","0","4","0","0","0","4","0","0","92","0","0","4","1","1","1","10","0","0","0","0","1","1","3","154","1","1","0","18","2","0","300","6","22","9","0","1","0","2","9","1","0","0","0","0","0","2","12","0","0","0","0","9","2","0","1","0","0","0","0"
" 518.65",NA,NA," 80","1","0","0","0","1","1","3","0","10","0","31","3","2","1","13","0","1","0","0","0","0","0","0","0","2","0","0","0","1","0","13","0","0","1","0","0","0","1","93","0","1","1","0","0","0","0","0","0","0","11","0","0","13","1","0","5","0","3","0","0","1","15","0","0","69","0","0","10","0","2","2","25","1","0","0","0","1","1","5","219","4","2","0","14","0","1","228","8","60","8","0","0","0","6","2","3","0","2","0","0","0","1","23","0","0","1","0","17","18","0","2","0","0","0","0"
" 590.49",NA,NA," 90","1","0","0","0","3","0","1","0","1","0","12","0","4","0","2","0","2","0","0","0","0","0","0","0","0","0","1","0","1","86","3","0","0","1","0","2","0","2","42","0","0","0","1","0","0","0","0","1","0","3","0","1","5","1","0","1","1","0","0","0","0","9","0","0","107","0","0","1","0","0","1","21","0","5","1","0","0","1","2","50","0","0","0","9","0","0","136","2","51","8","0","4","0","1","2","1","0","0","0","0","0","2","11","0","1","0","0","0","13","1","2","4","0","0","0"
