"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Abutilon t.","Acer","Acorus","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Buxus","Calligonum","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echinops","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Fagus","Fallopia","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","Genisteae","Geraniaceae undif.","Geranium","Hedera","HippophaÃ«","Hippuris","Hydrocharitaceae","Hypericum undif.","Ilex","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Leontice","Linum t.","Lonicera","Lotus t.","Lysimachia","Lythrum","Malva","Matthiola","Menyanthes","Mercurialis","Musci","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Nuphar","Nymphaea","Nymphoides","Olea t.","Onagraceae","Ononis t.","Papaver t.","Paronychieae","Pediastrum divergens","Pediastrum longicorne","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Pseudopediastrum brevicorne","Pseudopediastrum kawraiskyi","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnaceae undif.","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Searsia","Solanum","Sparganium","Spergularia t.","Taxus","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Valeriana t.","Viburnum","Viscum","Vitis","Ziziphus/Paliurus","cf. Lycopodium"
"2378","2713","2042","  70","   8","   0","   0","   0","   1","   5","  13","   8","   1","   0","   7","   5","   0","   2","   2","  98","   0","  21","   0","   0","   0","   0","   0","   0","  27","   3","   1","   1","   1","   0","   0","   1","   0","  32","   3","  58","   0","   0","   2","   8","   0","   0","   0","  14","   0","  13","   0","   0","  16","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4"," 186","   2","   3","   3","   3","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0","  70","   1","   6","   0","   0"," 156","   2","   5","   3","   0","   1","   0","   0"," 324","  43","   1","   0","   0","   0","   8","   0","   0","   6","   0","   0","   0","   0","  18","   0","   0","   0","   5","   0","   0","   3","  72","   0","   0","   0","   0","   0","   0","   1","   0"
"2716","3043","2395","  80","   3","   0","   1","   0","   0","  21","   7","  11","   0","   2","   9","   6","   0","   4","   1","  51","   0","   1","   0","   0","   0","   0","   0","   0","   4","   5","   0","   2","   3","   1","   0","   0","   0","  12","   0"," 130","   0","   0","   0","   6","   0","   0","   0","   2","   6","  10","   0","   0","   6","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","   9","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  40","   0","   8","   1","   1","   0","   0","   0","   0","   0","   0","   2","   1","   0","   0","  49","   1","   1","   0","   0"," 116","   1","  14","   0","   0","   0","   0","   0"," 199","  29","   3","   0","   0","   1","   3","   0","   0","   0","   0","   0","   0","   0","  25","   0","   0","   2","   3","   0","   0","   1","  50","   0","   0","   0","   0","   0","   0","   0","   0"
"3224","3538","2912","  95","   6","   0","   1","   0","   0","  39","  13","  12","   3","   4","  12","   5","   0","   9","   0","  76","   0","   6","   1","   0","   0","   0","   0","   0","   4","   3","   0","   5","   1","   0","   0","   0","   0","  25","   1"," 118","   0","   0","   0","  19","   0","   0","   0","   3","  39","  10","   0","   0","  12","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   2","   1","   2","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","  29","   1","   8","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  89","   0","   5","   1","   0"," 159","   0","  58","   0","   0","   0","   0","   0"," 203","  41","   4","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","  39","   0","   0","   3","   1","   1","   0","   6","  46","   0","   0","   0","   0","   0","   1","   0","   0"
"3562","3875","3255"," 105","   8","   0","   1","   0","   3","  15","   8","  15","   1","   2","  19","  11","   0","   9","   0","  92","   0","  11","   3","   0","   0","   0","   0","   0","   9","   5","   0","   1","  12","   0","   0","   0","   0","   9","   2"," 157","   0","   0","   0","  10","   0","   0","   7","   6","   0","  11","   0","   0","   7","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","  21","   0","  32","   0","   1","   0","   0","   0","   0","   0","   0","   3","   0","   1","   0","  96","   1","   8","   0","   0"," 347","   3","  19","   0","   0","   0","   0","   0"," 286","  20","  10","   0","   1","   1","  15","   0","   0","   0","   0","   0","   0","   0","  65","   0","   0","   1","   2","   0","   1","   8","  52","   0","   0","   0","   0","   0","   2","   0","   0"
"3901","4217","3593"," 115","   6","   0","   1","   0","   0","  16","  13","  15","   0","   4","  32","  21","   0","  11","   0","  89","   0","   4","   2","   0","   1","   0","   1","   0","  14","   1","   0","   2","   1","   0","   1","   0","   2","  19","   1"," 104","   0","   0","   1","  12","   0","   0","   3","   5","   7","  10","   1","   0","   7","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","  33","   0","  24","   0","   3","   0","   0","   0","   0","   0","   0","   3","   1","   2","   0","  74","   3","   3","   0","   0"," 109","   1","  34","   0","   1","   0","   0","   0"," 193","  32","   9","   0","   0","   0","   2","   0","   0","   1","   0","   0","   0","   0","  49","   0","   0","   1","   1","   0","   0","   3","  58","   0","   0","   0","   0","   0","   1","   0","   0"
"4239","4560","3923"," 125","   5","   0","   0","   0","   2","  70","   4","  16","   0","   0","  15","   6","   1","   3","   0","  65","   0","   9","   5","   0","   0","   0","   0","   0","   2","   5","   0","   4","  10","   0","   0","   0","   0","   7","   0"," 337","   0","   0","   1","   3","   0","   0","   0","   4","   0","  17","   0","   0","   3","   3","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   3","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","  21","   0","  56","   0","   2","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","  73","   0","   8","   0","   0"," 265","  11","  17","   0","   3","   0","   0","   0"," 154","   1","  12","   0","   0","   1","   2","   0","   0","   1","   0","   0","   0","   0"," 141","   0","   0","   1","   2","   0","   2","   7","  52","   0","   0","   0","   0","   0","   2","   0","   0"
"4408","4733","4086"," 130","   1","   0","   0","   0","   0","  13","   4","  18","   0","   2","  23","  13","   0","  12","   0","  46","   0","   2","   1","   0","   0","   0","   0","   0","   5","   2","   0","   1","   0","   0","   0","   0","   0","  19","   0"," 103","   0","   0","   0","  13","   0","   0","   0","   0","   2","  17","   0","   0","   3","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","  38","   1","  53","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  61","   0","   4","   0","   0"," 123","   6","   8","   0","   0","   0","   0","   0"," 146","  10","   4","   0","   1","   1","   1","   0","   0","   0","   0","   0","   0","   0"," 136","   0","   0","   2","   0","   0","   2","   4","  50","   0","   0","   0","   0","   0","   5","   0","   0"
"4645","4978","4313"," 137","  16","   0","   0","   0","   1","   3","   2","  11","   0","   0","   7","   3","   0","   3","   0","  36","   0","   6","   1","   0","   0","   0","   0","   0","   6","   1","   0","   3","   1","   0","   0","   0","   1","  11","   0","  32","   0","   0","   0","   5","   0","   0","   3","   3","   0","  12","   0","   0","   2","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  20","   0","  19","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  53","   3","   2","   0","   0","  92","   0","   0","   0","   0","   0","   0","   0"," 117","   0","   2","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","  41","   0","   0","   0","   4","   0","   0","   5","  20","   0","   0","   0","   1","   0","   1","   0","   0"
"5085","5442","4730"," 150","  16","   0","   2","   0","   0","   4","   3","   6","   0","   0","   4","   2","   0","   3","   0","  43","   0","   0","   0","   0","   1","   0","   0","   0","   6","   2","   0","   1","   2","   0","   0","   0","   0","  11","   0","  59","   0","   0","   0","   2","   0","   0","   1","   8","   0","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  19","   1","  26","   0","   1","   0","   0","   0","   0","   0","   0","  10","   0","   0","   0"," 105","   0","   3","   0","   0"," 114","   3","   3","   0","   0","   0","   0","   0"," 132","   4","  17","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0","   0","  16","   0","   0","   0","   3","   0","   1","   3","  30","   0","   0","   0","   0","   0","   1","   0","   0"
"5490","5818","5161"," 160","   7","   0","   0","   0","   0","   6","   8","  14","   0","   3","  16","   3","   0","   6","   0","  79","   0","   6","   0","   0","   0","   1","   0","   0","  13","   0","   0","   5","   2","   0","   0","   0","   0","  19","   0"," 165","   0","   0","   1","  10","   0","   0","   3","   7","   4","  21","   0","   0","   7","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","  32","   1","   1","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","  92","   1","  24","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  58","   0","  16","   0","   0"," 215","   4","   9","   1","   0","   0","   0","   0"," 235","   7","   8","   0","   0","   1","   1","   0","   0","   3","   0","   0","   0","   0","  21","   0","   0","   0","   6","   0","   2","   7","  60","   0","   0","   0","   0","   0","   2","   0","   0"
