"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Cannabaceae undif.","Caryophyllaceae undif.","Cichorieae","Cistaceae","Coriaria","Corylus","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Fabaceae Undif.","Fraxinus","Geraniaceae undif.","Jasminum","Lamiaceae undif.","Ligustrum","Myriophyllum undif.","Olea t.","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosaceae undif.","Rubiaceae undif.","Typha","Ulmus t.","Unknown","Vitis"
"1029","1146"," 886","  10","   0","   0","   0"," 306","   3"," 250","   7","   0","   0","   0","   1","  23","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0","   1","  13","   3","  42","   0","   5","   6","   0","   3","   0","   1","   0","   0","   3","   0","   0","   3","   0"
"1244","1353","1111","  20","   0","   0","   0"," 485","   4","  15","  19","   0","   0","   0","   2","  43","   0","   0","   0","   0","   2","   4","   0","   0","   0","   0","   0","   0","   0","   0","  11","   0","  68","   0","  12","   5","   0","   6","   1","   6","   0","   0","   0","   0","   1","   2","   0"
"1458","1561","1335","  30","   1","   0","   0"," 424","   0","   2","   4","   0","   1","   0","   0","   9","   0","   0","   0","   0","   0","   1","   1","   0","   0","   1","   0","   0","   0","   0","   6","   1","  11","   1","   0","   4","   0","  11","   1","   3","   0","   0","   0","   0","   0","   6","   1"
"1673","1771","1558","  40","   0","   0","   0","  69","   0","   7","   1","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","  37","   0","   2","   2","   0","  19","   0","   5","   0","   0","   0","   0","   0","   4","   0"
"1887","1983","1778","  50","   0","   0","   0"," 236","   0","   2","   7","   0","   0","   0","   0","  24","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  26","   0","   0","   0","   0","   8","   0","   5","   0","   0","   0","   0","   0","   0","   0"
"2102","2196","1994","  60","   0","   0","   0","1071","   2","   5","   2","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","  21","   7","   0","   0","   0","   0","   0","   0","   0","   3","   0","  37","   0","   3","   1","   0","   3","   1","  18","   0","   0","   0","   0","   0","   7","   0"
"2317","2413","2209","  70","   0","   0","   0"," 991","   3","  87","   6","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  11","   5","   0","   0","   0","   2","   0","   0","   0","  19","   0","  49","   0","   0","  11","   0","  21","   4","  26","   0","   0","   0","   0","   0","  24","   0"
"2531","2628","2420","  80","   0","   0","   0","1126","   0","  17","  21","   0","   0","   1","   0","   0","   1","   0","   0","   0","   2","  25","  21","   0","   0","   0","   0","   0","   0","   0","   2","   0","  27","   0","   0","   4","  11","   9","   1","   5","   0","   0","   0","   0","   0","  10","   7"
"2746","2847","2632","  90","   0","   0","   0"," 855","   0","   3","  11","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   3","  16","   1","   0","   0","   0","   0","   1","   0","  11","   0"," 169","   0","   0","   5","   0","   0","   5","  37","   0","   0","   0","   0","   0","   0","   0"
"2960","3067","2840"," 100","   0","   0","   0"," 702","   0","   6","   5","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   2","  10","   2","   0","   0","   0","   0","   0","   0","   7","   0","  89","   0","   1","   6","   0","   0","   2","  16","   0","   0","   0","   0","   0","   1","   0"
"3604","3747","3466"," 130","   0","   0","   2"," 913","   0","  11","   8","   0","   0","   0","   0","   6","   1","   0","   0","   0","   0","   8","  18","   0","   0","   0","   0","   0","   0","   0","  11","   1"," 103","   0","  10","  12","   0","   0","   3","  40","   0","   0","   0","   0","   0","   0","   0"
"3819","3975","3672"," 140","   0","   0","   3","1510","   7","   8","   3","   0","   0","   0","   0","  11","   1","   0","   0","   0","   0","   5","  20","   1","   0","   0","   0","   0","   0","   0","   2","   2","  79","   0","   2","  15","   0","   0","   1","  51","   0","   0","   0","   0","   0","   0","   0"
"4033","4205","3877"," 150","   0","   0","   0"," 387","   2","  22","  10","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","  13","   0","   1","   0","   0","   0","   0","   0","  12","   0","  65","   0","  16","  38","   0","   0","   2","  71","   0","   0","   0","   0","   0","   1","   0"
"4248","4433","4077"," 160","   0","   0","   2"," 388","   1","  83","   2","   0","   1","   0","   0","   0","   3","   0","   0","   0","   3","   6","  39","   1","   0","   0","   0","   3","   0","   0","   6","   2","  29","   0","  16","  27","   5","   0","   3","  71","   0","   0","   0","   1","   0","   0","   0"
"4400","4585","4231"," 170","   0","   0","   1"," 383","   0"," 106","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","   2","   0","  30","   0","   0","   0","   0","   0","   0","   0","   6","   1","  41","   0","  10","  21","   5","   0","  16","  72","   0","   0","   0","   0","   0","   0","   0"
"4526","4700","4361"," 180","   0","   0","   1"," 677","   1","  68","   8","   0","   0","   0","   0","   2","   3","   0","   2","   0","   5","   3","  32","   0","   0","   0","   0","   0","   0","   0","   7","   4","  40","   0","  14","  15","   1","   3","  13"," 118","   0","   0","   0","   0","   0","   0","   0"
"4651","4801","4489"," 190","   0","   0","   2"," 576","   2","  33","   8","   0","   1","   0","   0","   0","   6","   0","   3","   0","   4","   8","  19","   1","   0","   0","   0","   0","   0","   0","  27","   3","  54","   0","  11","  20","   0","   0","  18","  88","   1","   0","   0","   1","   0","   4","   0"
"4777","4919","4622"," 200","   0","   0","   1"," 561","   1","  29","   4","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   2","  21","   0","   0","   0","   0","   0","   0","   0","  17","   5","  51","   0","  16","  35","   3","   0","   8"," 112","   0","   0","   1","   0","   0","   0","   0"
"4902","5038","4753"," 210","   0","   0","   0"," 682","   3","  38","   5","   1","   0","   0","   0","   0","   5","   1","   2","   0","   0","   4","  18","   5","   0","   0","   0","   0","   1","   0","  25","   3","  73","   0","   8","  11","   2","   0","   5","  82","   0","   0","   0","   0","   0","   0","   0"
"5028","5160","4883"," 220","   0","   0","   9"," 802","   3","  24","   0","   0","   0","   0","   0","   4","   0","   0","   1","   0","   3","   0","  12","   0","   0","   0","   0","   0","   0","   0","  30","   6"," 115","   0","  16","  26","   3","   0","  17"," 156","   0","   0","   1","   0","   0","   2","   0"
"5153","5283","5011"," 230","   0","   0","   0"," 532","   0","  44","   3","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   3","  24","   0","   0","   0","   0","   0","   0","   0","  43","   5"," 102","   0","   7","  23","   1","   0","   7"," 144","   0","   0","   0","   0","   0","   0","   0"
"5279","5408","5138"," 240","   0","   0","   0"," 582","   0","  21","   4","   0","   0","   0","   0","   0","   7","   0","   0","   0","   2","  15","  32","   0","   0","   0","   0","   0","   0","   0","  87","   7","  94","   0","   8","  18","   0","   0","   5"," 161","   0","   0","   0","   0","   1","   0","   0"
"5405","5535","5262"," 250","   0","   0","   2"," 367","   0","  12","   4","   0","   0","   0","   1","   0","   6","   0","   0","   0","   0","   2","  14","   1","   0","   0","   0","   0","   0","   0","  35","   6"," 118","   1","   6","  25","   0","   0","   8","  73","   0","   0","   0","   0","   0","   0","   0"
"5530","5664","5384"," 260","   0","   0","   2"," 302","   0","   0","   2","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  14","   0","   0","   0","   0","   0","   0","   0","  27","   5","  67","   0","   3","  31","   6","   0","  30","  67","   0","   0","   0","   0","   0","   1","   0"
"5656","5792","5505"," 270","   0","   0","   0"," 557","   0","  10","   2","   3","   5","   0","   0","   0","   4","   0","   0","   0","   0","   4","  16","   0","   0","   0","   0","   0","   0","   0","  46","   7","  94","   4","   6","  39","   6","   0","  29","  88","   0","   1","   0","   0","   0","   0","   0"
"5781","5920","5626"," 280","   0","   0","   0","1953","   3","  18","   4","   2","   0","   0","   0","   0","   0","   0","   0","   0","   2","   3","   9","   3","   0","   0","   0","   0","   0","   0","  12","   0","  74","   0","   0","   6","   0","   0","  33","  45","   0","   0","   0","   0","   0","   0","   0"
"5907","6050","5745"," 290","   0","   0","   0","1608","   7","  24","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   4","  16","   0","   0","   0","   0","   0","   0","   0","  84","   2","  83","   3","   2","   8","   0","   5","  78","  84","   0","   0","   0","   0","   0","   0","   0"
"6033","6182","5864"," 300","   0","   0","   0","1442","   6","   9","   0","   0","   0","   0","   0","   3","   3","   1","   0","   0","   7","   3","  18","   0","   0","   0","   0","   0","   0","   0","  67","  13","  96","   2","   3","   8","   0","   0","  22","  60","   0","   0","   0","   0","   0","   0","   0"
"6158","6316","5981"," 310","   1","   1","   0","1948","   2","   3","  16","   0","   2","   0","   0","   8","   5","   0","   0","   0","   7","  10","  21","   2","   0","   0","   0","   0","   0","   0","  54","  14"," 133","   0","   3","   4","   0","   1","   4","  47","   0","   0","   0","   0","   0","   0","   0"
"6409","6589","6216"," 330","   0","   0","   0","2282","  17","   3","   3","   0","   0","   0","   0","   6","   0","   0","   0","   2","   8","   9","   6","   2","   0","   0","   0","   0","   0","   0","  64","   2","  93","   3","   0","  12","   0","   2","   9","  32","   0","   0","   0","   0","   0","   2","   0"
"6661","6863","6449"," 350","   0","   0","   0","3044","   6","   2","   9","   0","   0","   0","   0","  34","   6","   0","   0","   0","  11","   5","  18","   0","   0","   0","   0","   0","   0","   0","  43","   7"," 149","   1","   4","  15","   0","   0","  31","  77","   0","   0","   0","   0","   0","   2","   0"
"6786","6999","6563"," 360","   1","   0","   0"," 442","   9","   4","   1","   0","   0","   0","   0","   1","   4","   0","   1","   0","   5","   4","  13","   0","   0","   1","   0","   0","   0","   0","   9","   7","  47","   4","   0","  13","   1","   3","  42","  29","   1","   0","   0","   0","   0","   2","   0"
