"sample_name","depth","Hagenia","Acacia t.","Acalypha","Alchemilla t.","Amaranthaceae undif.","Anthospermum","Apiaceae undif.","Araliaceae undif.","Asteroideae undif.","Bosqueia","Caryophyllaceae undif.","Celtis","Combretaceae","Cupressaceae","Cyperaceae","Dodonaea","Erica t.","Fagara","Galium t.","Illecebraceae","Indeterminable","Justicia t.","Lobelia","Macaranga","Mimulopsis","Monoletes","Morella","Myrsine","Myrtaceae undif.","Nuxia t.","Olea t.","Petaloid monocot","Plantago","Poaceae","Podocarpus","Prosopis t.","Prunus t.","Pterolobium","Ranunculaceae undif.","Rapanea","Rhamnaceae undif.","Rubia","Rumex t.","Thalictrum","Triletes","Urtica t."
NA," 80","  5","  0","  1"," 94","  2","  0"," 11","  1"," 16","  0","  2","  0","  2","  2","199","  0"," 40","  0","  0","  2","  8","  0","  1","  0","  0","  4","  1","  0","  0","  0","  7"," 12","  0","138"," 58","  0","  0","  0","  0","  1","  0"," 16","  1","  4","  0","  0"
NA,"  5","  8","  0","  0"," 64","  1","  0","  2","  0"," 10","  0","  0","  1","  1"," 23","974","  1"," 23","  0","  0","  1","  4","  0","  0","  0","  0","  1","  0","  0","  0","  1"," 16","  7","  2"," 93"," 12","  0","  1","  0","  0","  3","  0","  2","  0","  0","  1","  7"
NA," 15","  9","  0","  2"," 41","  5","  0","  0","  0","  9","  3","  2","  3","  1"," 19","919","  2"," 14","  0","  0","  4","  6","  0","  0","  0","  0","  2"," 12","  0","  1","  2"," 11","  7","  0","101"," 10","  0","  2","  0","  0","  0","  0","  0","  1","  1","  0","  6"
NA," 40","  5","  0","  0"," 60","  4","  0","  1","  1","  5","  3","  3","  3","  1","  0","737","  4","  9","  0","  0","  1","  8","  7","  0","  0","  0","  4","  0","  1","  0","  1","  7","  4","  0","108"," 17","  0","  0","  1","  0","  0","  0","  1","  1","  0","  1","  6"
NA," 60","  5","  0","  2","102","  2","  0","  9","  0"," 18","  0","  1","  0","  2","  1","489","  4"," 16","  0","  0","  4"," 16","  0","  0","  0","  0","  4","  1","  0","  0","  0"," 16","  3","  0","166"," 77","  0","  0","  0","  0","  0","  1"," 22","  0","  1","  0","  2"
NA,"100","  6","  0","  2","129","  4","  0"," 15","  1"," 17","  0","  1","  1","  1","  7","188","  1"," 28","  1","  1","  8"," 11","  0","  0","  0","  0","  2","  0","  0","  0","  0"," 15"," 21","  0","202"," 71","  0","  0","  0","  0","  1","  0"," 11","  0","  0","  1","  4"
NA,"120",NA,"  0"," 56","  0","  4","  0"," 46","  0"," 28","  2","  4","  0","  5","  1"," 77","  0","102","  0","  1","  6"," 11","  0","  0","  2","  0","  9","  0","  0","  0","  0","  8","  8","  0","186"," 72","  1","  1","  1","  4","  1","  0","  2","  0","  0","  6","  0"
NA,"140",NA,"  1","  0"," 98","  1","  4"," 11","  0"," 12","  1","  1","  0","  2","  3"," 55","  0"," 22","  0","  0","  4"," 12","  0","  0","  2","  1","  0","  0","  1","  0","  0"," 12","  9","  0","200","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4"
NA,"160",NA,"  0","  1"," 34","  5","  0"," 14","  1","  4","  0","  0","  0","  0","  0"," 41","  0"," 16","  0","  0","  2","  9","  0","  0","  1","  0","  0","  0","  0","  1","  0","  5","  1","  0","113"," 17","  0","  0","  0","  0","  3","  1","  2","  0","  0","  2","  4"
NA,"180",NA,"  0","  1"," 19","  1","  0"," 12","  0","  6","  2","  0","  0","  0","  4"," 17","  0"," 28","  0","  0","  2","  4","  0","  0","  1","  0","  4","  0","  0","  0","  0","  3","  3","  0","100"," 15","  1","  0","  0","  1","  7","  0","  0","  0","  0","  1","  2"
NA,"200","  2","  0","  2"," 31","  0","  1","  5","  0","  7","  0","  1","  0","  0","  3"," 50","  0"," 16","  1","  0","  2"," 14","  0","  0","  0","  0","  2","  0","  0","  1","  0","  1","  9","  0","110"," 12","  0","  0","  0","  0","  9","  0","  3","  0","  0","  2","  1"
NA,"220","  1","  0","  0"," 24","  0","  0"," 10","  0","  6","  0","  1","  0","  1","  0"," 41","  0"," 20","  0","  0","  0","  4","  0","  0","  2","  0","  2","  1","  0","  0","  1","  1","  9","  0"," 89"," 14","  0","  0","  0","  1"," 10","  0","  3","  0","  1","  4","  0"
NA,"240",NA,"  0","  0"," 14","  2","  0"," 19","  0"," 10","  0","  0","  0","  0","  1"," 32","  0"," 19","  1","  0","  0","  4","  0","  0","  0","  0","  4","  0","  0","  0","  0","  2","  4","  0"," 80","  9","  0","  0","  0","  0"," 11","  0","  0","  0","  0","  0","  1"
