"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Calluna","Campanulaceae","Cardueae undif.","Caryophyllaceae undif.","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Erica t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Fungi","Genisteae","Gentianaceae undif.","Geranium","Hedera","Heliotropium","Hypericum elodes","Hypericum undif.","Ilex","Lamiaceae undif.","Ligustrum","Lonicera","Lotus t.","Lycopodium spike","Lycopodium tablets","Lythrum","Olea t.","Parnassia","Paronychieae","Pedicularis","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Pollen concentration","Polygonum t.","Populus","Potentilla t.","Prunus t.","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Resedaceae undiff.","Rhamnus","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Secale","Sparganium","Spergularia t.","Thymelaeaceae undif.","Trifolium t.","Ulmus t.","Unknown","Urtica t.","Viburnum","Vitis"
" 11",NA,NA," 40","0.9, 1","0","0","1","3","0","0","0","0","0","0","0","0","2","0","0","34","0","0","0","4","19","0","0","4","0","0","2","0","0","2","14","1","0","0","0","0","0","0","0","0","0","0","1","163","0","0","7","5","0","0","1","0","107","0","3","133","3","61637.02","0","0","1","0","0","6","4","3","0","0","2","0","1","2","0","0","0","0","2","0","0","0","0","0","2","0","0","0"
" 21",NA,NA," 44","0.7, 1","0","0","0","3","4","3","0","0","2","1","1","0","0","0","0","26","0","0","0","4","24","0","0","0","1","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","4","219","0","0","3","3","0","0","0","0","80","0","3","150","3","58257.42","0","2","1","0","0","11","5","9","0","0","0","0","0","6","0","1","0","0","1","1","0","0","0","2","4","1","1","0"
" 31",NA,NA," 48","0.8, 1","0","0","1","4","2","1","2","0","0","0","0","0","7","0","0","26","1","0","0","0","8","0","0","3","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","1","68","0","0","0","0","0","0","0","0","83","0","7","163","2","163658.83","0","0","0","0","0","2","2","6","0","0","0","0","0","11","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
" 42",NA,NA," 52","0.9, 1","0","0","0","4","0","1","1","0","0","0","0","0","2","0","0","33","0","0","0","3","12","0","0","2","0","0","0","0","0","0","12","0","1","0","0","0","0","0","0","0","0","0","3","82","0","0","3","2","0","0","1","0","56","0","2","178","0","116113.49","0","0","2","0","0","9","3","4","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","2","0","0","0"
" 54",NA,NA," 56","0.8, 1","0","0","1","0","4","0","0","0","4","0","1","0","2","0","0","25","0","0","0","5","20","0","0","5","0","0","0","0","0","0","2","3","2","0","0","0","0","0","0","0","0","0","1","173","0","0","3","0","0","0","2","0","89","0","3","149","2","63323.2","0","0","2","0","0","4","0","2","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","4","1","0","0"
" 73",NA,NA," 62","0.8, 1","0","0","1","2","2","2","3","0","0","1","0","0","1","0","0","31","0","0","0","6","24","0","0","8","0","0","2","0","1","0","7","0","0","0","0","0","0","0","0","0","0","0","1","146","0","0","2","3","3","0","0","0","73","0","4","151","3","77177.47","0","2","3","0","0","10","3","3","1","0","0","0","1","8","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
" 79",NA,NA," 64","0.8, 1","0","0","0","3","2","2","1","0","1","1","1","0","4","0","0","34","0","0","0","1","27","0","0","5","0","0","1","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","198","0","0","3","2","0","0","0","0","87","0","1","167","0","57435.57","0","1","1","0","0","4","4","3","0","0","1","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
" 93",NA,NA," 68","0.8, 1","0","0","0","2","1","1","1","0","1","0","2","0","3","0","0","25","1","0","1","2","30","0","0","3","0","0","5","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","2","215","0","0","2","5","0","0","0","0","130","0","3","126","1","52894.15","0","0","0","0","0","8","6","5","0","0","0","0","0","2","0","1","0","0","1","0","0","0","1","1","2","0","0","0"
"107",NA,NA," 72","0.6, 1","0","0","0","2","2","1","2","0","3","0","0","2","4","1","0","36","0","0","0","2","14","0","0","4","2","0","3","0","1","1","9","0","0","0","0","0","0","0","0","0","0","0","2","273","0","0","4","7","1","0","0","0","78","0","4","137","0","54353.11","0","0","3","0","1","17","3","5","0","0","0","0","2","4","0","0","0","0","1","0","0","0","1","0","3","0","0","0"
"123",NA,NA," 76","0.6, 1","0","0","0","1","1","0","0","0","1","2","0","0","2","0","0","39","0","0","0","2","28","0","0","5","0","0","1","0","0","0","13","3","1","0","0","0","0","0","0","0","0","0","1","187","0","0","2","5","1","0","0","0","66","0","2","164","2","77861.92","0","1","2","0","0","9","2","2","0","0","0","0","0","3","0","0","1","1","0","0","0","0","0","0","5","0","0","0"
