"depth","Acacia t.","Acanthaceae undif.","Adenium","Allophylus t.","Amaranthaceae undif.","Apiaceae undif.","Asteroideae undif.","Bignoniaceae undif.","CRETACEOUS FOSSIL","Cadaba","Canthium","Cardiospermum","Cassia","Cichorieae","Combretaceae","Cyperaceae","Dracaena","Ephedra","Euphorbia t.","Euphorbiaceae undif.","Fabaceae Undif.","Fagonia","Fern","Hypoestes t.","Impatiens","Indeterminable","Justicia t.","LYCOPODIUM tablets","Mallotus","Malva undif.","Mangifera","Phyla t.","Pinus undif.","Plantago","Plumbaginaceae","Poaceae","Podocarpus","Polygonum t.","Protist","Salvadora","Schizaceae (Anemia type)","Solanum","TERTIARY POLLEN GRAIN","Tamarix","Tintinnid","Typha","Ziziphus/Paliurus","Zygophyllum t.","diatoms"
"  3","  0","  0","  0","  0","136","  1"," 16","  0","  8","  0","  0","  0","  0"," 26","  6"," 10","  2","  0","  1","  0","  0","  0","  2","  0","  2"," 14"," 15","467","  2","  2","  4","  1","  0","  0","  0","117","  0","  0","131","  0","  1","  0","  6"," 19","  6","  0","  2","  0","  4"
" 10","  0","  2","  0","  0","105","  0"," 25","  1","  3","  0","  1","  1","  0"," 17"," 14","  4","  0","  0","  0","  0","  0","  0","  3","  0","  0"," 31","  4","330","  0","  1","  2","  0","  0","  1","  1","127","  0","  6"," 67","  1","  0","  0","  4"," 41","  3","  1","  1","  0","  1"
" 14","  0","  0","  1","  0","126","  0"," 24","  1","  6","  1","  1","  0","  0"," 19"," 19","  3","  0","  0","  1","  2","  0","  1","  7","  0","  0"," 17","  4","646","  0","  2","  0","  2","  0","  0","  1"," 38","  0","  0"," 88","  4","  0","  0","  7"," 18","  3"," 35","  0","  0","  0"
"  22","   0","   5","   0","   2"," 168","   0","  44","   0","   2","   0","   0","   0","   1","  21","  15","   1","   2","   0","   1","   5","   0","   1","   3","   1","   0","  38","   6","1973","   0","   3","   1","   0","   0","   0","   1","  62","   0","   4"," 221","   3","   0","   0","   6","  40","   0","   3","   0","   0","   3"
" 35","  2","  0","  0","  3","177","  1"," 32","  0","  6","  0","  0","  0","  0"," 13"," 39","  3","  2","  2","  2","  3","  2","  0","  1","  0","  3"," 24","  9","937","  1","  0","  0","  1","  2","  0","  4","148","  1","  6","148","  4","  1","  2","  6"," 17","  2","  2","  1","  2","  2"
