"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Arbutus","Artemisia","Aspiromitus punctatus","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Ceratonia","Cichorieae","Cistaceae","Citrus","Cleome","Convolvulaceae","Corylus","Cucumis","Cupressaceae","Cyperaceae","Echium t.","Ephedra","Erica t.","Fabaceae Undif.","Fagus","Fallopia","Fern","Fern-Equisetophyta","Ficus","Fraxinus","Geranium","Hedera","Indeterminable","Juglans","Lamiaceae undif.","Lythrum","Mercurialis","Morus","Musci","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myrtus","Olea t.","Ononis t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Protist","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Scrophulariaceae undif.","Secale","Sparganium","Thymelaeaceae undif.","Trifolium t.","Ulmus t.","Unknown","Urtica t.","Viburnum","Vitis","Zea"
NA,NA,NA,"128","  0","  0","  4","  0"," 52"," 22","  2","  1","  2","  0"," 27","  0","  6","  3"," 76","  0","  9","  7"," 19","  5","  3","  2","  0","  5","  0","  0","  0","  0"," 29","  0","  0","  8","  0","  0","  6","  0"," 17","  0"," 59","  0","  0"," 12","  0","  3"," 10","  1","  0","  0","  4","  0","  0","  0","  0","  4","  4","  0","  0","  0","  4","  0","  3"," 96","  5","  0","  0"," 38"," 19","  0","  0","  0"," 86","320","204","  2","  0","  0","  2"," 11","  0","  0","  0","  2","  0","  0"," 19"," 20","  1","  1"," 11","  0"
NA,NA,NA,"136","  0","  2","  2","  0"," 44"," 27","  1","  0","  1","  0"," 23","  0","  4","  0"," 83","  0"," 13","  4"," 21","  3","  7","  0","  0","  3","  0","  0","  0","  0"," 28","  0","  0","  8","  0","  2"," 13","  1"," 31","  0"," 79","  0","  0","  8","  1","  4","  8","  6","  0","  0","  6","  0","  0","  0","  0","  4","  3","  0","  0","  1","  8","  2","  4","104","  2","  0","  0"," 42","  8","  0","  0","  0","205","240"," 90","  0","  2","  0","  0"," 10","  0","  0","  2","  0","  0","  0"," 13"," 38","  0","  0"," 21","  0"
NA,NA,NA,"120","  0","  0","  1","  0"," 18","  8","  1","  0","  2","  0"," 19","  0","  4","  2"," 40","  0"," 27","  4","  8","  6","  5","  0","  0","  2","  0","  0","  0","  0"," 30","  0","  3","  7","  1","  0","  9","  0"," 10","  0"," 20","  0","  0","  2","  0","  2"," 14","  4","  0","  0","  2","  0","  0","  0","  0"," 20","  1","  0","  0","  0","  2","  0","  4"," 48","  1","  0","  0"," 58","  8","  0","  0","  3"," 60","148","112","  1","  1","  1","  0"," 26","  0","  0","  2","  3","  0","  0","  7"," 60","  1","  0"," 11","  0"
NA,NA,NA,"112","  0","  0"," 21","  0"," 26","  9"," 60","  1","  1","  0"," 17","  0","233","  0"," 22","  1"," 24","  9","  3","  7","  4","  0","  0"," 11","  2","  0","  0","  0","  7","  0","  1"," 11","  0","  1"," 11","  0"," 17","  0"," 22","  0","  0","  3","  0","  0","  9","  3","  0","  0","  5","  0","  0","  0","  0","  0","  4","  0","  0","  0","  1","  0","  4"," 15","  7","  0","  0"," 56"," 14","  0","  0","  0","146","101"," 24","  2","  0","  0","  1"," 34","  1","  0","  0"," 21","  0","  0","  8"," 66","  0","  0"," 11","  0"
NA,NA,NA,"150","  2","  0","  2","  0"," 57"," 27","  1","  1","  0","  0"," 16","  0","  5","  2","104","  0"," 19","  2"," 10","  4"," 12","  0","  0","  5","  0","  0","  0","  0"," 22","  0","  0"," 14","  0","  3"," 10","  0"," 12","  0"," 62","  0","  0"," 12","  1","  2","  7","  4","  0","  0","  3","  0","  0","  0","  0","  8","  7","  0","  0","  0","  4","  0","  6","129","  5","  0","  0"," 48","  6","  0","  0","  0"," 72","328"," 86","  2","  2","  0","  0"," 10","  3","  0","  0","  1","  0","  0"," 24"," 50","  0","  2"," 13","  0"
NA,NA,NA,"10"," 0"," 0","34"," 0","10","22"," 3"," 2"," 7"," 1","15"," 0"," 1"," 3"," 9"," 0","26"," 9"," 1"," 5","15"," 0"," 0"," 2"," 2"," 0"," 0"," 0","11"," 0","12"," 5"," 3"," 2"," 3"," 1"," 3"," 0"," 7"," 0"," 4"," 0"," 0"," 0","10","15"," 0"," 0","24"," 0"," 0"," 0"," 0"," 0","15"," 0"," 0"," 0"," 2"," 0","34"," 5"," 7"," 3"," 1","59"," 2"," 1"," 0","29","32","48","31"," 0"," 0"," 0"," 0","41"," 0"," 3"," 0"," 0"," 0"," 0"," 5","58","20"," 0"," 9"," 4"
NA,NA,NA,"100","  0","  0"," 15","  0"," 15"," 11","  2","  1","  5","  1"," 19","  1","  4","  2"," 17","  0"," 15"," 10","  0","  3"," 11","  0","  0","  3","  2","  0","  0","  0","  8","  0","  1"," 11","  0","  0"," 10","  0"," 12","  0"," 13","  0","  0","  8","  0","  0"," 12","  5","  0","  0"," 13","  0","  0","  0","  0","  3","  3","  0","  0","  0","  4","  0","  4"," 13","  2","  0","  0"," 66","  8","  0","  1","  1","139"," 71"," 41","  1","  0","  0","  0"," 46","  2","  0","  1"," 13","  0","  0","  3"," 52","  1","  0","  5","  0"
NA,NA,NA,"142","  0","  2","  6","  0"," 68"," 28","  5","  0","  0","  0"," 15","  0","  1","  3"," 95","  0"," 11","  5","  6","  4"," 11","  1","  0","  2","  1","  0","  0","  0"," 43","  0","  1"," 15","  1","  0","  3","  0"," 25","  0"," 76","  0","  0"," 17","  0","  9","  6","  3","  0","  0","  7","  0","  0","  0","  0","  3","  4","  0","  0","  0","  4","  0","  8","160","  7","  0","  0"," 60"," 25"," 16","  0","  0","101","329","200","  1","  1"," 21","  1"," 19","  2","  0","  1","  6","  0","  0"," 20"," 30","  0","  0"," 13","  0"
NA,NA,NA," 40","  0","  0","109","  0"," 16"," 11","  5","  0","  3","  0"," 21","  0","  1","  1","  4","  0"," 33"," 37","  0","  7"," 22","  0","  0","  5","  0","  0","  0","  0"," 13","  0"," 13"," 13","  1","  4","  9","  0","  5","  0"," 10","  0","  1","  1","  0","  1","  1"," 11","  0","  0"," 32","  0","  0","  0","  0","  1"," 11","  0","  0","  0","  1","  0"," 15","  9"," 15","  3","  0"," 66","  5","  1","  0"," 16","102"," 52"," 38","  1","  1","  0","  0"," 83","  2","  4","  3","  6","  0","  0","  0"," 36","  5","  0"," 13","  1"
NA,NA,NA,"  0","  0","  0","  8","  0"," 45"," 75"," 12","  0","  4","  0"," 34","  0","  7","  2"," 11","  0"," 35","  4","  3","  3"," 21","  0","  1","  6","  0","  1","  1","  1"," 29","  0"," 15"," 15","  5","  0"," 19","  0","  2","  1","  0","  0","  0","  2","  0","  4"," 42","  8","  0","  1"," 23","  1","  0","  9"," 21","  6"," 45","  0","  0","  0","  7","  0"," 71","  7"," 11","  4","  0","162","  2","  0","  6","  7","  9","127","144","  3","  1","  1","  1"," 42","  0","  0","  0","  0","  0","  0","  8"," 34","  2","  0","  9","  0"
