"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","TOTAL COUNTS (ALL SPP) PER DEPTH","Acacia t.","Aerva type","Aizoaceae t.","Alchornea","Amaranthaceae undif.","Ambrosia t.","Anthoceros t.","Apiaceae undif.","Artemisia","Asteroideae undif.","Balanites","Brassicaceae","Canthium","Caryophyllaceae undif.","Caryophyllaceae/Chenopodiaceae","Cassia","Caylusea","Celosia type","Celtis","Centaurea","Cichorieae","Combretaceae","Commiphora","Cupressaceae","Cyperaceae","Echium t.","Ephedra","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fagonia","Fern","Ficus","Heliotropium","Indeterminable","Justicia t.","Lamiaceae undif.","Lannea","Macaranga","Maerua","Mitracarpus","Monoletes","Morella","Musanga/Myrianthus","Nyctaginaceae","Nymphaea","Olea t.","Onagraceae","Ormocarpum t.","Petaloid monocot","Phyllanthus undif.","Pinus undif.","Poaceae","Polygala","Polygonum t.","Potamogeton","Psilotrichum t.","Resedaceae undiff.","Rhamnaceae undif.","Rumex t.","Salvadora","Scrophulariaceae undif.","Searsia","Securinega  t.","Spergularia t.","Sterculia","Syzygium t.","Tamarix","Tinospora","Tribulus","Triletes","Typha","Urtica t.","Vahlia","lithology"
"8977.310","530"," 224","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","12","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2","67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","133","0","0","0"
"9054.357","540"," 143","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0","0","0"
"9131.404","550"," 336","0","0","1","0","6","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","1","0","0","0","116","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","152","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54","0","0","0"
NA,"580"," 890","3","0","3","0","193","0","0","0","0","5","0","2","0","0","5","0","0","0","0","1","1","1","0","0","277","0","2","0","0","1","0","0","0","1","10","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","325","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","54","0","1","0"
NA,"590"," 655","3","7","0","0","147","0","0","0","1","3","0","2","0","0","0","0","0","21","0","0","0","2","0","0","281","0","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","123","0","0","12","0","0","0","0","0","1","0","0","0","0","0","13","0","0","0","28","0","0","0"
NA,"600","1927","4","14","0","0","410","0","0","0","0","9","0","2","0","13","0","2","4","0","0","0","0","0","0","0","1067","1","9","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","1","1","322","0","0","0","0","0","1","0","0","0","0","1","2","0","0","22","1","0","0","21","1","1","0"
NA,"630","1663","25","6","0","1","371","0","0","0","3","10","0","3","0","0","17","0","0","0","0","0","0","0","0","0","850","0","15","2","0","0","1","0","0","0","1","0","1","0","0","0","1","1","0","0","1","0","0","0","0","0","0","2","309","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","40","0","0","0"
NA,"640"," 605","2","19","0","0","189","0","0","0","1","2","0","0","0","0","0","0","0","25","0","0","0","2","0","0","267","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","66","0","0","0","0","0","3","0","0","0","0","0","0","0","0","3","0","0","0","15","0","0","0"
NA,"650","1466","11","2","0","0","614","0","0","1","0","6","0","1","0","0","33","2","3","0","0","0","0","0","0","0","501","0","18","2","0","0","0","0","0","0","21","0","1","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","214","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","28","0","0","0"
NA,"660"," 720","1","30","0","0","519","0","0","0","0","1","0","0","0","0","0","0","0","22","0","1","0","5","0","0","78","0","1","3","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","26","0","1","0","5","0","0","0","0","0","0","0","0","0","0","2","0","0","1","21","0","0","0"
NA,"670"," 530","2","7","0","0","301","0","0","0","0","2","0","0","0","0","0","0","0","29","0","0","0","0","0","0","49","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","21","0","0","0"
NA,"680","1039","5","0","0","0","751","0","0","0","1","4","1","1","0","0","35","1","0","0","0","0","0","0","0","0","60","0","35","2","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2","112","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","22","0","0","0"
NA,"700"," 366","2","3","0","0","198","0","0","0","0","3","1","1","0","6","0","0","0","0","2","0","3","0","0","0","20","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","89","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","10","0","0","0"
NA,"710"," 504","2","9","0","0","137","0","1","0","1","1","1","0","0","0","0","0","0","15","0","0","1","1","0","0","162","0","15","1","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","111","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","1","0","34","0","0","0"
NA,"720"," 487","0","3","0","0","28","0","0","0","0","1","1","0","0","0","0","0","0","2","0","0","0","0","0","0","39","0","63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","341","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","3","0","0","0"
NA,"730"," 314","0","1","0","0","183","0","0","0","0","2","0","0","0","0","2","0","1","0","0","0","0","1","0","0","28","0","9","0","0","0","0","0","0","0","6","0","0","0","0","0","2","0","0","0","0","0","0","0","1","1","0","3","72","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0"
NA,"740"," 390","0","2","0","0","16","0","0","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","28","0","54","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","277","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","2","0","0","0"
NA,"750"," 362","1","0","0","0","32","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43","0","94","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","174","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0"
