"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Buxus","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fraxinus","Geraniaceae undif.","Hedera","Juglans","Lamiaceae undif.","Ligustrum","Malva","Myriophyllum undif.","Nymphaea","Olea t.","Onagraceae","Persicaria t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Protist","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Sparganium","Thalictrum","Thymelaeaceae undif.","Tilia","Typha","Ulmus t.","Unknown","Vitis"
"3936","4537","3316"," 615","   0","   0","   0","   3","  13","  11","   4","   0","  19","   2","   0","   0","   0","   0","   1","  11","   0","   1","   2","   0","  17","   0","   0","   7","   1","   1","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0"," 132","   0","   0","   0","   9","  11","  10","  22","  19","   0","   1","   0","   1","   9","   7","   0","   0","   0","   0","   2","   1","   0","   8","   1","   0","   0","   0","   0","   2","   1"
"4149","4673","3608"," 660","   0","   0","   0","   2","  23","  16","   4","   0","  20","   0","   0","   0","   0","   1","   0","   7","   0","   0","   4","   0","  16","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0"," 132","   0","   0","   0","   2","   7","  13","  23","  21","   4","   2","   0","   1","   9","  10","   0","   0","   0","   0","   0","   0","   0","   3","   2","   1","   0","   0","   0","   3","   0"
"4362","4808","3898"," 705","   0","   0","   0","   6","   6","  12","   4","   0","  16","   0","   0","   0","   0","   0","   2","   6","   0","   0","   6","   1","  35","   0","   0","   7","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 123","   0","   0","   0","   5","  13","   8","  34","  23","   0","   3","   0","   4","   9","   9","   0","   0","   0","   0","   1","   0","   0","   6","   0","   0","   0","   0","   0","   1","   3"
"4574","4945","4187"," 750","   0","   0","   0","   0","  13","   7","   3","   0","   9","   1","   0","   0","   0","   0","   1","   2","   0","   0","   3","   0","  24","   0","   1","   6","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","  93","   0","   0","   0","   3","  11","  10","   6","  28","   1","   0","   0","   0","   8","  10","   1","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   1","   0"
"4787","5085","4474"," 795","   0","   0","   0","   2","   6","   3","   1","   0","  15","   1","   0","   0","   0","   0","   0","  14","   0","   0","   1","   0","  14","   0","   0","   2","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  93","   0","   0","   0","   1","  11","   4","  17","  29","   0","   0","   0","   1","   2","   7","   1","   0","   0","   0","   2","   0","   0","   2","   0","   0","   0","   0","   0","   2","   2"
"5047","5262","4816"," 850","   0","   0","   0","   1","   7","  21","  11","   0","  13","   2","   0","   0","   0","   0","   0","   7","   0","   0","   4","   0","   6","   0","   2","   5","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   1","   0"," 158","   0","   0","   0","   0","   4","  14","  14","  11","   0","   0","   0","   2","   7","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3"
"5094","5296","4877"," 860","   0","   0","   0","   7","   6","  23","   3","   3","  27","   2","   0","   0","   0","   0","   1","   5","   0","   0","  18","   2","  19","   0","   0","  15","   0","   5","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0"," 239","   0","   0","   0","   0","   2","   6","  11","  14","   0","   0","   0","   3","   6","   9","   0","   0","   0","   0","   1","   0","   0","  14","   0","   0","   0","   0","   0","   3","   0"
"5141","5331","4938"," 870","   0","   0","   0","   2","   3","  17","   6","   3","  39","   1","   0","   0","   0","   0","   2","   6","   0","   0","   6","   0","   6","   0","   5","   5","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","  78","   0","   1","   0","   0","   2","   3","  29","  19","   0","   8","   0","   7","   3","   9","   0","   0","   0","   0","   3","   0","   0","  11","   0","   3","   0","   0","   0","  19","   0"
"5188","5367","4998"," 880","   0","   0","   0","   4","   4","  24","   2","   1","  42","   0","   0","   1","   0","   0","   1","   6","   0","   0","   5","   1","  14","   0","   7","   4","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  89","   0","   0","   0","   0","   9","   0","  42","  28","   0","   9","   0","   2","   1","   4","   0","   0","   0","   0","   2","   0","   0","  11","   0","   2","   0","   0","   0","   8","   1"
"5236","5404","5057"," 890","   0","   0","   0","   3","   4","  14","   4","   0","  27","   1","   0","   0","   0","   0","   2","   3","   0","   0","   1","   0","   5","   0","   0","   1","   0","   3","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  97","   0","   0","   0","   0","   0","   1","  31","  15","   0","   1","   0","   4","   6","   6","   0","   0","   0","   0","   1","   0","   0","   6","   0","   0","   0","   1","   1","  10","   1"
