"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Cannabaceae undif.","Caryophyllaceae undif.","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Coriaria","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fraxinus","Geraniaceae undif.","Hedera","Hypecoum","Juglans","Lamiaceae undif.","Ligustrum","Lythrum","Malva undif.","Myriophyllum undif.","Myrtaceae undif.","Olea t.","Papaver t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Protist","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Solanaceae undif.","Sparganium","Tamarix","Thalictrum","Thymelaeaceae undif.","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Viburnum","Vitis"
" 964","1195"," 733","  10","   0","   0","   0","   0"," 335","   3","  11","   0","  19","   0","   0","   0","   0","   0","   0","   0","   1","  23","   2","   0","   0","   5","   0","   9","   9","   0","   0","   3","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","  48","   1","   6","   0","   6","   1","   0","   0","   0","  30","   1","  14","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","   0","   0","   1","   0","   4","   0","   0","   0"
"1075","1301"," 848","  20","   0","   0","   0","   0","  49","   1","   7","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  61","   0","   0","   0","   1","   0","   1","   7","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","  24","   0","   0","   0","   5","   0","   0","   0","   0","   0","   1","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   2","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0"
"1187","1408"," 963","  30","   0","   0","   0","   0"," 218","   3"," 110","   0","   9","   0","   0","   0","   0","   0","   2","   0","   2","  36","   5","   0","   0","   1","   0","   2","  17","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  91","   0","   0","   3","  46","   1","   8","   0","  31","   2","   2","   0","   0","   1","   2","  32","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  12","   0","   1","   2","   0","   3","   0","   1","   0","   0","   1"
"1298","1515","1079","  40","   0","   0","   0","   0"," 660","  11"," 109","   0","  12","   0","   0","   0","   0","   0","   1","   0","   0","  54","   2","   0","   0","   1","   0","   6","  12","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","  49","   0","   0","   4","  44","   1","   6","   0","  20","   2","   0","   0","   0","   4","   4","  34","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   1","   0","   0","   1","   0","   0","   0","   0","   1"
"1409","1622","1194","  50","   0","   0","   0","   1"," 126","   1","   4","   0","   5","   0","   0","   0","   0","   0","   0","   0","   2","  58","   2","   0","   0","   1","   0","   4","  14","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  71","   0","   3","   0","   8","   0","   0","   0","   0","   6","   1","  10","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0"
"1521","1730","1309","  60","   0","   0","   0","   1","  26","   2","  12","   0","   8","   0","   0","   0","   0","   0","   1","   0","   0"," 156","   1","   0","   0","   1","   0","   3","   7","   0","   1","   2","   1","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","  90","   1","   3","   0","   7","   2","   0","   0","   0","  10","   0","   7","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","  10","   0","   0","   0"
"1632","1838","1425","  70","   0","   0","   0","   0"," 151","   3","  51","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","  24","   3","   0","   0","   0","   0","   2","   9","   0","   0","   3","   0","   0","   2","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   1","  92","   0","   0","   3","  68","   0","   5","   0","  19","   2","   0","   0","   0","   1","   2","  20","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   1","   0","   2","   0","   0","   0"
"2189","2378","2002"," 120","   0","   0","   0","   3","1087","   4","  36","   0","   6","   0","   0","   0","   0","   4","   0","   0","   3","  26","   1","   0","   0","   1","   0","   3","  20","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","   0","   0","  54","   0","   5","   0","  22","   1","   0","   0","   0","   4","   2","  20","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   4","   1","   0","   0","   0","   0","   2","   0","   0","   0"
"2300","2486","2117"," 130","   0","   0","   0","   0"," 683","   3","   7","   0","  15","   0","   0","   0","   0","   0","   0","   0","   7","  31","   2","   0","   0","   0","   0","   1","   6","   0","   0","   3","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   1","  33","   0","   7","   0","   8","   0","   0","   0","   0","   1","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0"
"2411","2595","2232"," 140","   0","   0","   0","   2"," 505","   1","  11","   0","   5","   0","   0","   0","   0","   0","   0","   0","   2","  21","   2","   0","   0","   0","   0","   2","   8","   0","   0","   1","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   1","   0","   0","  36","   0","   0","   0","   6","   1","   0","   0","   0","   6","   0","   6","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"
