"Depth (cm) (rounded)","Depth (cm) [original]","Acacia t.","Acanthaceae undif.","Alchornea","Alnus","Amaranthaceae undif.","Anacardiaceae undiff.","Apiaceae undif.","Arecaceae undif.","Artemisia","Asteroideae undif.","Balanites","Betula","Blepharis","Borreria t.","Boscia","Brassicaceae","Cadaba","Calligonum","Capparaceae undif.","Capparis","Cardiospermum","Carpinus","Caryophyllaceae undif.","Cassia","Celtis","Centaurea","Chionanthus","Cichorieae","Cissus t.","Cleome","Combretaceae","Commiphora","Corylus","Crossandra","Cyperaceae","Detarium","Diospyros/Euclea t.","Elaeis","Enicostema","Ephedra","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fraxinus","Grewioideae","Hyphaene t.","Hypoestes t.","Icacinaceae","Indeterminable","Indigofera","Ixora","Justicia t.","Lamiaceae undif.","Lannea","Lawsonia","Leonotis","Leptaulus","Maerua","Malva undif.","Meliaceae undif.","Mitracarpus","Mitriostigma","Monoletes","Myriophyllum undif.","Nauclea","Nitraria","Nyctaginaceae","Ocimum","Olea t.","Ostrya","Petaloid monocot","Phillyrea","Phoenix t.","Phyllanthus undif.","Piliostigma","Pinus undif.","Plantago","Plumbaginaceae","Poaceae","Podocarpus","Potamogeton","Pouchetia","Proteaceae","Quercus undif.","Ranunculaceae undif.","Rosaceae undif.","Rubiaceae undif.","Salvadora","Searsia","Sesbania","Sherbournia","Spondias","Syzygium t.","Tamarix","Tribulus","Triletes","Typha","Uapaca","Utricularia","Vitis","Ziziphus/Paliurus"
"  489.4","  489.4","    4.0","    0.0","    0.0","    0.0","  239.0","    0.0","    0.0","    0.0","    5.0","   15.0","    6.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","   48.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","11716.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    2.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    3.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    3.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    1.0","    0.0","    0.0"," 4176.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","  274.0","    0.0","    0.0","    0.0","    1.0"
" 489.50"," 489.45","   1.00","   0.00","   0.00","   0.00"," 148.00","   1.00","   0.00","   1.00","  10.00","  12.00","   7.00","   0.00","   0.00","   0.00","   0.00","   5.00","   0.00","   1.00","   2.00","   0.00","   0.00","   0.00","  17.00","   1.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","1997.00","   0.00","   0.00","   0.00","   0.00","   6.00","   5.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","1133.00","   1.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00"," 167.00","   0.00","   0.00","   0.00","   1.00"
" 489.5"," 489.5","   1.0","   0.0","   0.0","   0.0","  83.0","   0.0","   0.0","   0.0","   2.0","   5.0","   0.0","   1.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","  27.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","1527.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   6.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  13.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","1042.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 113.0","   0.0","   0.0","   0.0","   0.0"
" 489.50"," 489.55","   5.00","   0.00","   0.00","   0.00"," 184.00","   0.00","   0.00","   0.00","   3.00","   6.00","   0.00","   1.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","  30.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","1382.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   8.00","   0.00"," 164.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","1152.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 272.00","   0.00","   0.00","   6.00","   0.00","   0.00"
"489.70","489.68","  1.00","  0.00","  0.00","  0.00"," 47.00","  0.00","  0.00","  0.00","  2.00","  5.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  4.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","442.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","641.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","183.00","  0.00","  0.00","  0.00","  0.00"
" 489.70"," 489.73","   5.00","   0.00","   0.00","   0.00"," 125.00","   0.00","   1.00","   0.00","   9.00","  25.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  20.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   2.00","   0.00","   0.00","   0.00","1032.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   2.00","   0.00","   4.00","   2.00","   0.00","   0.00","   0.00","  15.00","   0.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","1972.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   1.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00"," 527.00","   0.00","   0.00","   0.00","   1.00"
" 489.80"," 489.77","   2.00","   0.00","   0.00","   0.00","  68.00","   0.00","   0.00","   0.00","   5.00","  10.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  19.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   1.00","   0.00","   0.00","   0.00"," 643.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  21.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   1.00","   1.00","   0.00","   0.00","1445.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   1.00","   1.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00"," 278.00","   0.00","   0.00","   0.00","   0.00"
" 489.90"," 489.86","   2.00","   0.00","   0.00","   0.00","  73.00","   0.00","   0.00","   0.00","   2.00","  14.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","  13.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","1074.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   1.00","   0.00","   1.00","   0.00","   2.00","   0.00","   4.00","   1.00","   0.00","   0.00","   0.00","   8.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","  11.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   2.00","   0.00","   0.00","   1.00","   1.00","   0.00","   0.00","   0.00","2111.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00"," 242.00","   0.00","   1.00","   0.00","   0.00"
"489.9","489.9","  2.0","  1.0","  0.0","  0.0"," 67.0","  0.0","  0.0","  0.0","  1.0","  3.0","  3.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  7.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","326.0","  0.0","  0.0","  1.0","  0.0","  2.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  5.0","  1.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","953.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","530.0","  0.0","  0.0","  0.0","  1.0"
"490.00","489.96","  1.00","  0.00","  1.00","  0.00"," 28.00","  0.00","  0.00","  0.00","  5.00","  3.00","  1.00","  1.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","332.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  6.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","656.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  3.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","147.00","  0.00","  0.00","  0.00","  1.00"
