"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Apium t.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Calluna","Campanulaceae","Cardueae undif.","Carum verticillatum","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cicuta virosa","Cistaceae","Conopodium majus","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Filipendula t.","Frangula","Fraxinus","Galium t.","Genisteae","Gentiana t.","Halimium/Tuberaria","Hedera","Hepaticae","Hypericum undif.","Ilex","Juglans","Lamiaceae undif.","Linum t.","Lycopodium spike","Lycopodium tablets","Lysimachia","Lythrum","Menyanthes","Mercurialis","Musci","Myriophyllum alterniflorum t.","Nymphaea","Olea t.","Onagraceae","Papaver t.","Parnassia","Paronychieae","Pedicularis","Pentaglottis sempervirens","Petaloid monocot","Phillyrea","Physospermum cornubiense","Pinus nigra/sylvestris t.","Pinus pinaster","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Portulacaceae t.","Potentilla t.","Primula","Prunus t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Robinia","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifraga t.","Saxifragaceae","Scrophulariaceae undif.","Solanum","Sparganium","Taxus","Thalictrum","Thymelaeaceae undif.","Trifolium t.","Ulmus t.","Unknown","Valerianella","Viola","Vitis"
"   33.63",NA,NA,"  2.0","0.282","4","1","0","1","0","0","0","1","0","1","7","2","3","4","0","0","3","1","0","2","0","1","0","1","1","6","37","0","0","0","35","0","0","0","5","0","0","0","4","2","1","7","0","0","0","0","0","1","0","161","0","0","0","0","0","0","0","0","80","0","0","0","0","4","0","9","0","0","0","129","0","14","0","385","7","0","0","163","0","0","33","10","6","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  133.57",NA,NA,"  5.0","0.282","5","1","0","4","2","0","0","2","0","1","7","6","7","5","1","0","12","0","0","2","0","0","0","0","0","2","49","0","0","0","58","0","0","0","11","0","0","0","8","0","3","3","0","0","0","0","1","0","0","430","0","0","0","4","0","0","0","0","129","0","0","0","3","0","0","6","0","0","9","167","0","41","4","712","17","0","0","73","0","0","41","15","2","0","0","0","6","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","1"
"  216.86",NA,NA,"  7.5","0.282","11","3","0","3","18","0","0","3","0","2","9","2","16","3","0","0","24","5","0","7","0","0","0","0","8","2","23","0","0","0","107","0","2","0","27","1","0","0","17","2","2","6","1","0","0","1","0","0","0","85","0","0","0","0","0","2","0","0","104","0","0","0","10","0","0","1","0","0","7","38","0","21","1","268","17","0","0","79","0","0","55","9","2","0","0","0","17","0","0","0","5","2","0","0","0","0","0","2","0","0","0","0","1","0"
"  300.14",NA,NA," 10.0","0.282","14","2","0","4","20","0","0","7","0","6","5","3","41","12","0","0","37","1","2","13","0","0","0","0","9","1","29","0","0","0","190","0","0","0","40","0","1","0","47","1","6","5","0","0","0","1","2","0","1","333","0","1","0","0","0","1","0","0","149","0","0","0","4","0","0","1","1","0","23","60","3","151","3","632","26","0","0","225","0","0","73","5","5","0","3","3","10","0","0","0","6","0","0","0","0","0","0","2","0","1","0","0","0","0"
"  466.71",NA,NA," 15.0","0.282","2","1","1","9","29","0","0","13","0","5","15","10","25","6","0","1","28","5","0","13","0","0","0","0","2","2","8","0","0","0","258","0","0","0","21","0","0","0","15","0","9","2","0","0","0","0","3","0","0","452","0","0","0","0","0","3","0","0","70","0","0","1","24","0","0","2","0","0","2","20","0","129","5","500","29","0","0","65","0","0","108","20","7","0","0","5","11","1","0","0","13","0","0","0","3","0","0","1","0","0","0","0","0","0"
"  566.97",NA,NA," 20.0","0.282","19","1","0","4","21","0","0","8","1","1","27","2","74","7","0","0","6","3","0","6","0","0","4","27","6","0","33","0","0","0","88","0","0","0","29","0","0","0","54","5","4","0","0","0","0","0","0","0","0","272","0","0","0","0","0","3","0","0","3","0","0","0","6","7","0","5","1","0","2","4","0","38","2","1428","3","0","0","43","0","0","74","10","4","0","0","0","19","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  624.65",NA,NA," 28.5","0.282","19","1","0","0","31","0","0","6","0","2","8","4","40","7","0","0","4","4","0","3","0","1","0","1","3","0","28","0","0","0","92","0","0","0","17","0","0","5","29","5","10","1","0","0","0","1","0","3","1","238","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","10","0","0","6","20","0","37","5","295","18","0","0","19","0","0","101","4","22","0","0","0","3","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  661.97",NA,NA," 34.0","0.282","14","0","0","0","16","0","0","0","0","2","6","2","30","5","0","0","4","1","2","1","0","3","0","1","2","6","4","0","0","0","34","0","0","0","11","0","0","0","22","8","12","2","0","0","0","0","0","0","0","211","0","0","0","0","0","0","0","0","3","0","0","0","1","0","0","5","0","0","4","16","0","35","3","676","1","0","0","23","0","0","91","8","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  736.62",NA,NA," 45.0","0.282","16","3","0","1","47","0","0","11","0","8","20","11","14","10","2","0","11","17","0","17","0","0","0","0","8","1","675","0","0","0","126","0","0","0","34","0","0","0","10","2","8","1","0","0","0","0","1","0","0","248","0","0","0","1","0","2","0","0","6","0","0","0","13","0","0","2","1","0","1","8","0","83","9","798","12","0","0","53","0","0","90","14","6","0","0","1","15","2","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  804.48",NA,NA," 55.0","0.282","14","0","0","0","17","0","0","1","0","3","4","0","14","3","0","0","4","3","0","0","0","0","0","0","2","0","61","0","0","0","29","0","0","0","24","0","0","0","6","0","3","1","0","0","0","0","0","0","0","88","0","0","0","0","0","4","0","0","0","0","0","0","1","0","0","2","0","0","6","0","0","28","6","102","12","0","0","8","0","0","43","5","5","0","0","2","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0"
