"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Calluna","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fabaceae Undif.","Fagus","Fern","Filipendula t.","Fraxinus","Haplophyllum","Hedera","Indeterminable","IsoÃ«tes","Juglans","Lamiaceae undif.","Ligustrum","Mercurialis","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Nymphaea","Olea t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Pollen concentration","Polygonum t.","Populus","Potamogeton","Pteridium aquilinum-type","Pterocarya","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Tamarix","Thalictrum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Unknown (monolete, psilate)","Unknown (trilete, non-psilate)","Unknown (trilete, psilate)","Urtica t.","Vitis"
"  151.00",NA,NA,"   27.00","    0.00","    5.00","   14.00","    4.00","    8.00","   26.00","    1.00","    0.00","   11.00","    0.00","    1.00","    1.00","    1.00","    0.00","   43.00","    0.00","    0.00","    6.00","    6.00","    0.00","    0.00","    6.00","    5.00","    0.00","    1.00","    0.00","    1.00","    0.00","    0.00","    7.00","   12.00","    0.00","    1.00","    2.00","    1.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","   51.00","    0.00","   11.00","    9.00","   47.00","    2.00","29265.63","    9.00","    1.00","    0.00","    0.00","    0.00","   26.00","    4.00","    3.00","    1.00","    1.00","    1.00","    3.00","    1.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    4.00","    0.00","   90.00","    2.00","    0.00","    5.00","    4.00","    0.00"
"  868.00",NA,NA,"  207.00","    0.00","    6.00","    9.00","    9.00","    5.00","   17.00","    0.00","    1.00","    2.00","    0.00","    1.00","    2.00","    2.00","    0.00","   26.00","    2.00","    0.00","    7.00","   36.00","    0.00","    0.00","    1.00","    0.00","    2.00","    0.00","    0.00","    0.00","    1.00","    0.00","    3.00","    5.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   69.00","    0.00","    2.00","   16.00","   69.00","    1.00","32408.08","    1.00","    0.00","    0.00","    0.00","    0.00","   32.00","    1.00","    0.00","    0.00","    0.00","    1.00","    2.00","    0.00","    1.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    1.00","   11.00","    1.00","   68.00","    4.00","    1.00","    7.00","    1.00","    0.00"
" 1445.00",NA,NA,"  347.00","    0.00","   16.00","    7.00","    5.00","    5.00","    5.00","    4.00","    0.00","    7.00","    0.00","    4.00","    0.00","    2.00","    0.00","   10.00","    1.00","    1.00","   11.00","   20.00","    0.00","    1.00","    5.00","    0.00","    5.00","    0.00","    0.00","    2.00","    0.00","    0.00","   12.00","    3.00","    1.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    1.00","    1.00","    0.00","    0.00","   58.00","    0.00","    4.00","    1.00","   79.00","    2.00","33513.52","    0.00","    0.00","    0.00","    0.00","    0.00","  136.00","    4.00","    1.00","    0.00","    1.00","    2.00","    1.00","   13.00","    0.00","    2.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    8.00","    2.00","   70.00","    0.00","    1.00","    7.00","    0.00","    0.00"
"2145",NA,NA," 529","   0","   3","   9","   3","   7","  31","   3","   0","   9","   0","   1","   3","   0","   0","  46","   0","   2","   3","  10","   0","   0","  10","   1","   4","   0","   1","   3","   0","   0","  14","  25","   4","   0","   0","   1","   0","   0","   0","  14","   0","   0","   1","  16","   0","   6","   5","  79","   0","9012","  10","   1","   1","   2","   0","  61","   2","   0","   0","   0","   1","   3","   3","   0","   1","   0","   0","   0","   0","   0","   0","   2","   3"," 238","   1","   0","  13","   5","   0"
" 2668.00",NA,NA,"  669.00","    1.00","    7.00","    6.00","    2.00","   10.00","   15.00","    3.00","    0.00","    2.00","    0.00","    1.00","    2.00","    0.00","    0.00","   32.00","    0.00","    2.00","    3.00","   12.00","    2.00","    0.00","    5.00","    1.00","    6.00","    0.00","    2.00","    0.00","    0.00","    1.00","    5.00","   20.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","   15.00","    0.00","    4.00","    1.00","   84.00","    3.00","15115.93","    2.00","    0.00","    0.00","    0.00","    0.00","   77.00","    4.00","    0.00","    0.00","    0.00","    2.00","    1.00","    8.00","    0.00","    8.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    5.00","  132.00","    2.00","    0.00","   17.00","    1.00","    2.00"
" 3188.00",NA,NA,"  807.00","    1.00","    3.00","    5.00","    4.00","    2.00","   12.00","    2.00","    0.00","    1.00","    0.00","    7.00","    0.00","    1.00","    0.00","   10.00","    0.00","    2.00","    3.00","   18.00","    0.00","    0.00","    4.00","    0.00","    4.00","    0.00","    0.00","    3.00","    0.00","    0.00","    4.00","    7.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    1.00","    0.00","   31.00","    1.00","    3.00","    2.00","   78.00","    0.00","20981.09","    0.00","    0.00","    0.00","    0.00","    0.00","   69.00","   19.00","    0.00","    0.00","    0.00","    4.00","    0.00","    8.00","    0.00","    4.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    2.00","    1.00","   66.00","    1.00","    0.00","   13.00","    1.00","    2.00"
" 3723.00",NA,NA,"  947.00","    0.00","    8.00","    5.00","    4.00","   10.00","   10.00","    0.00","    0.00","    2.00","    1.00","    1.00","    1.00","    1.00","    1.00","   19.00","    2.00","    4.00","    4.00","   12.00","    1.00","    0.00","    0.00","    0.00","    7.00","    0.00","    0.00","    0.00","    0.00","    1.00","   17.00","   14.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","   27.00","    0.00","    3.00","    1.00","   35.00","    3.00","30681.82","    4.00","    0.00","    0.00","    3.00","    0.00","  125.00","    1.00","    1.00","    0.00","    1.00","    0.00","    2.00","    1.00","    0.00","    1.00","    0.00","    0.00","    1.00","    0.00","    2.00","    1.00","    1.00","    0.00","  152.00","    4.00","    0.00","    6.00","    0.00","    0.00"
"  3860.0",NA,NA,"   982.0","     0.0","     2.0","    14.0","     2.0","     3.0","     5.0","     0.0","     0.0","     0.0","     0.0","     3.0","     0.0","     0.0","     0.0","     6.0","     0.0","     4.0","     1.0","    11.0","     0.0","     0.0","     0.0","     0.0","     2.0","     0.0","     1.0","     0.0","     0.0","     0.0","    10.0","     1.0","     0.0","     0.0","     0.0","     0.0","     0.0","     7.0","     2.0","     0.0","     0.0","     0.0","     1.0","    12.0","     0.0","     1.0","     0.0","   176.0","     0.0","176236.4","     2.0","     0.0","     0.0","     0.0","     0.0","    46.0","     0.0","     1.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     3.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","    29.0","     1.0","    22.0","     1.0","     0.0","     1.0","     0.0","     0.0"
" 4029.00",NA,NA," 1026.00","    0.00","    2.00","   10.00","    0.00","    4.00","    4.00","    3.00","    0.00","    2.00","    0.00","    0.00","    1.00","    0.00","    0.00","    9.00","    1.00","    6.00","    0.00","   20.00","    0.00","    0.00","    0.00","    1.00","    4.00","    0.00","    0.00","    3.00","    0.00","    0.00","    7.00","    2.00","    0.00","    0.00","    0.00","    0.00","    3.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","   36.00","    0.00","    3.00","    0.00","  118.00","    4.00","79578.95","    1.00","    1.00","    0.00","    1.00","    0.00","   78.00","    0.00","    1.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   26.00","    1.00","   68.00","    0.00","    0.00","    3.00","    0.00","    0.00"
"  4182.0",NA,NA,"  1066.0","     0.0","     2.0","    11.0","     2.0","     4.0","     6.0","     1.0","     0.0","     1.0","     3.0","     4.0","     1.0","     0.0","     0.0","     3.0","     0.0","     4.0","     1.0","     8.0","     0.0","     0.0","     0.0","     0.0","     2.0","     0.0","     1.0","     0.0","     0.0","     0.0","     7.0","     1.0","     0.0","     0.0","     0.0","     0.0","     1.0","     2.0","     1.0","     0.0","     0.0","     0.0","     0.0","     6.0","     0.0","     2.0","     1.0","   158.0","     0.0","105864.4","     0.0","     0.0","     1.0","     0.0","     1.0","    47.0","     0.0","     0.0","     0.0","     0.0","     1.0","     0.0","     1.0","     0.0","     0.0","     0.0","     0.0","     2.0","     1.0","     0.0","     0.0","    26.0","     0.0","    64.0","     0.0","     0.0","     2.0","     0.0","     0.0"
