"sample_name","depth","Acacia t.","Amaranthaceae undif.","Apiaceae undif.","Asteroideae undif.","Betula","Capparaceae undif.","Cassia","Cyperaceae","Faboideae Undif.","Fagonia","Fern","Indeterminable","Poaceae","Tamarix","Tribulus","Typha"
"227.5",NA,"  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"152.5",NA,"  0.0"," 26.0","  1.0","  0.0","  0.0","  6.0","  2.0","  2.0","  0.0","  2.0","  2.0","  3.0","285.0","  2.0","  2.0","  3.0"
"57.5",NA," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"
"27.5",NA," 3.0"," 1.0"," 0.0"," 4.0"," 1.0"," 1.0"," 0.0"," 1.0"," 1.0"," 0.0"," 0.0"," 1.0","61.0"," 0.0"," 0.0"," 0.0"
