"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Buxus","Campanulaceae","Caryophyllaceae undif.","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Genisteae","Geranium","Hedera","Ilex","Indeterminable","Juglans","Lamiaceae undif.","Linum t.","Lotus t.","Myriophyllum undif.","Olea t.","Ononis t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (>50 Âµm)","Potamogeton","Potentilla t.","Primulaceae undif.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rhus coriaria","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Thalictrum","Tilia","Trifolium t.","Typha","Urtica t.","Vitis"
"-52.4",NA,NA,"  7.3","  0.0","357.0","  0.0","  0.0","  9.0","  0.0","  0.0","  0.0","  4.0"," 19.0","  1.0","  0.0","  6.0","  0.0","  0.0","  0.0"," 43.0","  2.0","  2.0","  3.0","  0.0","  0.0"," 20.0","  9.0","  0.0","  2.0"," 10.0","  0.0","  0.0","  0.0"," 13.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0"," 20.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0"," 22.0","  1.0","  0.0","  2.0","  5.0","  0.0"," 15.0"," 31.0","  3.0","  0.0","  0.0","  0.0","  3.0"," 42.0","  1.0","  3.0","  1.0","  0.0","  0.0","  1.0","  7.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"-46.4",NA,NA," 17.0","  0.0","266.0","  0.0","  0.0","  9.0","  1.0","  0.0","  3.0","  5.0","  7.0","  5.0","  0.0","  6.0","  0.0","  0.0","  0.0"," 39.0","  0.0","  4.0","  2.0","  0.0","  0.0"," 15.0","  7.0","  0.0","  0.0","  5.0","  0.0","  2.0","  0.0"," 24.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  9.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0"," 18.0","  0.0","  0.0","  4.0","  5.0","  2.0","  2.0"," 27.0","  0.0","  0.0","  0.0","  0.0"," 13.0"," 54.0","  0.0"," 11.0","  0.0","  0.0","  0.0","  2.0"," 15.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  8.0","  0.0","  1.0","  0.0"
"-41.1",NA,NA," 26.6","  0.0","169.0","  0.0","  0.0","  5.0","  0.0","  3.0","  2.0","  3.0"," 16.0","  3.0","  0.0","  2.0","  0.0","  0.0","  0.0"," 48.0","  0.0","  3.0","  2.0","  0.0","  0.0"," 16.0","  6.0","  0.0","  1.0"," 11.0","  0.0","  0.0","  0.0","  6.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 21.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0"," 20.0","  0.0","  0.0","  0.0","  6.0","  1.0"," 16.0"," 37.0","  0.0","  0.0","  0.0","  0.0","  5.0"," 50.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 13.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0"
"-37.3",NA,NA," 36.3","  0.0","140.0","  0.0","  1.0","  7.0","  0.0","  0.0","  0.0","  1.0","  9.0","  4.0","  1.0","  6.0","  0.0","  0.0","  0.0"," 41.0","  1.0","  0.0","  0.0","  0.0","  0.0"," 11.0"," 10.0","  0.0","  1.0"," 11.0","  0.0","  1.0","  0.0"," 29.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 24.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0"," 11.0","  0.0","  0.0","  1.0","  2.0","  1.0","  4.0"," 29.0","  2.0","  0.0","  0.0","  0.0"," 15.0"," 52.0","  1.0"," 18.0","  0.0","  0.0","  0.0","  0.0","  7.0","  1.0","  0.0","  0.0","  1.0","  0.0","  1.0","  1.0","  1.0","  0.0","  0.0"
"-33.6",NA,NA," 46.0","  0.0","325.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  7.0"," 14.0","  3.0","  0.0","  7.0","  0.0","  0.0","  1.0"," 41.0","  0.0","  2.0","  3.0","  0.0","  0.0"," 14.0"," 12.0","  0.0","  0.0","  7.0","  0.0","  0.0","  0.0","  8.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 25.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0"," 15.0","  0.0","  0.0","  2.0","  2.0","  0.0"," 12.0"," 26.0","  1.0","  0.0","  0.0","  0.0","  6.0"," 53.0","  1.0"," 15.0","  0.0","  0.0","  0.0","  1.0"," 11.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  7.0","  0.0","  0.0","  0.0"
"-28.5",NA,NA," 55.7","  0.0","122.0","  0.0","  0.0"," 11.0","  0.0","  0.0","  1.0","  8.0"," 16.0","  3.0","  1.0","  5.0","  0.0","  0.0","  0.0"," 35.0","  1.0","  1.0","  0.0","  0.0","  0.0"," 14.0","  6.0","  0.0","  0.0","  7.0","  0.0","  0.0","  0.0"," 16.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 20.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 16.0","  0.0","  0.0","  0.0","  1.0","  2.0","  8.0"," 31.0","  0.0","  0.0","  0.0","  0.0"," 10.0"," 55.0","  0.0"," 26.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"-22.7",NA,NA," 65.4","  7.0","179.0","  0.0","  0.0"," 13.0","  0.0","  0.0","  5.0","  7.0"," 29.0","  3.0","  0.0","  9.0","  0.0","  0.0","  4.0"," 73.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 26.0"," 12.0","  0.0","  0.0","  7.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0"," 22.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0"," 37.0","  0.0","  0.0","  6.0","  8.0","  8.0"," 20.0"," 32.0","  0.0","  0.0","  0.0","  0.0"," 35.0","128.0","  0.0","  8.0","  0.0","  0.0","  0.0","  0.0"," 11.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0"
"-16.4",NA,NA," 75.1","  0.0","169.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  2.0"," 14.0","  9.0","  0.0","  8.0","  0.0","  0.0","  2.0"," 40.0","  2.0","  3.0","  2.0","  0.0","  0.0"," 13.0"," 12.0","  0.0","  0.0","  6.0","  0.0","  1.0","  1.0"," 21.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0"," 17.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0"," 13.0","  0.0","  0.0","  3.0","  0.0","  1.0"," 10.0"," 30.0","  1.0","  0.0","  0.0","  0.0"," 16.0"," 53.0","  3.0"," 13.0","  0.0","  0.0","  0.0","  1.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0"
"-10.5",NA,NA," 84.8","  0.0","768.0","  0.0","  0.0"," 16.0","  0.0","  0.0","  0.0","  1.0"," 15.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 30.0","  0.0","  1.0","  0.0","  0.0","  0.0"," 28.0"," 13.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0"," 11.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 24.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 14.0","  0.0","  0.0","  2.0","  2.0","  1.0","  8.0"," 32.0","  0.0","  0.0","  0.0","  0.0"," 11.0"," 65.0","  0.0","  4.0","  0.0","  0.0","  0.0","  1.0"," 10.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  1.0","  0.0"
" -6.5",NA,NA," 94.5","  0.0","123.0","  0.0","  0.0","  9.0","  0.0","  0.0","  1.0","  4.0"," 16.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0"," 54.0","  0.0","  1.0","  2.0","  0.0","  0.0"," 17.0"," 21.0","  0.0","  1.0","  3.0","  0.0","  3.0","  0.0"," 22.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 16.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  3.0","  9.0","  0.0","  0.0","  0.0","  5.0","  0.0","  8.0"," 35.0","  0.0","  1.0","  0.0","  0.0","  7.0"," 56.0","  0.0"," 11.0","  0.0","  0.0","  0.0","  0.0","  6.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0"
