"Depth","Lezine et al 2017 Calibrated radiocarbon years BP","Hagenia","Acacia t.","Aerva type","Aeschynomene","Aizoaceae t.","Albizia","Alchornea","Algae","Amaranthaceae undif.","Andrachne","Animalia","Anthemideae undif.","Apiaceae undif.","Apocynaceae undif.","Artemisia","Arthrocaulon-type","Asteroideae undif.","Avicennia","Balanites","Barbeya","Blepharis","Boraginaceae undif.","Brassicaceae","Caesalpinioideae undiff.","Calligonum","Capparaceae undif.","Cardueae undif.","Caryophyllaceae undif.","Cassia","Caucanthus","Cedrus","Celosia type","Celtis","Centaurea","Chrozophora","Cichorieae","Cissampelos","Cissus t.","Combretaceae","Commiphora","Convolvulaceae","Cupressaceae","Cyperaceae","Dipterygium glaucum","Dodonaea","Elaeis","Ephedra","Erica t.","Eriosema","Erodium","Euphorbia t.","Euphorbiaceae undif.","Fabaceae Undif.","Fagonia","Fern","Gentiana t.","Geranium","Heliotropium","Justicia t.","Kohautia","Lamiaceae undif.","Lotus t.","Macaranga","Maerua","Maytenus","Melastomataceae","Moltkiopsis","Monoletes","Monsonia","Morella","Neurada","Nyctaginaceae","Nymphaea","Olea t.","Paronychieae","Petaloid monocot","Pistacia","Plantago","Plumbaginaceae","Poaceae","Podocarpus","Polygala","Polygonum t.","Prosopis t.","Protist","Psoralea","Rapanea","Resedaceae undiff.","Rhizophora","Rosaceae undif.","Rumex t.","Salix","Salvadora","Sapotaceae undif.","Scrophulariaceae undif.","Searsia","Solanaceae undif.","Sorindeia","Spergularia t.","Syzygium t.","Tamarindus","Tamarix","Tephrosia","Tintinnid","Tribulus","Trichodesma","Typha","Unknown","Urtica t.","Vahlia","Verbena t.","Vitaceae undif.","Ziziphus/Paliurus","Zygophyllum t."
"205.5","--/2271/--",NA,"0","0","0","0","0","0","0","110","0","0","4","1","0","29","14","6","3","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","7","3","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","1","0","12","0","0","0","1","621","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","10","2","0","0","62","0","0","0","0","0","0"
"207.5","--/2300/--"," 1","1","0","0","2","0","0","0","164","0","0","2","1","0","48","23","9","12","0","0","1","0","0","0","5","0","0","0","0","0","0","1","0","1","0","1","0","0","5","0","2","0","25","3","2","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","3","0","0","2","1","11","0","0","0","2","360","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","12","3","0","3","55","0","0","0","0","0","0"
"210.5","--/2345/--",NA,"1","0","0","1","0","0","0","148","0","0","4","1","0","61","12","8","2","0","0","0","0","1","0","4","0","0","3","1","0","0","1","0","2","0","0","0","0","2","0","2","0","13","2","2","0","1","0","0","0","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","1","0","8","0","1","0","0","275","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","7","3","0","2","132","0","0","0","0","0","0"
"212.5","--/2375/--",NA,"0","0","0","1","0","0","0","147","0","0","7","1","0","41","12","4","14","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","2","1","0","0","0","5","0","1","1","27","7","2","0","1","0","0","0","3","0","2","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","11","0","0","0","1","433","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","2","0","9","1","0","0","39","2","0","0","0","0","2"
"215.5","--/2420/--",NA,"0","0","0","0","0","0","0","138","0","0","1","0","0","55","13","4","2","0","0","0","0","1","0","4","0","0","1","0","0","0","1","0","1","0","0","0","0","5","0","1","0","34","0","0","0","1","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","2","0","0","2","0","13","2","0","0","2","179","0","0","0","1","1","0","1","0","0","0","0","0","0","0","1","0","0","0","14","2","0","0","178","1","2","0","0","0","3"
"217.5","--/2450/--",NA,"1","0","0","1","1","1","1","170","0","0","3","2","0","33","14","11","7","0","0","0","1","0","0","3","0","0","0","1","0","0","1","0","1","0","0","0","0","7","0","1","0","16","2","0","0","2","0","0","0","1","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","2","9","0","1","0","0","236","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","3","0","0","16","0","0","0","0","0","0"
"225.5","--/2569/--",NA,"0","0","0","0","0","0","0","148","0","0","3","0","0","63","22","4","6","0","1","1","0","2","0","4","0","0","1","0","0","0","1","0","0","0","0","0","0","4","0","0","0","15","0","6","0","1","0","0","0","2","0","0","0","0","0","0","1","0","1","0","0","0","2","0","0","0","0","1","0","0","0","0","1","2","0","0","2","0","7","0","0","0","0","0","1","0","1","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","6","0","2","0","0","0","0","0","0","0"
"230.5","--/2644/--",NA,"0","0","0","1","0","0","0","178","0","0","0","3","0","49","13","6","4","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","24","4","1","0","0","0","0","0","1","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","0","0","2","0","13","0","0","0","2","131","0","0","0","7","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","2","0","0","85","0","0","0","0","0","0"
"245.5","--/2868/--",NA,"2","0","1","1","0","0","0","103","0","0","1","0","0","55","7","5","8","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","5","1","1","1","17","0","2","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","11","1","0","0","0","263","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","1","0","16","3","0","0","49","0","0","0","0","1","0"
"249.5","--/2927/--",NA,"2","0","0","0","0","0","0","128","0","0","1","0","0","42","13","3","8","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","28","2","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","3","0","0","0","0","576","0","0","1","6","0","1","1","3","0","0","0","0","0","0","0","0","0","0","9","3","0","0","82","0","0","0","0","0","0"
