"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Algae","Algae? (type 225, HdV)","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Berberis t.","Boraginaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cardueae undif.","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cercophora-type/Cercophora sp. (type 112, HdV)","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Entorrhiza sp. (type HdV-527)","Erica t.","Erodium","Fabaceae Undif.","Fern","Fraxinus","Fungi","Fungi (type 18, HdV)","Genisteae","Geranium","Lamiaceae undif.","Lasiosphaeria sp.","Malva","Olea t.","Petaloid monocot","Phillyrea","Pinus mediterranea","Pinus nigra/sylvestris t.","Pinus pinaster","Pistacia","Plantago","Pleospora","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Prunus t.","Pseudoschizaea circula","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Spirogyra sp. (type 315, HdV)","Trichocladium opacum (type 10, HdV)","Trifolium t.","cf. Richonia variospora (type 140, HdV)"
"763",NA,NA," 21","  0","  7","  7","  1","  0","  1","  0","  0","  7","  0","  0"," 10","  0","  0","  4"," 10","  0","  0","  1","  0","154"," 13","  0","  8"," 27","  0","  1","  0"," 19"," 81","  7","132","  0"," 54","  0","  1","  1","  0","  0"," 13","  0","  5"," 12","  0","  0","  1","  0","  0","204","  3","  1","224","  0","  1","  0","  4","  0","  1","  0","  0","  3","  0","  0","  0"
"850",NA,NA," 23","  0","  5","  7","  0","  1","  1","  0","  0"," 14","  0","  0"," 15","  0","  0","  2"," 12","  0","  0","  0","  0","162"," 12","  0","  5"," 28","  0","  0","  0"," 28","114","  3","219","  0"," 29","  0","  0","  0","  0","  0"," 12","  0"," 21"," 13","  1","  0","  0","  0","  0","168","  1","  0","298","  1","  3","  0","  1","  0","  5","  0","  0","  2","  1","  0","  0"
"937",NA,NA," 25","  0","  0"," 15","  0","  0","  1","  0","  0"," 16","  0","  0","  3","  1","  1","  7"," 12","  0","  0","  1","  0","120","  5","  0","  3"," 29","  1","  1","  1"," 24"," 42","  5"," 72","  0"," 71","  0","  2","  4","  0","  0","  6","  0","  7","  1","  0","  1","  1","  2","  1","240","  2","  2","242","  1","  5","  1","  3","  0","  0","  0","  0","  2","  0","  0","  0"
"1045",NA,NA,"  27","   1","   0","  12","   0","   0","   1","   0","   0","   9","   0","   1","   3","   0","   0","   9","  13","   0","   0","   1","   0"," 120","   6","   0","   5","  26","   0","   3","   0","  25","  62","   5","  84","   0","  94","   0","   1","   0","   0","   0","   2","   2","   5","   3","   0","   0","   1","   1","   0"," 243","   2","   2"," 110","   2","   0","   0","   5","   0","   0","   0","   2","   0","   1","   1","   0"
"1152",NA,NA,"  29","   0","   0","  12","   0","   4","   1","   0","   0","   5","   0","   0","   1","   0","   0","   2","   8","   0","   0","   0","   0"," 128","  11","   0","   6","  45","   0","   0","   0","  18","  71","   5","  67","   0","  76","   0","   0","   0","   2","   0","   2","   3","   5","  11","   0","   0","   1","   1","   0"," 270","   0","   5"," 135","   4","   3","   0","   7","   0","   0","   0","   5","   3","   9","   0","   0"
"1260",NA,NA,"  31","   0","   0","  10","   0","   3","   0","   0","   0","  12","   0","   0","   0","   0","   0","   4","   9","   0","   0","   0","   0"," 112","  10","   0","   5","  58","   0","   2","   0","  23","  70","   4"," 144","   0","  98","   0","   1","   0","   0","   0","   4","   3","   5","   5","   0","   0","   0","   1","   0"," 280","   0","   0","  97","   2","   9","   0","   4","   0","   1","   0","   2","   2","  14","   0","   0"
"1368",NA,NA,"  33","   0","   0","  12","   0","   8","   0","   0","   1","  12","   0","   0","  11","   0","   0","   5","  16","   1","   0","   0","   1","  96","   4","   0","   7","  66","   0","   6","   1","  20","  47","   5"," 216","   0"," 120","   0","   2","   0","   0","   0","   4","   5","   5","   5","   0","   0","   0","   0","   0"," 284","   0","   7","   0","   3","  12","   0","   2","   0","   2","   0","   3","   0","  70","   0","   0"
"1475",NA,NA,"  35","   0","   1","  30","   0","   0","   3","   0","   1","  14","   0","   0","   7","   0","   0","   7","  16","   0","   0","   0","   0","  58","  17","   0","   5","  22","   0","   1","   0","  18","  41","   3"," 231","   0"," 102","   0","   3","   2","   0","   0","   0","   3","   3","   7","   1","   0","   0","   1","   0"," 280","   0","   4","  60","   3","   5","   1","   5","   0","   3","   0","   0","   0","  33","   0","   0"
"1583",NA,NA,"  37","   0","   0","  14","   0","   1","   0","   1","   0","  14","   0","   0","   4","   0","   0","   5","  15","   0","   0","   0","   0","  60","   7","   0","   7","  53","   0","   1","   0","  18","  14","   2"," 138","   0"," 112","   0","   3","   7","   0","   0","   7","   3","   5","   2","   0","   0","   0","   0","   0"," 320","   1","   5","  37","   3","   7","   0","   3","   0","   0","   0","   2","   0","   0","   1","   0"
"1691",NA,NA,"  39","   0","   0","  36","   0","   2","   1","   0","   0","  24","   0","   0","   5","   0","   0","   6","  11","   0","   0","   0","   0","  72","  20","   0","   7","  20","   0","   2","   0","  26","  27","   3"," 230","   0"," 104","   0","   0","   0","   0","   0","   4","   4","   4","   5","   0","   0","   1","   0","   0"," 280","   0","   8","  40","   3","   6","   1","   6","   0","   2","   0","   3","   0","   0","   0","   0"
"1798",NA,NA,"  41","   0","   0","  32","   0","   0","   1","   0","   0","  10","   1","   0","   8","   0","   0","  20","  16","   1","   0","   0","   0","  90","  29","   0","   4","  50","   0","  10","   0","  24","  22","   6"," 296","   0"," 108","   0","   5","   1","   0","   0","   8","   7","   5","   5","   0","   0","   1","   0","   0"," 218","   0","  12","  26","   4","  14","   0","   9","   0","   0","   0","   6","   0","   0","   0","   0"
"2083",NA,NA,"  43","   0","   1","  32","   0","   0","   2","   1","   0","  12","   2","   0","  10","   1","   0","  16","  12","   0","   0","   0","   0","  90","  20","   0","  12","  34","   0","   6","   0","  36","  28","   6"," 255","   0","  90","   0","   2","   6","   0","   0","  10","   2","   2","   2","   0","   0","   3","   0","   0"," 240","   0","  15","  44","   4","  10","   0","   7","   1","   2","   0","   5","   0","   0","   0","   0"
"2545",NA,NA,"  45","   0","   0","  42","   0","   2","   8","   0","   2","  14","   0","   0","  12","   1","   0","  18","  16","   0","   0","   0","   0","  65","  14","   0","   8","  34","   0","   9","   1","  22","  20","   4"," 353","   0","  53","   0","   2","  14","   0","   0","  12","   1","   5","   2","   0","   0","   0","   0","   0"," 251","   0","  11","  60","   7","  16","   0","  11","   0","   2","   0","   6","   0","   0","   0","   0"
"3007",NA,NA,"  47","   0","   0","  46","   0","   1","   2","   0","   3","  19","   0","   0","   7","   0","   0","  14","  20","   0","   0","   0","   0","  28","  13","   0","  11","  38","   0","  12","   4","  14","  23","   5"," 214","   0","  39","   0","   1","  12","   0","   0","  11","   3","   9","   4","   0","   0","   0","   0","   0"," 260","   0","   6","  34","   4","  18","   0","   8","   0","   4","   0","   1","   0","   0","   0","   0"
"3469",NA,NA,"  49","   0","   0","  54","   0","   1","   4","   1","   2","  23","   1","   0","   5","   0","   0","  15","  24","   0","   0","   0","   0","  26","  13","   0","   9","  35","   0","   8","   6","  19","  17","   3"," 198","   0","  43","   0","   1","  14","   0","   0","   9","   4","   8","   7","   0","   0","   0","   0","   0"," 312","   0","   9","  45","   6","  19","   0","   5","   0","   4","   0","   1","   0","   0","   0","   0"
