"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Acacia t.","Acanthaceae undif.","Alchornea","Amaranthaceae undif.","Annonaceae","Antidesma t.","Apiaceae undif.","Apocynaceae undif.","Araliaceae undif.","Artemisia","Asteraceae","Balanites","Betula","Bombax","Borreria t.","Brassicaceae","Bridelia","Capparis","Caryophyllaceae undif.","Cassia","Celtis","Centaurea","Chrozophora","Chrysobalanus t.","Cissampelos","Clematis-type","Combretaceae","Commiphora","Connaraceae","Cyperaceae","Detarium","Diospyros/Euclea t.","Elaeis","Ephedra","Euphorbiaceae undif.","Faboideae Undif.","Fern-Lycopodiaceae","Ficus","Hymenocardia","Hyphaene t.","Indeterminable","Kohautia","Lamiaceae undif.","Lannea","Macaranga","Menispermaceae undif.","Mitragyna/Hallea","Monoletes","Moraceae undif.","Morelia","Myriophyllum alterniflorum t.","Nyctaginaceae","Nymphaea","Olea t.","Phoenix t.","Phyllanthus undif.","Piliostigma","Poaceae","Podocarpus","Polygala","Polygonum t.","Rubiaceae undif.","Salvadora","Securinega  t.","Sideroxylon t.","Spergularia t.","Syzygium t.","Triletes","Typha","Uapaca","Vernonieae","Vitex","Ximenia","Ziziphus/Paliurus"
"2844.677"," 100.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 301.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 298.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"3004.723"," 105.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   9.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 231.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 435.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"3164.768"," 110.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 100.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 510.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"3324.814"," 115.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  42.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 137.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 524.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"3484.859"," 120.000","   2.000","   0.000","  16.000","   3.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","  52.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","  78.000","   0.000","   0.000","   1.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 440.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"3644.905"," 125.000","   0.000","   0.000","  14.000","   6.000","   1.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  87.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","  66.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000"," 388.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   1.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"3804.95"," 130.00","   0.00","   0.00","  16.00","   4.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","  77.00","   5.00","   0.00","   0.00","   0.00","   0.00","   1.00","  53.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 401.00","   0.00","   0.00","   0.00","   3.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"3964.995"," 135.000","   0.000","   0.000","  56.000","   5.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   1.000","   0.000","   4.000","   0.000","   0.000","  67.000","   2.000","   0.000","   0.000","   1.000","   0.000","   1.000","  54.000","   0.000","   0.000","   1.000","  10.000","   0.000","   2.000","   4.000","   0.000","   3.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   1.000","   0.000","   0.000"," 278.000","   0.000","   1.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   9.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"4163.711"," 140.000","   0.000","   1.000","  64.000","  10.000","   0.000","   0.000","   0.000","   4.000","   0.000","   2.000","   0.000","   1.000","   0.000","   0.000","   3.000","   0.000","   0.000","   1.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   1.000","   0.000","  16.000","   0.000","   0.000"," 100.000","   1.000","   0.000","   0.000","   0.000","   1.000","   1.000"," 105.000","   0.000","   1.000","   0.000","  10.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   2.000","   0.000","   0.000","   0.000","   0.000"," 287.000","   0.000","   0.000","   0.000","   2.000","   0.000","   1.000","   0.000","   0.000","   7.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   1.000"
"4366.724"," 145.000","   0.000","   0.000","  53.000","   4.000","   0.000","   0.000","   0.000","   1.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","  84.000","   3.000","   0.000","   0.000","   0.000","   1.000","   0.000","  96.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000"," 327.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   9.000","   3.000","   0.000","   0.000","   1.000","   0.000"
