"age_NA","ageolder_BP","ageyounger_BP","depth","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Boraginaceae undif.","Brassicaceae","Campanulaceae","Cardueae undif.","Caryophyllaceae undif.","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Fabaceae Undif.","Fern","Glomus cf. G. fasciculatum","Lamiaceae undif.","Malva","Myriophyllum undif.","Olea t.","Petaloid monocot","Phillyrea","Pinus mediterranea","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygala","Polypodiophyta (monolete) undiff.","Polypodiophyta (trilete)","Pseudoschizaea circula","Quercus deciduous","Quercus evergreen","Riccia undiff.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Sordaria undiff.","Tamarix","Thymelaeaceae undif.","Unknown (type 181, HdV)","Urtica t."
NA,NA,NA," 39","  0"," 73","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","498","  0","  0","  0","  0"," 61","  0","  0","  0","  0","  0","  6","  0","  4","  6","  0"," 41","  0","  0","  4","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"
NA,NA,NA,"  38","   0","  53","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1816","   0","   0","  19","   0","  85","   2","   0","   0","   0","   0","  15","   0","   0","  20","   0","  27","   0","   0","   9","   7","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0"
NA,NA,NA," 18","  0"," 52","  0","  0","  0","  0","  3","  0","  1","  3","  0","  0","240","  0","  0","  0","  2"," 23","  0","  7","  0","  0","  0","  0","  0","  2","  0","  0"," 11","  0","  0","  0","  3","  0","  0","  0","  2","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0"
NA,NA,NA," 13","  0"," 81","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","870","  7","  4","  0","  0","104","  0","  0","  5","  0","  0","  0","  0","  0","  2","  0"," 13","  0","  0","  0","  3","  6","  0","  0","  0","  2","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"  43","   0","  31","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","1400","   0","   0","   1","   0"," 155","   0","   0","   0","   0","   1","   1","   0","   0","   0","   1","  18","   0","   0","   0","   3","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   1","   3","   0","   0"
NA,NA,NA," 35","  0"," 43","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","907","  0","  0","  1","  0","116","  1","  0","  0","  0","  0"," 29","  0","  0","  0","  0"," 53","  0","  0","  2","  2","  0","  0","  0","  0","  1","  0","  2","  0","  0","  0","  0","  0","  2","  0","  0","  0"
NA,NA,NA,"  5","  0"," 12","  0","  0","  0","  0","  0","  4","  5","  3","  1","  0","193","  0","  0","  0","  0"," 19","  0","  1","  2","  0","  0","  2","  0","  0","  0","  0"," 37","  0","  3","  0","  3","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0"
NA,NA,NA," 16","  0"," 98","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","516","  0","  0","  6","  0"," 21","  0"," 14","  0"," 15","  1","  0","  0","  0","  0","  0"," 19","  0","  4","  0","  2","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  1","  2","  0","  0"
NA,NA,NA,"   4","   0","  32","   0","   0","   1","   0","   0","   0","   4","   1","   0","   0","2105","   0","   0","   1","   0","   6","   0","   1","   0","   0","   0","   3","   0","   0","   1","   0","   5","   0","   0","   1","   3","   0","   0","   0","   0","   0","   0","   5","   0","   1","   0","   0","   0","   0","   0","   0","   0"
NA,NA,NA," 37","  1"," 22","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","500","  0","  0","  0","  0"," 31","  0","  0","  0","  0","  2","  0","  0","  1","  1","  0","116","  0","  0","  0","  2","  0","  0","  0","  1","  3","  0","  0","  0","  0","  1","  0","  0","  0","  0","  2","  0"
NA,NA,NA,"  34","   0","  15","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","1446","   0","   0","  46","   0","  69","   2","   0","   2","   2","   1","  15","   0","   0","   2","   0","  27","   0","   0","   2","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"
NA,NA,NA,"  7","  0"," 43","  0","  0","  1","  0","  0","  0","  0","  3","  0","  0","666","  0","  0","  4","  0"," 21","  0","  2","  0","  0","  2","  0","  0","  1","  2","  0"," 77","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  1","  2","  0","  0","  0","  0"
NA,NA,NA,"   8","   0","  47","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","1018","   0","   0","   0","   0","  82","   0","   0","   0","   2","   0","   5","   1","   0","   0","   0","  19","   0","   2","   1","   1","   0","   0","   0","   0","   1","   0","   3","   0","   2","   0","   2","   0","   0","   0","   0","   0"
NA,NA,NA,"  27","   0","  18","   0","   0","   3","   0","   0","   0","   1","   1","   0","   0","1000","   0","   0","   2","   0","  82","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  33","   0","   1","   1","   2","   0","   0","   0","   0","   3","   0","   2","   0","   0","   0","   0","   0","   1","   1","   0","   0"
NA,NA,NA," 12","  0","111","  0","  0","  0","  0","  1","  0","  2","  1","  0","  0","331","  7","  0","  2","  0","102","  0","  0","  0","  0","  0","  1","  0","  0","  6","  0"," 42","  0","  0","  1","  2","  0","  0","  0","  0","  0","  0","  3","  0","  2","  0","  0","  0","  1","  0","  0","  0"
NA,NA,NA," 25","  0"," 90","  0","  0","  6","  0","  0","  0","  0","  1","  0","  0","620","  0","  0","  3","  0"," 24","  0","  0","  0","  2","  1","  0","  0","  3","  0","  0"," 10","  0","  0","  0","  3","  0","  0","  0","  0","  3","  0","  6","  0","  3","  0","  0","  0","  1","  6","  0","  0"
NA,NA,NA," 14","  0"," 54","  0","  0","  0","  0","  1","  0","  4","  9","  0","  0","562","  0","  0","  2","  0"," 35","  0","  6","  0","  0","  9","  1","  0","  0","  0","  0","  9","  0","  0","  0","  5","  0","  0","  0","  0","  0","  1"," 12","  0","  2","  0","  0","  0","  1","  0","  0","  0"
NA,NA,NA,"   3","   0","  71","   0","   0","   0","   0","   0","   2","   3","   1","   0","   0","1600","   0","   0","   5","   0","  60","   0","   0","   0","   1","   0","   2","   1","   0","   2","   0","  62","   0","   0","   0","   1","   0","   0","   0","   2","   0","   0","   7","   0","   0","   0","   0","  29","   1","   0","   0","   0"
