"Depth (cm) [cm]","Sample Age (cal yr AD) [cal yr AD]","Acacia t.","Acalypha","Acanthaceae undif.","Adansonia digitata","Adenium","Aerva type","Aeschynomene","Afzelia","Aizoaceae t.","Albizia","Alchornea","Algae","Allophylus t.","Amaranthaceae undif.","Ambrosia t.","Anacardiaceae undiff.","Anacardium","Animalia","Anthemideae undif.","Anthoceros t.","Anthostema","Apiaceae undif.","Artemisia","Asteroideae undif.","Avicennia","Balanites","Brassicaceae","Bridelia","Calligonum","Caperonia","Cardiospermum","Cardueae undif.","Caryophyllaceae undif.","Cassia","Casuarina","Ceiba","Celosia type","Celtis","Centaurea","Chrysobalanus t.","Cichorieae","Cissus t.","Citrus","Clausena","Cleome","Cocculus","Combretaceae","Commelina","Commiphora","Convolvulaceae","Cyperaceae","Daniellia","Detarium","Dialium","Dichrostachys","Elaeis","Ephedra","Eriosema","Erodium","Euphorbia t.","Fabaceae Undif.","Faidherbia albida","Fern","Fern-Lycopodiaceae","Ficus","Flabellaria","Gomphrena t.","Grewioideae","Heliotropium","Hymenocardia","Hypoestes t.","Indeterminable","Ipomoea","Isoberlinia","Ixora","Keetia","Kohautia","Lamiaceae undif.","Lannea","Lepidagathis","Lepistemon","Lophira","Lotus t.","Macaranga","Maerua","Mallotus","Meliaceae undif.","Mineral","Mitracarpus","Mitragyna/Hallea","Monoletes","Monoletes orn̩e","Morelia","Nauclea","Nymphaea","Olea t.","Parkinsonia","Pavetta","Petaloid monocot","Phoenix t.","Phyla t.","Phyllanthus maderaspatensis","Phyllanthus undif.","Piliostigma","Poaceae","Polygala","Polygonum t.","Prosopis t.","Protist","Psydrax","Resedaceae undiff.","Rhizophora","Rubiaceae undif.","Rumex t.","Ruppia","Salix","Salvadora","Sapotaceae undif.","Securinega  t.","Spergularia t.","Spermacoce","Syzygium t.","Tamarindus","Tamarix","Tapinanthus","Tetracera alnifolia","Tiliacora","Treculia","Tribulus","Trilepisium","Triletes","Tuberculodinium vancampoe","Typha","Uapaca","Unknown","Urtica t.","Vangueria","Zanthoxylum","Ziziphus/Paliurus","charcoal"
"  9.5","2001.878","0","0","0","0","0","1","0","0","0","0","0","10","0","17","0","0","0","17","9","0","0","0","0","1","16","0","1","0","0","0","0","0","1","5","1","0","0","0","0","0","1","0","0","0","0","0","7","0","0","1","62","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","5","0","0","0","0","16","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","3","1","0","0","0","17","0","0","0","0","2","0","0","0","0","378","0","0","0","11","0","0","62","0","0","0","1","0","0","0","3","0","1","0","12","0","0","0","0","0","0","1","0","19","0","12","0","0","0","0","0"
" 29.5","1974.939","1","0","0","1","0","1","0","0","0","0","4","0","0","9","1","0","0","0","15","0","0","0","0","0","36","0","0","0","0","0","0","0","0","3","0","1","0","1","0","0","1","0","0","0","0","0","3","0","0","0","45","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","493","0","0","0","0","0","5","56","0","0","0","0","0","0","0","6","3","0","0","0","0","0","0","0","0","0","0","0","4","2","6","0","0","0","0","0"
" 39.5","1961.469","1","0","0","0","1","2","0","0","2","0","0","2","0","10","1","0","0","2","14","1","0","0","0","0","20","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","2","1","8","4","1","0","26","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","2","2","0","0","0","4","0","0","0","0","0","0","0","0","0","271","0","0","0","3","0","0","42","0","0","0","0","2","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","5","0","12","1","0","0","0","0"
" 49.5","1948.000","0","0","0","1","0","1","1","0","0","0","0","1","0","7","0","0","0","0","8","0","0","0","0","0","20","0","1","2","0","0","0","0","1","1","1","0","1","3","1","0","0","8","0","0","0","0","5","1","1","0","40","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","12","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","4","0","0","0","0","1","0","0","0","0","336","0","0","0","15","0","0","92","0","0","0","0","0","0","0","2","2","0","0","2","0","0","0","0","0","0","0","0","4","0","2","0","0","0","0","0"
" 59.5","1911.822","1","0","0","1","0","2","0","0","0","0","0","14","0","5","0","0","0","3","19","0","0","0","0","0","29","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","3","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","0","7","0","0","0","0","0","0","0","0","0","226","0","0","0","7","0","0","90","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","1","6","0","0","1","0","0"
" 69.5","1875.645","0","0","0","0","0","1","0","0","4","0","0","2","0","7","1","0","1","2","21","1","0","0","0","1","33","1","1","0","0","0","0","0","0","1","0","0","0","3","0","0","1","0","0","0","0","0","4","0","1","0","15","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","11","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","1","0","0","0","1","1","0","0","0","0","2","0","0","0","0","130","0","0","0","4","0","1","114","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","4","0","0","0","0","0"
" 79.5","1839.467","0","0","0","0","0","1","0","0","1","0","5","6","0","10","0","0","0","0","16","1","0","0","0","3","33","11","0","0","0","1","0","0","0","3","0","0","0","2","0","0","0","0","0","0","1","0","5","0","0","0","21","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","1","0","13","0","0","0","0","0","0","0","0","0","0","2","2","1","1","0","0","3","0","0","0","0","0","0","0","0","0","131","0","1","0","1","0","0","171","0","0","0","0","0","0","0","2","3","0","0","2","0","0","0","0","0","0","0","0","5","1","22","0","0","1","0","0"
" 89.5","1803.290","1","0","0","2","0","0","0","0","8","0","0","4","0","1","1","0","0","0","47","0","0","0","0","1","91","1","0","0","0","0","0","0","1","1","0","1","0","9","0","0","0","0","0","0","2","0","1","0","2","6","18","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","6","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","5","0","0","0","1","0","0","0","0","0","78","0","0","0","0","0","0","168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","0","0","0","0","0"
" 99.5","1767.112","1","0","0","0","0","2","0","0","0","1","3","0","0","11","3","0","0","0","4","5","0","1","0","0","8","1","0","1","0","0","0","0","0","2","0","1","0","6","0","0","0","0","0","0","2","0","12","0","1","0","37","1","1","0","0","1","0","0","0","0","1","1","1","0","1","0","0","1","0","0","0","7","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","3","5","2","1","0","0","0","0","0","1","0","0","0","0","0","0","232","0","0","0","0","0","0","74","1","0","0","1","3","2","0","0","2","3","0","1","0","0","0","0","0","0","2","0","6","0","14","0","0","0","0","0"
"109.5","1730.934","5","1","1","0","0","5","0","0","0","0","1","15","0","15","1","0","0","0","3","4","0","0","0","0","4","0","1","2","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","8","0","0","0","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","2","14","1","0","0","0","1","0","0","0","1","0","0","0","0","0","255","0","0","0","4","0","0","63","0","0","2","0","0","0","0","3","2","1","0","0","0","0","0","0","0","0","0","0","5","8","0","1","0","0","0","0"
