"Depth","Site name","Acacia t.","Acanthaceae undif.","Amaranthaceae undif.","Anacardiaceae undiff.","Apiaceae undif.","Araliaceae undif.","Artemisia","Asclepiadaceae undif.","Asteroideae undif.","Boraginaceae undif.","Brassicaceae","Caesalpiniaceae undif.","Calligonum","Capparaceae undif.","Capparis","Caryophyllaceae undif.","Cassia","Celtis","Cichorieae","Cistaceae","Concentration (p/g)","Cucurbitaceae undif.","Cupressaceae","Cyperaceae","Echium t.","Ephedra","Euphorbiaceae undif.","Fabaceae Undif.","Fagonia","Ficus","Fraxinus","Hypericum undif.","Indeterminable","Juncaceae","Lamiaceae undif.","Lemnaceae","Lotus t.","Maerua","Moltkiopsis","Myrtus","Olea t.","Other herb plants","Other woody plants","Paronychieae","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Poaceae","Pollen sum (from Grandi, Lippi & Mercuri 1998)","Populus","Potamogeton","Quercus deciduous","Quercus evergreen","Rhamnaceae undif.","Ricinus","Rumex t.","Salvadora","Searsia","Tamarix","Trees","Tribulus","Trichodesma","Typha","Ulmus t.","Urtica t.","Vitaceae undif.","Ziziphus/Paliurus","Zygophyllum t.","herbs","shrubs"
"TH120-1","TH120-1","13","0","3","0","2","0","18","0","45","1","16","1","0","0","11","2","0","0","2","0","49473","0","0","16","45","15","0","10","0","1","0","1","6","0","0","0","5","0","10","1","0","29","2","9","2","0","0","3","60","351","0","0","0","0","0","0","0","0","0","20","35","0","1","0","0","4","0","0","0","253","63"
"TH120-2","TH120-2","0","0","4","4","0","0","3","0","33","0","10","0","0","0","1","2","0","0","2","5","15681","0","0","149","1","1","0","3","0","0","0","0","0","0","0","0","0","0","6","0","0","25","0","0","0","0","0","0","18","340","2","0","1","1","0","0","45","1","0","16","20","6","0","1","0","0","0","4","0","289","31"
