"age_Radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Hagenia","Abutilon t.","Acacia t.","Alnus","Amaranthaceae undif.","Anthocerotales (type 1)","Anthocerotales (type 2)","Anthocerotales (type 3)","Apiaceae undif.","Artemisia","Asteroideae undif.","Cardiospermum","Caryophyllaceae undif.","Cichorieae","Combretaceae","Cyperaceae","Fabaceae Undif.","Fern","Hypoestes t.","Indeterminable","Lamiaceae undif.","Onagraceae","Ophioglossum cf. O. polyphyllum","Persicaria t.","Picea","Pinus undif.","Plantago","Poaceae","Podocarpus","Quercus deciduous","Ranunculaceae undif.","Riccia","Rumex t.","Sambucus","Sapotaceae undif.","Syzygium t.","Typha","Unknown","Unknown (monolete) undiff.","Unknown (monolete, psilate)","Unknown (trilete, psilate)"
"3972",NA,NA," 300",NA,"   0","   0","   0","   3","   0","  13","   0","   0","   0","   7","   0","   1","   0","   0"," 249","   0","   3","   0","  15","   0","  21","   0","   0","   0","   1","   0"," 139","  27","   0","   0","   1","   0","   0","   0","   0","  49","  17","   3","   3","  13"
"4023",NA,NA," 350",NA,"   0","   0","   0","   7","   0","  22","   0","   0","   0","   4","   1","   0","   1","   0","  64","   1","   6","   1","  10","   0","   0","   2","   0","   1","   4","   1"," 266","  11","   2","   3","   1","   0","   0","   0","   0","   2","  20","   6","   9","  14"
"5006",NA,NA,"1480","   1","   0","   2","   0","   3","   2","   6","   2","   2","   1","  13","   0","   1","   0","   1","  66","   0","   4","   0","  12","   1","   0","   0","   1","   0","   3","   3"," 108","  10","   0","   1","   0","   1","   1","   2","   0","   0","  18","   8","   9","  18"
"7457",NA,NA,"2260",NA,"   1","   1","   1","  12","   1","   6","   3","   0","   0","   4","   0","   0","   2","   0","  64","   1","   2","   0","  15","   0","   0","   0","   0","   0","   8","   0","  74","   5","   0","   0","   5","   0","   0","   0","   1","   0","  19","   4","  13","  17"
