"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Ambrosia t.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Buxus","Calligonum","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Ceratonia","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Cotinus coggygria","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Erodium","Euphorbiaceae undif.","Fabaceae Undif.","Fagus","Fern","Filipendula t.","Fraxinus","Genisteae","Gentianaceae undif.","Geranium","Hedera","Heliotropium","Indeterminable","Jasminum","Juglans","Lamiaceae undif.","Ligustrum","Lonicera","Loranthus","Lycopodium spike","Malva undif.","Mercurialis","Musci","Myrtus","Nerium","Olea t.","Papaver t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Poaceae (Cerealia-type, indeterminable)","Polygonum t.","Potamogeton","Quercus deciduous","Quercus evergreen","Quercus pro parte","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Sparganium","Stuckenia-type","Taxus","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Triletes","Typha","Ulmus t.","Unknown (trilete, reticulate)","Urtica t.","Viburnum","Vitis"
NA,NA,NA,"233","0","0","2","7","0","2","0","10","1","17","1","1","0","0","0","0","0","5","0","0","0","30","0","0","0","1","0","2","4","0","0","8","1","1","3","0","5","0","7","1","0","0","0","1","1","0","0","3","0","0","0","244","0","3","0","1","0","18","0","0","164","0","251","18","6","0","0","19","0","0","0","0","30","2","0","0","2","1","1","2","1","1","5","0","0","1","0","1","2","0","0","0","0","0","0","1","2"
NA,NA,NA,"192","0","0","3","18","0","3","0","5","0","21","0","6","2","0","0","0","0","0","0","2","0","18","0","0","0","1","0","6","3","0","2","8","0","1","1","2","8","1","6","0","0","0","0","0","0","0","0","1","0","0","0","140","0","1","0","0","0","71","0","0","65","0","300","30","14","0","0","26","1","1","0","0","40","4","0","1","0","0","0","2","0","0","6","0","0","0","0","2","2","0","0","0","0","0","0","1","1"
NA,NA,NA,"138","1","0","3","116","0","0","0","15","0","24","1","9","2","0","0","0","0","1","0","0","0","60","4","2","0","5","0","10","3","0","2","38","0","2","0","1","8","0","2","0","0","0","0","0","4","0","0","0","1","0","0","135","0","3","0","0","0","19","0","0","10","1","144","186","28","0","0","76","0","0","0","1","75","13","0","2","0","0","0","3","0","0","23","0","0","0","0","0","0","1","0","0","1","0","0","1","1"
NA,NA,NA,"190","0","0","5","16","0","4","0","7","5","22","0","12","0","0","0","0","1","3","0","0","0","98","6","3","0","2","0","3","2","0","0","14","0","0","0","2","7","0","3","0","0","0","0","0","7","0","0","2","0","0","0","124","0","4","0","0","1","82","0","1","84","1","233","36","14","0","0","43","0","0","0","1","36","6","0","2","2","0","1","2","0","0","7","0","0","0","1","3","2","1","0","0","0","0","0","0","0"
NA,NA,NA,"115","0","0","0","8","0","0","1","1","1","20","1","1","3","0","0","0","0","3","0","0","0","173","76","0","0","0","0","3","5","0","0","14","0","0","1","0","46","1","1","0","1","0","0","0","14","0","0","1","0","1","0","127","0","0","0","0","0","18","0","2","15","1","448","28","13","0","0","39","5","5","0","0","1","3","0","3","2","0","0","0","0","0","5","0","0","0","0","0","0","2","1","0","1","2","0","1","8"
NA,NA,NA,"119","0","0","1","13","0","0","0","1","1","16","0","0","2","0","0","1","0","2","0","0","0","202","42","0","0","2","0","2","1","2","0","26","0","0","0","1","28","0","2","0","0","0","0","0","15","0","0","0","1","0","0","90","0","1","0","4","0","17","0","0","16","0","426","44","19","0","0","69","1","7","0","0","4","6","0","8","3","0","0","1","0","0","2","1","0","0","0","0","0","1","0","1","0","0","0","0","10"
NA,NA,NA,"185","0","0","2","52","1","3","0","7","0","24","0","8","1","0","0","0","0","3","0","0","0","91","8","0","0","4","0","15","3","0","1","34","0","3","1","3","7","0","12","0","0","1","0","0","5","0","0","2","1","0","0","172","0","6","0","0","0","57","0","1","47","0","239","82","16","0","0","51","3","0","1","2","68","27","0","1","0","0","2","2","0","0","16","1","0","1","0","0","0","0","0","0","1","0","0","0","2"
NA,NA,NA,"231","0","1","0","11","0","3","0","6","2","27","1","5","2","0","0","0","1","0","0","1","0","76","8","0","0","3","0","3","12","0","0","14","0","0","3","3","10","0","21","0","1","0","1","0","13","0","0","9","3","0","0","430","0","3","0","0","0","44","0","1","123","0","215","30","19","0","0","31","0","0","1","0","39","8","0","6","0","0","1","1","0","0","8","2","1","0","3","0","0","0","0","0","1","0","0","0","0"
NA,NA,NA,"249","2","1","3","29","0","0","0","9","1","15","1","7","0","0","0","3","0","3","0","0","0","45","4","0","0","6","1","1","9","0","0","18","0","0","2","2","12","0","5","0","1","1","0","0","10","0","0","4","1","0","0","1784","0","7","0","0","0","55","0","1","56","0","242","41","21","1","1","37","1","1","0","0","51","23","0","4","0","2","0","3","0","0","17","2","1","0","0","0","0","2","0","0","0","0","0","0","0"
NA,NA,NA,"131","1","1","8","138","0","5","0","15","6","26","3","16","0","0","0","0","0","4","0","0","0","104","6","4","0","6","0","29","9","0","1","52","0","0","0","2","15","0","4","0","0","0","0","0","7","0","0","1","0","0","0","430","0","6","0","0","0","5","0","1","20","0","168","170","38","1","1","94","2","1","0","5","59","9","0","1","0","2","1","6","0","0","45","2","0","1","0","0","2","0","0","1","0","0","0","0","0"
