"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Algae","Amaranthaceae undif.","Arbutus","Artemisia","Asteroideae undif.","Berberis t.","Betula","Buxus","Caryophyllaceae undif.","Centaurea","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Fern","Fraxinus","Fungi","Genisteae","Ilex","Indeterminable","Juglans","Lamiaceae undif.","Lycopodium spike","Lycopodium tablets","Myriophyllum undif.","Olea t.","Phillyrea","Pinus pinaster","Pinus undif.","Pistacia","Plantago","Poaceae","Polygonum t.","Potamogeton","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Rhamnus","Riccia","Salix","Spermatophyta undiff. (trees/shrubs)","Taxus","Thymelaeaceae undif.","Typha","Ulmus t."
"1182.0",NA,NA,"  1","0","3","14","2","32","13","3","0","0","5","3","11","0","36","70","1","0","2","0","86","7","0","14","4","17","139","0","0","1","0","5","65","0","12","32","8","0","79","3","5","9","22","0","19","0","0","0","0"
"1214.0",NA,NA,"  3","0","5","13","0","25","11","4","0","0","6","2","12","0","34","58","2","0","3","0","55","4","0","12","5","21","150","0","0","2","0","3","76","0","13","26","8","0","62","5","4","10","35","0","18","0","0","0","2"
"1245.9",NA,NA,"  5","1","3","9","1","28","21","3","0","0","1","0","10","0","29","49","1","0","0","0","59","5","0","10","7","15","138","0","0","2","0","3","98","0","14","22","2","0","64","4","7","7","28","0","15","0","0","0","0"
"1276.6",NA,NA,"  7","0","7","15","2","29","12","3","0","0","7","2","9","1","29","53","3","0","3","0","56","5","0","19","0","16","144","0","0","1","0","0","108","0","12","35","10","0","62","6","7","8","23","0","16","0","0","3","0"
"1307.9",NA,NA,"  9","0","0","13","0","22","14","4","0","0","8","3","16","0","26","44","2","0","0","0","93","4","0","2","4","8","155","0","0","0","0","6","118","0","10","20","0","0","43","4","9","12","12","0","20","0","0","0","2"
"1323.7",NA,NA," 10","0","6","13","0","30","15","1","0","0","9","4","14","0","31","69","2","0","0","0","39","3","0","10","3","19","162","0","0","1","0","5","113","1","15","12","2","0","46","4","10","13","20","0","17","0","0","0","0"
"1339.7",NA,NA," 11","0","9","5","0","19","18","2","0","0","3","5","11","0","30","35","5","0","2","0","79","0","0","4","4","10","144","0","0","2","2","0","130","0","12","32","6","0","39","5","13","9","16","0","11","0","0","0","2"
"1355.5",NA,NA," 12","1","13","14","1","12","21","6","0","0","4","6","12","0","32","57","2","0","0","0","70","2","0","7","5","11","129","0","0","0","0","0","158","0","19","17","0","0","31","6","16","8","15","0","16","0","0","0","1"
"1371.3",NA,NA," 13","0","8","10","0","31","15","3","0","0","0","0","15","0","27","40","3","0","0","0","81","0","0","4","4","15","160","0","0","0","0","4","180","0","15","33","0","0","27","6","19","0","23","0","3","0","0","4","3"
"1387.4",NA,NA," 14","0","39","6","0","9","4","0","0","0","1","2","13","0","16","26","2","0","0","0","29","2","0","6","3","11","150","0","0","0","0","10","279","0","6","36","0","0","12","10","16","3","10","0","5","0","0","0","0"
