"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Arceuthobium","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Calluna","Campanulaceae","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Cedrus","Centaurea","Cistaceae","Coriaria","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echinops","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Fern","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Genisteae","Gentiana t.","Gentianaceae undif.","Geranium","Hedera","HippophaÃ«","Indeterminable","IsoÃ«tes","Lamiaceae undif.","Lemnaceae","Linum t.","Lycopodium spike","Lycopodium tablets","Lythrum","Mercurialis","Morella","Olea t.","Pedicularis","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Primulaceae undif.","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Spergularia t.","Tamarix","Taraxacum","Taxus","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valerianaceae undif.","Vitis"
" 1279",NA,NA,"   7","2.0","0","0","0","0","3","0","1","0","0","0","0","3","0","0","0","0","1","0","1","0","0","9","1","1","0","0","0","0","4","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3624","21358","0","0","0","1","0","0","0","0","0","110","2","3","0","10","0","0","0","0","0","0","9","8","3","0","0","0","2","0","0","0","0","0","11","0","0","0","0","0","0","7","0","0","0"
" 1354",NA,NA,"   9","3.0","0","0","0","0","9","0","1","0","0","4","0","7","0","0","0","0","1","0","1","0","1","5","0","0","0","0","0","0","4","0","0","2","11","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","1534","21358","0","0","0","1","0","0","0","0","0","84","4","3","0","4","0","0","0","0","0","0","18","15","2","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","5","0","0","0"
" 1577",NA,NA,"  15","3.5","0","0","0","1","13","0","1","0","0","9","0","3","0","0","1","0","0","0","0","0","0","6","1","1","0","0","0","1","6","0","0","3","3","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","3","0","0","0","1004","21358","0","1","0","3","0","0","0","1","0","58","4","0","0","5","0","0","0","0","0","0","7","21","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","5","0","0","0"
" 1726",NA,NA,"  19","3.0","0","0","0","1","10","0","0","0","0","6","0","1","0","0","0","0","1","0","2","0","0","8","1","1","0","1","0","0","3","0","0","2","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2773","21358","0","0","1","0","0","0","0","0","0","83","8","1","0","3","0","0","0","0","0","0","14","3","1","0","0","0","0","0","1","0","0","0","9","0","0","0","0","0","0","4","0","0","1"
" 1875",NA,NA,"  23","3.0","0","0","0","0","8","0","0","0","0","6","2","2","0","0","2","0","0","0","0","0","1","14","0","2","0","0","0","0","2","0","0","5","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3429","21358","0","0","0","1","0","0","0","0","0","166","4","0","0","6","0","0","0","0","0","2","15","9","4","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","8","0","0","0"
" 1950",NA,NA,"  25","4.5","0","0","0","0","6","0","1","0","0","1","0","4","1","0","1","0","0","0","0","0","0","9","0","2","0","0","0","0","5","0","0","0","7","0","0","0","1","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","1418","21358","0","0","0","2","0","0","0","1","0","86","4","1","0","3","0","0","0","0","0","0","18","17","2","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","7","0","0","0"
" 2024",NA,NA,"  27","3.0","0","0","1","0","1","0","0","0","0","4","0","5","0","0","0","0","1","0","2","1","0","27","0","2","0","0","0","0","1","0","0","0","9","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2935","21358","0","0","0","2","0","0","0","0","0","169","4","0","0","3","0","0","0","0","0","0","18","6","4","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","6","0","0","0"
" 2248",NA,NA,"  33","3.0","0","0","0","0","4","0","0","0","0","4","0","0","1","0","0","0","0","0","1","0","0","13","1","1","0","0","0","0","3","0","0","2","7","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3206","21358","0","0","0","1","0","0","0","1","0","219","3","1","0","6","0","0","0","0","0","1","33","16","5","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","2","0","0","0"
" 2397",NA,NA,"  37","4.0","0","0","0","2","7","0","0","0","0","4","0","1","0","0","3","0","0","0","1","0","0","11","0","0","0","1","0","0","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","981","21358","0","0","0","1","0","0","0","0","0","141","2","0","0","4","0","0","0","0","0","0","7","5","1","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","5","0","0","0"
" 2620",NA,NA,"  43","4.0","0","0","0","0","6","0","0","0","0","2","0","2","0","0","2","0","0","0","0","0","0","12","2","0","0","1","0","0","0","0","0","3","10","0","0","1","3","0","0","0","0","0","0","0","0","1","0","1","2","0","0","0","2438","21358","0","0","1","0","0","0","0","2","0","261","2","0","0","4","0","0","0","0","0","1","25","12","3","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","7","0","0","0"
