"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asteroideae undif.","Boraginaceae undif.","Carpinus","Caryophyllaceae undif.","Cedrus","Centaurea","Cercis","Cistaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fraxinus","HippophaÃ«","Hydrocharitaceae","Juglans","Lamiaceae undif.","Lauraceae","Lemnaceae","Nerium","Nuphar","Olea t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sanguisorba t.","Sarcopoterium","Scrophulariaceae t.","Scrophulariaceae undif.","Searsia","Styrax","Tamarix","Thalictrum","Typha","Ulmus t.","Urtica t.","Vitis","Ziziphus/Paliurus","Zygophyllaceae undif."
"935.7447",NA,NA,"236.0000","  1.0000","  1.0000"," 18.0000","  4.0000","  1.0000"," 20.0000"," 21.0000","  1.0000"," 10.0000","  8.0000","  2.0000","  8.0000","  0.0000"," 18.0000"," 65.0000"," 12.0000","  7.0000","  4.0000"," 15.0000"," 10.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000"," 12.0000","  0.0000"," 16.0000","120.0000"," 21.0000","  5.0000","  0.0000","  1.0000"," 32.0000","  1.0000","  1.0000","  0.0000","  1.0000"," 89.0000"," 15.0000"," 13.0000","  1.0000","  0.0000","  2.0000","  0.0000","  8.0000","  8.0000","  0.0000","  0.0000","  2.0000","  0.0000","  2.0000","  0.0000","  5.0000","  0.0000","  1.0000","  5.0000","  1.0000","  0.0000"
"943.7234",NA,NA,"241.0000","  0.0000","  0.0000"," 23.0000","  3.0000","  0.0000"," 20.0000"," 21.0000","  0.0000","  9.0000","  8.0000","  2.0000","  6.0000","  0.0000"," 18.0000"," 51.0000","  1.0000","  9.0000","  5.0000"," 12.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 11.0000","  0.0000"," 15.0000","105.0000"," 20.0000","  4.0000","  0.0000","  1.0000"," 28.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 86.0000","  1.0000"," 12.0000","  0.0000","  0.0000","  1.0000","  0.0000"," 10.0000","  9.0000","  0.0000","  0.0000","  1.0000","  0.0000","  4.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  2.0000","  2.0000"
"953.2979",NA,NA,"247.0000","  0.0000","  0.0000"," 35.0000","  1.0000","  0.0000"," 22.0000"," 60.0000","  0.0000","  5.0000","  7.0000","  4.0000","  7.0000","  0.0000"," 24.0000"," 50.0000","  0.0000"," 16.0000"," 14.0000","  3.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  8.0000","  0.0000"," 11.0000","110.0000"," 13.0000","  4.0000","  0.0000","  1.0000"," 19.0000","  1.0000","  4.0000","  0.0000","  2.0000"," 58.0000","  0.0000","  8.0000","  0.0000","  0.0000","  2.0000","  0.0000"," 13.0000"," 20.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  4.0000"
"962.8723",NA,NA,"253.0000","  0.0000","  0.0000"," 21.0000","  6.0000","  1.0000"," 33.0000"," 45.0000","  0.0000","  5.0000"," 15.0000","  4.0000"," 22.0000","  0.0000"," 24.0000"," 48.0000","  3.0000"," 14.0000","  6.0000"," 22.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 11.0000","  0.0000"," 16.0000","115.0000"," 23.0000"," 15.0000","  0.0000","  0.0000"," 19.0000","  1.0000","  6.0000","  0.0000","  1.0000"," 80.0000","  3.0000"," 16.0000","  0.0000","  0.0000","  5.0000","  0.0000"," 11.0000"," 10.0000","  0.0000","  0.0000","  0.0000","  1.0000","  5.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  2.0000"
"972.4468",NA,NA,"259.0000","  1.0000","  0.0000"," 29.0000","  6.0000","  0.0000"," 17.0000"," 41.0000","  0.0000","  9.0000","  9.0000","  4.0000"," 11.0000","  0.0000"," 12.0000"," 42.0000","  5.0000","  4.0000","  8.0000","  7.0000","  4.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 10.0000","  4.0000"," 11.0000"," 98.0000"," 15.0000","  8.0000","  0.0000","  7.0000"," 29.0000","  8.0000","  8.0000","  0.0000","  0.0000"," 48.0000"," 10.0000","  8.0000","  1.0000","  1.0000","  6.0000","  0.0000","  5.0000","  4.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  1.0000","  0.0000","  1.0000","  0.0000","  4.0000","  0.0000"
"982.0213",NA,NA,"265.0000","  0.0000","  0.0000"," 35.0000","  1.0000","  0.0000"," 22.0000"," 60.0000","  0.0000","  5.0000","  7.0000","  4.0000","  7.0000","  0.0000"," 24.0000"," 50.0000","  0.0000"," 16.0000"," 14.0000","  3.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  8.0000","  0.0000"," 11.0000","110.0000"," 13.0000","  4.0000","  0.0000","  1.0000"," 19.0000","  1.0000","  4.0000","  0.0000","  2.0000"," 58.0000","  0.0000","  8.0000","  0.0000","  0.0000","  2.0000","  0.0000"," 13.0000"," 20.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  4.0000"
"990",NA,NA,"270","  0","  0"," 17","  3","  0"," 21"," 45","  0"," 10"," 11","  4"," 18","  0"," 25"," 51","  0"," 19"," 12"," 14","  1","  0","  0","  0","  0","  0","  0","  0","  0"," 11","  0"," 14","133"," 21"," 10","  0","  4"," 20","  1","  4","  0","  2"," 74","  0"," 11","  0","  0","  3","  0"," 13"," 19","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  4"
"997.9787",NA,NA,"275.0000","  4.0000","  1.0000"," 15.0000","  2.0000","  1.0000"," 19.0000"," 41.0000","  0.0000","  5.0000"," 12.0000","  2.0000"," 19.0000","  0.0000"," 23.0000"," 53.0000","  2.0000"," 18.0000","  3.0000"," 15.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000"," 11.0000","  0.0000"," 15.0000","145.0000"," 22.0000"," 11.0000","  0.0000","  3.0000"," 22.0000","  2.0000","  5.0000","  0.0000","  1.0000"," 75.0000","  5.0000"," 12.0000","  0.0000","  0.0000","  5.0000","  0.0000"," 13.0000"," 18.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  6.0000","  0.0000","  0.0000","  0.0000","  1.0000","  4.0000"
"1007.553",NA,NA," 281.000","   0.000","   0.000","  42.000","   5.000","   0.000","  22.000","  55.000","   0.000","   5.000","   7.000","   7.000","   5.000","   0.000","  15.000","  36.000","   2.000","   8.000","  15.000","   4.000","   3.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   7.000","   2.000","   8.000","  85.000","  11.000","   6.000","   0.000","   5.000","  15.000","   7.000","   5.000","   0.000","   0.000","  41.000","   2.000","   6.000","   1.000","   0.000","   4.000","   0.000","   7.000","   8.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   7.000","   3.000"
"1017.128",NA,NA," 287.000","   2.000","   1.000","  11.000","   6.000","   2.000","  12.000","  22.000","   0.000","   8.000","  16.000","   2.000","  26.000","   1.000","  23.000","  56.000","  12.000","   8.000","   3.000","  24.000","   3.000","   1.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","  13.000","   1.000","  18.000"," 155.000","  26.000","  16.000","   0.000","   1.000","  29.000","   4.000","   8.000","   1.000","   4.000","  88.000","  20.000","  17.000","   0.000","   0.000","   9.000","   0.000","   8.000","   7.000","   0.000","   0.000","   0.000","   1.000","   2.000","   0.000","   1.000","   1.000","   1.000","   0.000","   1.000","   0.000"
"1026.702",NA,NA," 293.000","   0.000","   0.000","  21.000","   6.000","   1.000","  33.000","  45.000","   0.000","   5.000","  15.000","   4.000","  22.000","   0.000","  24.000","  48.000","   3.000","  14.000","   6.000","  22.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  11.000","   0.000","  16.000"," 115.000","  23.000","  15.000","   0.000","   0.000","  19.000","   1.000","   6.000","   0.000","   1.000","  80.000","   3.000","  16.000","   0.000","   0.000","   5.000","   0.000","  11.000","  10.000","   0.000","   0.000","   0.000","   1.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   2.000"
"1036.277",NA,NA," 299.000","  21.000","   6.000","  10.000","   6.000","   0.000","  21.000","  28.000","   1.000","   1.000","  20.000","   3.000","  29.000","   1.000","   7.000","  59.000","  22.000","   5.000","   1.000","  26.000","   7.000","   1.000","   3.000","   1.000","   6.000","   1.000","   3.000","   1.000","   3.000","   4.000","   9.000","   4.000"," 169.000","   6.000","  18.000","   7.000","   0.000","  45.000","   2.000","   6.000","   8.000","   6.000","  80.000","  23.000","   5.000","   1.000","   1.000","   7.000","   5.000","   4.000","   4.000","   1.000","   0.000","   1.000","   1.000","   4.000","   0.000","  12.000","   6.000","   4.000","   0.000","   2.000","   1.000"
"1045.851",NA,NA," 305.000","  10.000","   2.000","  15.000","   5.000","   0.000","  25.000","  32.000","   0.000","   1.000","  16.000","   1.000","  25.000","   1.000","   9.000","  55.000","  13.000","   8.000","   2.000","  21.000","   7.000","   1.000","   1.000","   1.000","   3.000","   1.000","   0.000","   1.000","   1.000","   5.000","   6.000","   5.000"," 155.000","  11.000","  12.000","   6.000","   0.000","  22.000","   1.000","   5.000","   6.000","   5.000","  78.000","  12.000","   6.000","   1.000","   2.000","   6.000","   2.000","   5.000","   6.000","   0.000","   0.000","   0.000","   1.000","   5.000","   0.000","  10.000","   4.000","   2.000","   0.000","   4.000","   1.000"
"1055.426",NA,NA," 311.000","   0.000","   0.000","  32.000","   3.000","   0.000","  42.000","  66.000","   0.000","   3.000","  14.000","   3.000","  21.000","   0.000","  26.000","  42.000","   0.000","  21.000","   5.000","  20.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","  15.000"," 110.000","  22.000","  12.000","   0.000","   0.000","  12.000","   1.000","   7.000","   0.000","   0.000","  72.000","   0.000","  14.000","   0.000","   0.000","   3.000","   0.000","  15.000","  16.000","   0.000","   0.000","   0.000","   0.000","  12.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   5.000"
"1065",NA,NA," 317","  35","   0","  12","   2","   0","  29","  52","   0","   2","  19","   0","  28","   1","  19","  56","   2","  11","   0","  21","   1","   0","   1","   4","   0","   0","   5","   0","   0","  15","   0","  22"," 188","  31","  19","   0","   0","  28","   5","   8","   0","   1","  88","  41","  18","   0","   0","   8","   0","   8","   9","   0","   0","   0","   0","   5","   0","  10","   0","   0","   0","   5","   0"
"1074.574",NA,NA," 323.000","  14.000","   1.000","   3.000","   5.000","   0.000","  12.000","  15.000","   0.000","   0.000","   5.000","   0.000","   5.000","   1.000","  17.000","  55.000","  55.000","  22.000","   0.000","  26.000","   1.000","   0.000","   3.000","   0.000","   0.000","   0.000","  15.000","   0.000","   1.000","  16.000","   0.000","  24.000"," 200.000","  34.000","  11.000","   0.000","   1.000","  21.000","   0.000","   4.000","   0.000","   6.000"," 120.000","  56.000","  21.000","   0.000","   0.000","   1.000","   0.000","  13.000","  11.000","   0.000","   1.000","   1.000","   1.000","   1.000","   0.000","  18.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"1084.149",NA,NA," 329.000","  13.000","   1.000","   4.000","   6.000","   0.000","  11.000","  12.000","   0.000","   0.000","   4.000","   1.000","   8.000","   1.000","  19.000","  51.000","  49.000","  29.000","   0.000","  22.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","  14.000","   0.000","   1.000","  17.000","   0.000","  26.000"," 122.000","  39.000","  12.000","   0.000","   1.000","  22.000","   0.000","   3.000","   0.000","   6.000"," 100.000","  52.000","  22.000","   0.000","   0.000","   1.000","   0.000","  12.000","  12.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","  16.000","   0.000","   0.000","   0.000","   1.000","   1.000"
"1093.723",NA,NA," 335.000","  12.000","   9.000","   0.000","   8.000","   4.000","   2.000","   5.000","   0.000","  11.000","   4.000","   0.000","   8.000","   4.000","  10.000","  64.000","  42.000","   0.000","   0.000","   8.000","  35.000","   4.000","   0.000","   6.000","   6.000","   4.000","  12.000","   2.000","   0.000","  12.000","  29.000","  11.000"," 142.000","  13.000","  10.000","   1.000","   8.000"," 123.000","  12.000","   4.000","  15.000","  15.000","  42.000","  44.000","   9.000","   8.000","   4.000","   8.000","   1.000","   0.000","   0.000","   0.000","   0.000","   8.000","   3.000","   0.000","   0.000","  15.000","  12.000","   8.000","   0.000","   0.000","   0.000"
