"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betulaceae undif.","Carpinus","Caryophyllaceae undif.","Centaurea","Cichorieae","Corylus","Cupressaceae","Cyperaceae","Ephedra","Fagus","Fraxinus","Olea t.","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Polygonum t.","Quercus undif.","Rubiaceae undif.","Rumex t.","Salix","Sarcopoterium","Spermatophyta undiff. (cf. upland herbs)","Spike","Tilia","Tracheophyta undiff. (aquatic plants)","Ulmus t.","Unknown"
" 60",NA,NA," 16","  9","  0","  0","  1","  1","  5","  2","  5","  1","  5"," 11","  2","  0","  0","156","  0","  4","  2","  8","  3"," 78","  1","  4"," 36","  0"," 15","  0","  3","  1","  0","  3","601","  0","  0","  1","  6"
"110",NA,NA," 24","  4","  0","  1","  3","  3","  1","  3","  2","  0","  1","  1","  2","  0","  0","162","  0","  5","  0","  3","  0"," 69","  0","  2"," 26","  1","  8","  0","  5","  0","  0","  1","355","  0","  0","  0","  6"
"160",NA,NA," 32","  2","  0","  0","  1","  1","  2","  2","  4","  1","  1","  0","  0","  0","  0","219","  0","  0","  0","  4","  0"," 39","  0","  1"," 41","  0"," 27","  0","  0","  0","  0","  3"," 82","  0","  1","  0"," 28"
"211",NA,NA," 40","  7","  0","  2","  0","  0","  1","  2"," 10","  0","  3","  0","  1","  4","  2","361","  0","  0","  0","  0","  0"," 60","  0","  2"," 35","  0"," 32","  0","  2","  5","  0","  7","220","  0","  1","  0","  4"
"1292",NA,NA," 212","   0","   0","   0","   0","   0","   0","   1","   1","   1","   1","   0","   0","   1","   0"," 106","   0","   0","   0","   0","   1","  22","   0","   1","   7","   0","   7","   0","   0","   0","   0","   5","  96","   0","   1","   0","   6"
"1393",NA,NA," 228","   4","   0","   2","   3","   3","   2","   5","  19","   0","   4","   4","   1","   1","   0","  44","   0","   4","   0","   0","   2","  27","   0","   1","  81","   2","  22","   7","   8","   1","   0","  10","  89","   1","   0","   0","  10"
"1493",NA,NA," 244","   2","   0","   4","   1","   1","   2","   3","  19","   0","   5","   0","   0","   2","   0"," 265","   0","   3","   1","   1","   0","  62","   0","   2","  57","   0","  22","   1","   8","   0","   0","   6","  89","   2","   2","   0","   4"
"1594",NA,NA," 260","   6","   1","   3","   3","   5","   3","  10","  17","   0","  17","   3","   6","   1","   0","  37","   1","   0","   0","   0","   0"," 112","   1","   6","  69","   4","  22","   1","  11","   1","   0","   9","  71","   1","   0","   0","  32"
"1695",NA,NA," 276","  10","   0","   2","   2","   1","   0","   2","  12","   0","   6","   1","   0","   2","   0","  77","   0","   2","   0","   0","   1","  67","   0","   0","   9","   0","  30","   0","   1","   0","   0","   4"," 142","   0","   3","   0","  26"
"1745",NA,NA," 284","  23","   0","   0","   1","   1","   0","   3","  13","   1","   0","   1","   1","   0","   0","  93","   0","   1","   0","   0","   2"," 242","   0","   0","  48","   1","  29","   1","   1","   2","   0","   3","  52","   2","   2","   0","  10"
"1845",NA,NA," 300","  24","   0","   0","   0","   1","   0","   1","  15","   0","   1","   0","   0","   1","   0","  89","   0","   2","   0","   0","   3"," 429","   0","   2","  85","   0","  20","   0","   6","   1","   0","   2"," 184","   0","   1","   0","   8"
"1896",NA,NA," 308","  12","   1","   0","   0","   3","   0","   2","  11","   0","   2","   0","   0","   3","   0","  67","   0","   2","   0","   1","   2"," 380","   1","   2","  91","   0","  12","   2","   5","   2","   0","   1","  38","   0","   5","   0","   2"
"1946",NA,NA," 316","   6","   0","   2","   1","   4","   0","   1","  19","   0","   2","   2","   2","   0","   0"," 105","   0","   1","   2","   0","   3"," 190","   0","   4","  99","   1","  35","   1","   5","   0","   1","   2","  73","   0","   7","   0","   6"
"1996",NA,NA," 324","   7","   0","   0","   0","   1","   1","   2","  12","   0","   1","   0","   1","   0","   0","  57","   0","   3","   0","   0","   3"," 277","   0","   1","  57","   1","  19","   0","   5","   0","   0","   1","  40","   0","   5","   0","   8"
"2047",NA,NA," 332","   7","   0","   2","   1","   4","   1","   0","  46","   0","   7","   0","   1","   3","   1"," 144","   0","   0","   0","   1","   2"," 267","   0","   1","  70","   0","  37","   1","   3","   0","   1","   3","  86","   1","   1","   1","  18"
"2097",NA,NA," 340","   3","   1","   2","   1","   1","   0","   1","  14","   2","   5","   1","   0","   6","   0"," 125","   0","   5","   0","   1","   5","  83","   0","   1","  25","   4","  28","   0","   1","   0","   0","   3","  76","   0","   4","   0","  10"
"2198",NA,NA," 356","  21","   0","   1","   1","   4","   4","   6","  24","   0","   6","   2","   4","   0","   0"," 146","   0","   6","   1","   2","   1"," 325","   0","   3"," 114","   1","  52","   3","  14","   0","   0","  12","  74","   1","   3","   0","  14"
"2298",NA,NA," 372","   5","   0","   0","   2","  17","   0","   6","   5","   0","  16","   6","   5","   1","   0","  16","   1","   1","   2","   1","   2","  47","   0","   2"," 169","  10","  14","   0","   6","   0","   0","  10","  59","   0","   7","   0","  28"
"2399",NA,NA," 388","  34","   0","   5","   2","   0","   2","   5","  13","   2","   1","   0","   0","   1","   0"," 166","   0","   1","   0","   0","   0"," 123","   0","   0","  47","   0","  34","   0","   0","   0","   0","   0"," 134","   0","   0","   0","  18"
