"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alchemilla t.","Algae","Alnus","Amaranthaceae undif.","Anthemideae","Anthoceros t.","Apiaceae undif.","Apium t.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cannabis","Cardueae undif.","Caryophyllaceae undif.","Castanea","Centaurea","Chamaerops","Cichorieae","Cistaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Eucalyptus","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Fern-Lycopodiaceae","Fraxinus","Fungi","Galium t.","Genisteae","Gentiana t.","Geranium","Globularia","Hedera","Hypericum undif.","IsoÃ«tes","Juglans","Juncaceae","Lamiaceae undif.","Linum t.","Lotus t.","Lycopodium annotinum","Lycopodium spike","Lycopodium tablets","Lythrum","Malva","Matthiola","Mercurialis","Morus","Musci","Myriophyllum alterniflorum t.","Myrtus","Olea t.","Ostrya","Papaver t.","Petaloid monocot","Phillyrea","Picea","Pinus mediterranea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Protist","Prunus t.","Pseudoschizaea","Psoralea","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Riccia","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Ruppia","Salix","Saxifragaceae","Scrophulariaceae undif.","Searsia","Smilax","Solanum","Sparganium","Spergularia t.","Tamarix","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Trifolium t.","Ulmus t.","Undetermined diatom","Unknown","Urtica t.","Viburnum","Viola","Vitis","Ziziphus/Paliurus"
"1899",NA,NA,"152","1","0","0","0","0","17","24","0","2","0","0","1","4","0","1","0","0","4","0","0","0","0","0","0","0","0","6","13","3","0","12","3","0","0","0","91","0","0","0","0","1","4","2","4","1","0","0","0","0","0","0","0","53","0","0","1","0","0","0","310","0","0","0","0","0","0","0","0","29","7","6","0","0","1","0","0","5","16","7","0","32","0","0","0","8","0","0","0","18","69","28","0","0","0","0","0","4","26","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0"
"2034",NA,NA,"168","1","0","0","0","0","10","11","1","1","3","0","0","6","0","5","3","0","3","0","0","0","0","0","0","0","0","2","18","3","0","9","6","0","0","0","100","0","0","0","0","0","5","3","4","4","0","0","0","0","0","0","0","49","0","0","2","0","0","0","254","0","0","0","0","0","0","0","1","32","10","4","0","0","1","0","0","7","25","5","0","27","0","0","0","13","0","2","0","16","68","23","0","0","0","1","0","3","10","0","0","1","0","0","0","0","0","1","0","0","0","0","0","2","0","1","0","0","0","0","0"
"2156",NA,NA,"184","1","0","0","0","0","15","5","0","2","1","0","0","4","1","3","1","0","4","0","0","0","1","0","0","0","0","6","12","6","0","6","4","0","0","0","119","0","0","1","0","3","7","5","2","0","1","0","0","1","0","1","0","56","0","0","2","0","0","0","394","0","0","0","0","0","0","0","1","17","9","5","0","0","3","0","0","10","21","8","0","24","1","0","0","11","0","0","0","15","65","27","0","0","0","0","0","5","11","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"2410",NA,NA,"220","1","0","10","0","0","0","6","0","3","1","0","0","4","0","7","0","0","1","0","0","0","0","1","0","0","0","8","23","0","0","6","8","0","0","0","151","0","0","0","0","0","8","8","1","1","0","0","0","0","0","0","0","40","0","0","0","1","0","0","223","0","0","0","0","0","0","0","1","16","11","6","0","2","8","0","0","10","13","3","0","27","0","0","0","12","0","0","0","18","74","23","0","0","0","0","0","5","19","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","4","0","0","0","0","0"
"2496",NA,NA,"232","1","0","0","0","0","6","7","0","2","0","0","0","4","0","10","0","0","3","0","0","0","0","0","0","0","0","4","18","0","0","5","15","0","1","0","124","0","0","0","0","0","6","7","5","2","0","0","0","0","0","0","0","38","0","0","0","0","0","0","229","0","0","0","0","0","0","0","1","7","6","5","0","0","2","0","0","6","22","2","0","24","1","0","0","15","0","0","0","35","94","13","0","0","0","0","1","4","9","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0"
"2753",NA,NA,"264","1","0","0","0","0","2","5","3","3","0","0","0","5","0","4","2","0","6","0","0","0","0","0","0","0","0","0","4","2","0","3","7","0","0","0","198","0","0","0","0","1","4","3","4","7","0","0","0","0","0","0","0","12","0","0","2","0","0","0","254","0","0","0","0","0","0","0","0","6","13","5","0","0","4","0","0","8","12","0","0","7","0","0","0","11","0","0","0","15","132","14","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
"2808",NA,NA,"270","1","0","3","0","0","8","14","0","1","0","0","0","4","1","3","0","0","7","0","0","0","0","0","0","0","0","3","6","5","0","7","8","0","0","0","211","0","1","0","0","0","5","1","6","6","0","0","0","0","0","0","0","7","0","1","3","0","0","0","161","0","0","0","0","0","0","0","0","7","10","2","0","1","3","0","0","5","10","3","0","10","0","0","0","4","0","0","0","30","117","35","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","6","0","1","0","0","3","0","0","0","1","0"
"3062",NA,NA,"296","1","0","0","0","0","6","9","2","4","2","0","1","3","0","7","0","0","5","0","0","0","0","0","0","0","0","4","4","4","0","2","8","0","0","1","230","0","0","0","0","0","4","4","0","2","0","0","0","0","0","0","0","17","0","0","5","1","0","0","194","0","0","0","0","0","0","0","0","5","5","4","0","0","4","0","0","7","12","2","0","11","0","0","0","22","0","0","0","11","67","18","0","0","0","0","0","2","4","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"3305",NA,NA,"320","1","0","0","0","0","6","9","4","7","1","0","1","2","0","6","2","0","1","0","0","0","1","1","0","0","0","3","13","3","0","0","10","0","1","0","233","0","0","0","0","0","2","0","3","5","0","1","0","0","0","0","0","23","0","0","5","1","0","0","228","0","0","0","0","0","0","0","0","10","7","3","0","0","6","0","0","8","15","1","0","8","0","0","0","6","0","0","0","15","77","14","0","0","0","0","0","4","8","0","0","1","0","0","0","0","0","2","0","0","1","0","0","0","0","3","0","0","0","0","0"
"3384",NA,NA,"328","1","0","0","0","0","21","8","0","1","3","0","1","3","0","5","2","0","3","0","0","0","0","0","0","0","0","2","5","2","0","6","9","0","0","2","186","0","0","0","0","0","4","1","3","4","0","0","0","0","0","0","0","23","0","0","1","2","0","0","223","0","0","0","0","0","0","0","0","6","4","5","0","0","1","0","1","10","23","6","0","13","0","0","0","15","0","0","0","10","96","15","0","0","0","0","0","2","6","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0"
