"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alchemilla t.","Algae","Alnus","Amaranthaceae undif.","Anthemideae","Anthoceros t.","Apiaceae undif.","Apium t.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cannabis","Cardueae undif.","Caryophyllaceae undif.","Castanea","Centaurea","Chamaerops","Cichorieae","Cistaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Eucalyptus","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Fern-Lycopodiaceae","Fraxinus","Fungi","Galium t.","Genisteae","Gentiana t.","Geranium","Globularia","Hedera","Hypericum undif.","IsoÃ«tes","Juglans","Juncaceae","Lamiaceae undif.","Linum t.","Lotus t.","Lycopodium annotinum","Lycopodium spike","Lycopodium tablets","Lythrum","Malva","Matthiola","Mercurialis","Morus","Musci","Myriophyllum alterniflorum t.","Myrtus","Olea t.","Ostrya","Papaver t.","Petaloid monocot","Phillyrea","Picea","Pinus mediterranea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Protist","Prunus t.","Pseudoschizaea","Psoralea","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Riccia","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Ruppia","Salix","Saxifragaceae","Scrophulariaceae undif.","Searsia","Smilax","Solanum","Sparganium","Spergularia t.","Tamarix","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Trifolium t.","Ulmus t.","Undetermined diatom","Unknown","Urtica t.","Viburnum","Viola","Vitis","Ziziphus/Paliurus"
"5641",NA,NA,"526","1","0","0","0","0","5","4","0","8","2","0","0","0","0","12","1","0","3","0","0","0","0","0","0","0","0","4","16","2","0","2","7","0","0","0","335","0","0","0","0","0","5","1","0","10","0","0","0","0","0","0","0","10","0","0","1","0","0","0","74","0","0","0","0","0","0","0","0","0","6","0","0","0","2","0","0","5","7","2","0","11","0","0","0","15","0","0","0","12","5","16","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","1","0","0","0","0","0","0","0"
"5727",NA,NA,"532","1","0","0","0","0","8","9","1","3","2","0","0","0","1","11","0","0","2","0","0","0","0","0","0","0","0","2","9","1","0","3","8","0","0","0","323","0","0","0","0","0","9","0","1","12","1","0","0","0","0","0","0","12","0","0","1","0","0","1","61","0","0","0","0","0","0","0","0","0","4","0","0","0","3","0","0","10","9","3","0","9","0","0","0","8","0","1","1","14","5","13","0","0","1","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5783",NA,NA,"536","1","0","0","0","0","4","6","0","6","1","0","1","0","1","12","0","0","2","0","0","0","0","0","0","0","0","2","8","0","0","1","11","0","0","1","332","0","0","0","0","0","9","0","0","5","0","0","0","0","0","0","0","10","0","0","4","1","0","0","93","0","0","0","0","0","1","0","0","0","7","0","0","1","2","0","0","10","12","1","0","19","0","0","0","8","0","0","0","9","5","17","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"5866",NA,NA,"542","1","0","1","0","0","5","8","1","2","1","0","0","3","0","17","0","0","2","0","0","0","0","0","0","0","0","1","10","3","0","4","9","0","0","0","350","0","0","0","0","1","7","1","0","7","0","0","0","0","0","0","0","6","0","0","1","1","0","0","62","0","1","0","0","0","0","0","0","0","6","1","0","0","2","1","0","5","14","3","0","7","0","0","0","7","0","0","0","7","4","7","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0"
"5947",NA,NA,"548","1","0","0","0","0","2","11","1","5","1","0","0","1","0","14","0","0","2","0","0","0","1","0","0","0","0","4","10","1","0","3","4","0","0","0","345","0","0","0","0","0","2","0","1","11","0","0","0","0","0","0","0","8","0","0","2","0","0","0","81","0","0","0","0","0","0","0","0","0","5","2","0","0","2","0","0","10","15","2","0","8","0","0","0","5","0","0","0","8","5","6","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"5999",NA,NA,"552","1","0","0","0","0","4","5","0","4","2","0","0","1","3","11","1","0","5","0","0","0","0","0","0","0","0","1","18","1","0","0","7","0","0","0","379","0","0","0","0","0","4","0","1","8","0","0","0","0","0","0","0","7","0","0","1","3","0","0","118","0","0","0","0","0","0","0","0","0","7","3","0","0","0","0","0","9","10","3","0","9","0","0","0","4","0","0","0","7","6","1","0","0","0","0","0","3","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"6076",NA,NA,"558","1","0","0","0","0","3","4","0","2","1","0","0","0","1","19","0","0","2","0","0","0","0","0","0","0","0","3","8","4","0","3","15","0","0","0","327","0","0","0","0","0","7","0","1","23","1","0","0","0","0","0","0","15","0","0","2","1","0","0","62","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","7","12","1","0","7","1","0","0","5","0","0","0","12","6","3","0","0","0","0","0","1","1","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"6149",NA,NA,"564","1","0","0","0","0","1","5","0","2","3","0","0","1","0","23","0","0","2","0","0","0","0","0","0","0","0","4","9","5","1","3","11","0","0","0","345","0","0","0","0","0","8","0","0","16","0","0","0","0","0","0","1","11","0","0","2","0","1","0","69","0","0","1","0","0","0","0","0","0","3","1","0","0","2","0","0","4","8","5","0","6","0","0","0","15","0","0","0","7","3","3","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"6241",NA,NA,"572","1","1","0","0","1","1","5","0","2","1","0","0","2","3","29","0","0","3","0","0","0","0","0","0","0","0","4","8","0","0","1","18","0","0","0","328","0","0","0","0","0","2","0","0","22","0","0","0","0","0","0","0","17","0","0","2","1","0","0","60","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","7","9","1","0","6","0","0","0","9","0","3","0","11","3","2","0","0","1","0","0","3","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
"6328",NA,NA,"580","1","0","0","0","0","1","3","0","2","1","0","0","1","0","22","0","0","0","0","0","0","0","0","0","0","0","4","8","0","0","1","7","0","0","1","364","0","0","0","0","0","6","0","1","14","0","0","0","0","0","0","0","14","0","0","1","2","0","0","63","0","0","0","0","1","0","0","0","0","2","3","0","1","2","0","0","7","14","0","0","7","1","0","0","2","0","0","0","7","9","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","3","0","0","0","0","0"
"6369",NA,NA,"584","1","0","0","0","0","2","3","0","4","2","0","0","1","0","3","0","0","5","0","0","0","1","0","0","0","0","6","18","2","0","2","12","0","0","0","373","0","0","1","0","0","3","0","1","12","0","0","0","0","0","0","0","5","0","0","3","1","0","0","67","0","0","0","0","0","0","0","0","0","5","2","0","1","0","0","0","10","10","4","0","8","0","0","0","2","0","0","0","8","1","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6428",NA,NA,"590","1","0","0","0","0","4","6","0","2","0","0","0","1","2","15","1","0","2","0","0","0","1","0","0","0","0","8","11","3","0","1","12","0","0","1","338","0","0","0","0","0","7","0","0","14","0","0","0","0","0","0","0","7","0","0","1","1","0","0","69","0","0","0","0","0","0","0","0","0","3","2","0","0","4","0","0","7","7","2","0","13","1","0","0","9","1","0","0","14","2","4","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","1","0"
"6609",NA,NA,"610","1","0","0","0","0","1","0","0","6","0","0","0","0","1","5","0","0","5","0","0","0","0","0","0","0","0","6","9","4","0","0","8","0","0","0","353","0","0","0","0","0","8","0","0","15","0","0","0","0","0","0","0","5","0","0","1","1","0","0","86","0","0","0","0","0","0","0","0","0","7","2","0","0","0","0","0","12","15","2","0","15","1","0","0","4","0","0","0","12","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0"
"6690",NA,NA,"620","1","0","0","0","0","4","1","0","8","1","1","1","0","5","7","0","0","6","0","0","0","0","0","0","0","0","3","21","3","0","0","9","0","0","0","380","0","0","1","1","0","5","0","1","6","0","0","0","0","0","0","0","6","0","0","1","0","0","0","141","0","0","0","0","0","0","0","0","0","3","2","0","1","0","0","0","5","7","2","0","19","1","0","0","2","0","0","0","8","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0"
"6781",NA,NA,"632","1","0","0","0","0","2","2","0","5","1","0","0","1","0","2","0","0","5","0","0","0","0","0","0","0","0","6","13","0","0","0","12","0","0","0","356","0","0","0","0","0","14","0","0","9","0","0","0","0","0","0","0","11","0","0","0","0","0","0","94","0","0","0","0","0","0","0","0","0","9","1","0","0","0","0","0","9","14","2","0","9","0","0","0","2","0","0","0","4","2","4","0","0","1","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0"
"7004",NA,NA,"664","1","0","0","0","0","7","4","0","6","2","0","0","0","1","4","0","0","0","0","0","0","1","0","0","0","0","6","15","2","0","0","21","0","0","0","348","0","0","1","0","0","12","0","2","9","0","1","0","0","0","0","0","9","0","0","0","0","1","0","135","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","16","1","0","12","0","0","0","4","0","0","0","12","3","2","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"7044",NA,NA,"670","1","0","0","0","0","1","7","0","3","1","0","0","0","2","2","0","0","3","0","0","0","0","0","0","0","0","3","12","3","0","0","4","0","0","0","403","0","0","0","0","0","6","0","4","12","0","0","0","0","0","0","0","8","0","0","3","0","0","0","56","0","0","0","0","0","0","0","0","0","6","0","0","0","3","0","0","3","9","0","0","9","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0"
"7219",NA,NA,"696","1","0","0","0","0","3","6","1","2","3","0","1","3","0","10","0","0","3","0","0","0","0","0","0","0","0","4","13","8","0","0","10","0","0","0","384","0","0","0","0","0","5","0","0","12","0","0","0","0","0","0","0","5","0","0","2","0","0","0","77","0","0","0","1","0","0","0","0","0","0","1","0","0","3","0","0","3","15","0","0","5","0","0","1","2","0","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7381",NA,NA,"720","1","0","0","0","0","2","5","0","10","4","0","0","0","2","6","0","0","0","0","0","0","0","0","0","0","0","3","16","1","0","0","7","0","0","0","377","0","0","1","0","0","6","0","1","7","0","0","0","0","0","0","0","5","0","0","5","0","0","0","112","0","0","0","0","0","0","0","0","0","2","0","0","1","3","0","0","11","21","2","0","13","0","0","0","2","0","0","0","4","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0"
"7434",NA,NA,"728","1","0","0","0","0","3","8","0","5","2","0","0","1","1","3","1","0","3","0","0","0","0","1","0","0","0","2","15","2","0","0","4","0","0","0","389","0","0","0","0","0","7","0","1","1","0","0","0","0","0","0","2","6","0","0","1","0","0","0","101","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","8","8","0","0","9","0","0","0","0","0","0","0","11","0","1","0","0","0","0","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"7629",NA,NA,"760","1","1","0","0","0","1","4","1","6","2","0","0","0","0","5","0","0","3","0","0","0","1","0","0","0","0","6","23","2","0","0","10","0","0","0","389","0","0","1","0","0","3","0","0","4","0","0","0","0","0","0","0","5","0","0","0","0","0","0","242","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","9","6","0","0","7","1","0","0","1","0","1","0","6","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7681",NA,NA,"770","1","0","0","0","0","2","0","0","4","1","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","3","22","6","0","0","12","0","1","0","409","0","0","0","0","0","5","0","0","5","0","0","0","0","0","0","1","4","0","0","1","1","0","0","224","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","7","6","1","0","4","0","0","0","1","0","0","0","5","3","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"7780",NA,NA,"792","1","0","1","0","0","2","1","0","4","0","0","0","0","0","16","0","0","0","0","0","0","0","1","0","0","0","0","14","2","0","0","6","0","0","0","428","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","2","0","0","1","0","0","0","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","1","0","0","5","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7844",NA,NA,"810","1","0","0","0","0","0","1","0","5","0","0","0","0","0","17","0","1","0","0","0","0","0","0","0","0","0","1","10","4","0","1","7","0","0","0","428","0","0","0","0","0","5","0","0","15","0","0","0","0","0","0","1","0","0","0","0","1","0","0","253","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","9","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"7874",NA,NA,"820","1","0","0","0","0","2","0","1","2","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","4","0","0","0","430","0","0","0","0","0","5","0","0","8","0","0","1","0","0","0","0","0","0","0","0","0","0","0","121","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","11","5","0","0","4","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"7885",NA,NA,"824","1","0","0","0","0","2","1","1","1","0","0","0","1","0","12","0","0","0","0","0","0","0","0","0","0","0","1","12","3","0","0","5","0","0","1","417","0","0","2","0","0","2","0","1","14","0","0","0","0","0","0","0","1","0","0","2","1","0","0","173","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","9","3","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"7957",NA,NA,"856","1","0","0","0","0","1","1","1","2","1","0","0","0","0","20","0","0","2","0","0","0","0","1","0","0","0","1","10","2","0","0","2","0","1","0","418","0","0","0","0","0","1","0","1","21","0","0","0","0","0","0","0","1","0","0","1","0","0","0","125","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","3","1","1","2","0","0","0","1","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7981",NA,NA,"870","1","0","0","0","0","4","0","0","1","0","0","0","0","0","7","0","0","1","0","0","0","0","0","0","0","1","1","103","0","0","0","4","1","0","0","302","0","0","0","0","0","1","1","0","58","0","0","1","0","0","0","0","0","0","0","2","0","0","0","129","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","1","0","0","6","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0"
"7996",NA,NA,"880","1","0","0","0","0","1","2","0","3","1","0","0","0","0","16","0","0","1","0","0","0","0","0","0","1","0","0","16","3","0","0","6","0","0","1","419","0","0","0","0","1","3","0","0","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","120","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","11","1","0","0","2","0","2","0","0","0","0","0","8","3","1","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0"
"8007",NA,NA,"888","1","0","0","0","0","0","1","7","2","0","1","0","0","0","12","0","0","1","0","0","0","0","0","0","0","0","1","12","3","0","0","6","0","0","1","406","0","0","0","0","0","2","0","1","6","3","0","0","0","0","0","0","2","0","0","1","1","0","0","119","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","14","0","1","0","5","0","0","0","1","0","0","0","6","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"8042",NA,NA,"914","1","1","0","0","0","3","1","0","5","0","0","0","1","0","28","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","5","0","0","0","444","0","0","0","0","0","3","0","0","7","0","0","0","0","0","0","0","0","0","0","1","0","0","0","100","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","9","0","1","0","1","0","1","0","2","0","0","0","4","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8050",NA,NA,"920","1","0","0","0","0","1","0","3","3","1","0","0","0","0","12","0","0","0","0","0","0","0","3","0","0","0","1","5","2","0","0","4","0","0","0","439","0","0","0","0","0","3","0","2","16","0","0","0","0","0","0","0","0","0","0","2","2","0","0","369","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","1","0","2","0","0","0","1","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0"
"8056",NA,NA,"924","1","0","0","0","0","3","2","0","6","0","0","0","0","1","8","1","0","0","0","0","0","0","0","0","0","0","1","6","3","0","1","5","0","0","0","431","0","1","1","0","0","2","0","0","10","0","0","0","0","0","0","0","0","0","0","3","0","0","0","227","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","9","1","1","0","6","0","0","0","1","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"8069",NA,NA,"934","1","0","1","0","0","1","1","0","1","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","1","14","0","0","0","438","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","1","2","0","0","1","0","0","0","232","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0"
"8083",NA,NA,"944","1","2","0","0","0","2","1","0","2","0","0","0","1","0","24","0","0","0","0","0","0","1","0","0","0","0","0","13","0","0","0","9","0","0","0","434","0","0","0","0","0","2","1","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","9","0","0","0","4","0","0","0","0","0","0","0","4","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","2","0","0","0","0","0"
"8094",NA,NA,"952","1","0","0","0","0","2","1","0","4","0","0","0","0","1","17","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","7","0","2","0","412","0","0","1","0","0","4","0","1","7","0","0","0","0","0","0","0","5","0","0","2","0","0","0","101","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","10","0","1","1","5","0","0","0","2","0","0","0","4","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"8096",NA,NA,"954","1","1","0","0","0","2","0","0","1","1","0","0","0","0","27","0","0","0","0","0","0","0","0","0","0","0","0","8","2","0","1","6","0","1","0","408","0","0","0","0","0","3","0","0","12","1","0","0","0","0","0","1","1","0","0","4","2","0","0","111","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","1","1","0","2","0","0","0","0","0","0","0","2","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"8110",NA,NA,"964","1","0","0","0","0","0","1","0","5","0","0","0","2","0","24","0","0","0","0","0","0","1","0","0","0","0","2","33","0","0","0","10","0","0","0","384","0","0","0","0","0","2","0","1","10","1","0","0","0","0","0","0","6","0","0","3","0","0","0","398","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","6","1","0","0","3","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"8124",NA,NA,"974","1","0","0","0","0","2","3","1","3","1","0","0","0","0","33","0","0","0","0","0","0","0","0","0","0","0","0","16","1","0","0","4","0","1","0","424","0","0","0","0","0","4","0","0","2","0","0","0","0","0","0","0","0","0","0","2","0","0","0","895","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","2","0","0","4","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"8137",NA,NA,"984","1","0","0","0","0","0","1","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","2","0","0","0","190","0","0","0","0","0","1","0","0","7","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1305","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","5","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
