"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Calluna","Campanulaceae","Caryophyllaceae undif.","Cedrus","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fabaceae Undif.","Fern","Fraxinus","Hedera","Hypericum undif.","Ilex","IsoÃ«tes","Lamiaceae undif.","Linum t.","Lythrum","Myriophyllum undif.","Myrtus","Nymphaea","Olea t.","Onagraceae","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Polygonum t.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Thalictrum","Thymelaeaceae undif.","Typha","Ulmus t.","Unknown","Vitis"
"100",NA,NA,"  0","  0","  0","  1","  0","  6","  0","  2","  0"," 11","  0","  2","  0","  0","  5","  0","  3","  0","  0","  1"," 13","  0","  0","  4","  3","  4","  1","  3","  3","  0","  4","  1","  0","  1","  0","  0","  0","  0","  0","  2","  0","  2","  0"," 18","101","  0","  6","  3","  1","  0","  2","  1","  1","  0","  0","  0","  0","  0","  3","  3"
"162",NA,NA,"  5","  0","  1","  0"," 15","  6","  0"," 65","  0","  3","  0","  0","  0","  0","  6","  0","  1","  0","  0","  3"," 21","  0","  0","  7","  1","  8","  0","  1","  3","  0","  6","  1","  0","  0","  0","  0","  0","  0","  0","  2","  0","  4","  0"," 13"," 81","  0"," 11","  0","  0","  0","  2","  0","  0","  0","  1","  0","  0","  0","  6","  1"
"225",NA,NA," 10","  0","  2","  1","  3"," 13","  0"," 11","  0"," 64","  0","  1","  0","  0","  6","  0"," 17","  0","  0","  5"," 64","  1","  0"," 11","  1"," 16","  2","  2"," 12","  0"," 18","  1","  0","  0","  0","  0","  0","  1","  0","  7","  1","  4","  2"," 55","109","  0"," 46"," 12","  7","  0"," 10","  2","  9","  1","  0","  0","  0","  1"," 18","  1"
"287",NA,NA," 15","  0","  2","  1","  2"," 20","  0"," 18","  1"," 72","  1","  1","  0","  0","  6","  0"," 15","  0","  0","  6"," 62","  0","  1"," 15"," 16"," 19","  4","  4"," 10","  1"," 18","  0","  0","  1","  0","  0","  0","  1","  0"," 11","  0","  5","  0"," 38","153","  1"," 55","  8","  0","  2","  6","  4"," 10","  2","  0","  0","  0","  1"," 17","  2"
"350",NA,NA," 20","  0","  1","  0","  1"," 15","  0"," 14","  2"," 40","  0","  0","  0","  0"," 14","  0","  4","  1","  0","  6"," 18","  1","  0"," 17","  3","  4","  3","  1","  4","  0"," 16","  0","  0","  1","  0","  1","  0","  0","  0","  6","  0","  1","  1"," 31"," 60","  1"," 25","  6","  2","  2","  6","  4"," 15","  0","  2","  0","  0","  2","  3","  4"
"412",NA,NA," 25","  0","  3","  0","  1"," 10","  0"," 12","  0"," 88","  0","  1","  0","  0"," 10","  0","  2","  0","  0","  3","  7","  0","  0","  9","  7","  1","  1","  1","  3","  0"," 24","  1","  0","  0","  0","  1","  0","  4","  0","  1","  0","  4","  1"," 52"," 79","  0"," 28","  4","  3","  3","  2","  2"," 10","  4","  0","  0","  0","  1","  0","  3"
"475",NA,NA," 30","  0","  2","  1","  1","  5","  0"," 15","  0","171","  0","  1","  0","  0"," 17","  1","  6","  3","  0","  4"," 24","  0","  0"," 15","  4","  2"," 11","  2"," 10","  0"," 10","  1","  0","  0","  0","  0","  0","  5","  0","  0","  1","  4","  3"," 28"," 80","  1"," 39"," 16","  1","  3"," 13","  2","  6","  1","  2","  0","  0","  2","  2","  3"
"538",NA,NA," 35","  0","  2","  2","  1","  3","  0","  3","  0","  8","  0","  0","  0","  0","  8","  0","  1","  0","  0","  4","  2","  0","  0"," 12","  0","  0","  3","  1","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  4"," 22","  0"," 11","  4","  3","  1","  4","  3","  1","  0","  0","  0","  0","  0","  0","  0"
"600",NA,NA," 40","  0","  2","  0","  4"," 13","  0"," 10","  0"," 41","  0","  0","  0","  0"," 10","  1","  8","  1","  0","  9"," 44","  0","  1"," 16","  4","  0","  1","  4"," 13","  1","  4","  0","  0","  0","  0","  2","  0","  9","  0","  3","  0","  1","  3"," 22"," 78","  0"," 46","  4","  4","  2","  7","  7","  9","  3","  0","  0","  0","  1","  2","  1"
"663",NA,NA," 45","  0","  1","  0","  1","  6","  0","  6","  0","  2","  0","  0","  0","  1","  3","  0","  1","  1","  0","  6","  8","  0","  0"," 22","  1","  1","  3","  0","  3","  0","  2","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  6"," 54","  2"," 16","  6","  1","  3","  3","  2","  1","  0","  0","  0","  0","  0","  1","  0"
