"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Algae","Alnus","Amaranthaceae undif.","Apium t.","Artemisia","Asteroideae undif.","Berberis t.","Betula","Brassicaceae","Buxus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fabaceae Undif.","Fern","Fraxinus","Fungi","Genisteae","Indeterminable","Lamiaceae undif.","Lonicera","Lycopodium spike","Lycopodium tablets","Myriophyllum undif.","Olea t.","Petaloid monocot","Phillyrea","Pinus pinaster","Pinus undif.","Pistacia","Plantago","Poaceae","Polygonum t.","Pseudoschizaea","Puccinia","Quercus deciduous","Quercus evergreen","Rhamnus","Riccia","Rubiaceae undif.","Rumex t.","Salix","Thymelaeaceae undif.","Typha","Unknown (type 128, HdV)","Urtica t.","Vitis","charcoal"
" 334.8",NA,NA," 25","0","72","1","10","2","35","30","0","0","0","0","3","1","0","1","5","0","5","24","1","0","5","7","8","0","195","5","19","7","0","160","0","1","10","0","3","3","18","2","11","80","2","1","1","2","15","2","12","2","0","0","2","5","15","3","1","409"
" 404.4",NA,NA," 27","0","84","0","7","3","31","39","1","0","5","0","5","0","0","2","7","0","1","40","0","3","2","8","13","0","213","9","19","3","0","157","0","0","11","0","2","2","13","0","12","76","3","3","0","0","20","3","10","0","0","2","2","7","16","1","0","978"
" 509.3",NA,NA," 30","0","90","0","6","1","34","40","2","0","3","0","4","0","1","0","5","0","13","52","0","2","4","1","11","1","229","7","12","9","0","180","0","0","12","0","0","2","15","3","15","125","2","0","0","3","22","1","9","1","2","5","2","5","12","4","4","999"
" 676.9",NA,NA," 34","0","69","0","9","6","30","36","2","2","0","0","3","0","0","3","10","0","7","41","0","0","6","3","5","1","141","6","17","7","0","160","0","0","15","0","5","1","20","5","12","81","4","2","0","5","17","0","2","0","0","3","3","6","9","3","0","1170"
" 797.6",NA,NA," 37","0","58","0","9","0","25","28","0","0","0","0","6","0","0","0","3","0","8","35","0","1","5","0","3","0","162","8","14","4","0","166","0","0","9","0","0","1","28","1","16","109","2","3","3","0","23","1","2","0","0","0","3","5","12","0","0","1259"
" 918.3",NA,NA," 40","0","60","0","8","12","27","41","0","2","0","0","5","0","0","0","5","0","6","55","0","2","3","6","15","1","172","4","15","5","0","167","0","5","16","0","1","2","20","0","8","90","1","0","3","0","27","2","4","0","0","2","2","4","14","2","2","1008"
"1076.3",NA,NA," 44","0","75","1","13","11","31","47","0","0","2","0","2","0","0","3","7","0","2","37","0","2","12","7","6","0","204","5","14","3","0","186","0","3","10","0","0","2","19","2","15","86","1","0","4","3","14","0","2","0","5","2","3","12","11","1","0","1654"
"1197.2",NA,NA," 47","1","33","1","12","5","30","38","1","0","0","0","5","0","0","0","10","0","12","32","0","1","3","4","4","1","205","6","16","2","0","198","0","4","14","0","2","3","21","3","9","107","2","2","0","2","24","1","2","0","0","1","5","4","17","0","0","1298"
"1277.6",NA,NA," 49","0","48","0","12","6","13","20","0","0","0","0","5","1","0","0","5","0","3","49","0","2","5","5","15","0","169","3","17","9","0","190","0","0","7","2","0","2","36","2","9","102","3","0","2","6","27","2","1","3","0","3","3","5","18","2","1","1176"
"1386.1",NA,NA," 52","0","59","0","9","6","30","19","0","0","0","0","4","0","0","0","7","0","5","46","0","0","8","0","4","0","192","7","12","3","0","151","0","0","6","0","0","1","31","2","10","86","5","3","0","7","26","0","0","4","0","0","2","12","20","3","2","2007"
