"Depth cm","Meadows chron cal BP (CLAM)","...402","...81","Acanthus","Acer","Aellenia-type1","Agathophora-type1","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Amygdalus-type","Amygdalus-type1","Anagallis t.","Anthemideae undif.","Apiaceae undif.","Apium t.","Arboreal pollen","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Astoma-type","Astoma-type1","Asyneuma-type","Asyneuma-type1","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Calligonum","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Casuarina","Cedrus","Centaurea","Ceratonia","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Corylus","Crassulaceae","Crozophora","Crozophora1","Cupressaceae","Cuscuta","Cyclamen","Cyperaceae","Datisca cannabina","Dipsacaceae","Echinops","Echium t.","Elatine","Ephedra","Erica t.","Erodium","Eucalyptus","Euphorbia t.","Faboideae Undif.","Fagus","Fern","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Genisteae","Geranium","Gymnocarpos-type","Gymnocarpos-type1","Haplophyllum","Hedera","Heliotropium","Hippophae","Hypecoum","Hypericum undif.","Indeterminable","Juglans","Lamiaceae undif.","Leontice","Linum t.","Lonicera","Loranthus","Lycium","Lysimachia","Lythrum","Malva","Matthiola","Mercurialis","Morus","Musci","Myriophyllum spicatum/verticillatum t.","Myrtus","Nitraria","Non-arboreal pollen","Nuphar","Nymphaea","Ochradenus-type1","Olea t.","Onagraceae","Ononis t.","Papaver t.","Periploca","Petaloid monocot","Phillyrea","Phoenix t.","Phyla t.","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Prosopis t.","Psoralea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Resedaceae undiff.","Rhamnus","Rheum","Rhus coriaria","Rhus tripartita-type","Ricinus","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Sarcopoterium","Scrophulariaceae undif.","Solanum","Sparganium","Styrax","Synelcosciadium-type","Synelcosciadium-type1","Tamarix","Thalictrum","Theligonum","Thesium","Thymelaeaceae undif.","Trifolium t.","Typha","Ulmus t.","Urtica t.","Valeriana t.","Valerianaceae undif.","Verbena t.","Viburnum","Viola","Vitis","Ziziphus/Paliurus","Zygophyllum t."
" 74","527","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 42","  0","  0","  0","  0"," 16"," 87","  0","437","  0","122","  0","  8","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0"," 31","  1","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 15","  0","  4","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0"," 64","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  6","  1","  0"," 10","  0","  0","  0","  0","  0","414","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  2","  4","  5","  0","  0"," 32","  5","  0","  0","  0","  0","  0","  0"," 98","324","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0"," 21","  0","  0","  6","  0","  1","  0","  0","  0","  1","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0"
" 84","585","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 33","  2","  0","  0","  0"," 16"," 38","  2","611","  0","108","  0","  6","  0","  0","  0","  0","  0","  0","  0"," 13","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0"," 25","  1","  7","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","112","  0","  3","  0","  0","  0","  5","  0","  0","  0","  2","  0","  0"," 24","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0"," 27","  0","  0","  0","  0","  0","408","  0","  0","  0"," 55","  0","  0","  1","  0","  0","  2","  0","  0","  8"," 14","  6","  1","  0"," 62","  5","  1","  0","  0","  0","  0","  0","147","377","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  1","  0","  0"," 25","  0","  0"," 16","  0","  1","  0","  2","  0","  8","  0","  0","  0"," 12","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0"
" 91","625","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 27","  0","  0","  0","  0","  9"," 36","  2","469","  0"," 75","  0","  4","  0","  0","  0","  0","  0","  0","  0"," 19","  0","  0","  0","  0","  3","  0","  1","  1","  0","  0"," 17","  5","  6","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 89","  0","  2","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0"," 42","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  9","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  7","  0","  0","  0","  0","  0","297","  0","  0","  0"," 51","  0","  0","  0","  0","  0","  0","  0","  0","  9","  4","  7","  0","  0"," 31","  3","  5","  0","  0","  0","  0","  1"," 96","302","  5","  0","  0","  0","  0","  0","  0","  0","  0","  3","  3","  0","  0","  0"," 29","  0","  0"," 12","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 13","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"101","683","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 14","  1","  0","  0","  0","  6"," 13","  1","253","  0"," 28","  1","  1","  0","  0","  0","  0","  0","  2","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  1","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","136","  0","  2","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0"," 33","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  5","  0","  0","  0","  0","  0","229","  1","  0","  0"," 75","  0","  0","  1","  0","  1","  0","  0","  0"," 15","  4","  4","  0","  0"," 86"," 17","  1","  0","  0","  0","  0","  0"," 62"," 91","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0"," 18","  0","  0"," 11","  2","  1","  0","  1","  0","  2","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"110","735","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 30","  5","  0","  0","  0"," 11"," 28","  1","594","  0","103","  1"," 17","  0","  0","  0","  0","  0","  0","  0"," 10","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0"," 12"," 10","  9","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","240","  0","  3","  0","  0","  0","  2","  0","  0","  0","  0","  1","  0"," 61","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 20","  0","  1","  0","  0","  0","  0","  0","  0"," 11","  0","  0"," 11","  0","  0","  1","  0","  0","531","  1","  0","  0","156","  0","  0","  0","  0","  0","  0","  0","  0"," 12"," 31"," 16","  0","  0","158"," 37","  1","  0","  0","  0","  2","  0"," 83","298","  4","  0","  0","  0","  0","  0","  0","  0","  0","  4","  4","  1","  0","  0"," 42","  0","  0"," 26","  0","  7","  0","  1","  0","  3","  0","  0","  0"," 11","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
" 120"," 793","   0","   0","   0","   0","   0","   0","   0","   0","   0","  50","   9","   0","   0","   0","  16","  38","   0","1037","   0"," 138","   0","  10","   0","   0","   0","   0","   0","   0","   0","  14","   0","   0","   0","   0","   6","   0","   2","   0","   0","   0","  26","   8","  26","   2","   0","   1","   1","   0","   0","   0","   1","   0","   0","  73","   0","   5","   0","   0","   0","   2","   0","   0","   0","   0","   1","   0","  54","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  12","   0","   0","   0","   0","   0","   0","   0","   0","   6","   1","   0","  11","   0","   0","   0","   0","   0"," 768","   0","   0","   0"," 239","   0","   0","   1","   0","   0","   0","   0","   0","  26","  63","  37","   2","   0"," 260","  48","   1","   0","   0","   0","   0","   0"," 133"," 560","   8","   0","   1","   0","   0","   0","   0","   0","   0","   1","   8","   0","   0","   0","  38","   0","   0","  25","   0","   1","   0","   1","   0","   7","   0","   0","   0","  14","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0"
"131","856","  0","  0","  0","  0","  0","  0","  0","  0","  2"," 27","  9","  0","  0","  0"," 20"," 33","  2","411","  0","107","  0","  9","  0","  0","  0","  0","  0","  0","  0","  9","  0","  0","  0","  0"," 11","  1","  0","  0","  0","  0"," 16","  2"," 10","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0"," 62","  0","  3","  1","  0","  0","  3","  0","  1","  0","  1","  1","  0"," 72","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 12","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  4","  0","  0","  0","  0","  0","368","  0","  0","  0"," 49","  0","  0","  2","  0","  0","  1","  0","  0","  7"," 10"," 12","  0","  0"," 39","  7","  2","  0","  0","  0","  0","  0"," 37","293","  4","  0","  0","  0","  0","  0","  0","  0","  0","  3","  4","  1","  0","  0"," 23","  0","  0"," 18","  1","  3","  0","  0","  0","  2","  0","  0","  0","  9","  0","  0","  0","  0","  0","  0","  0","  5","  1","  0"
"141","914","  0","  0","  0","  0","  0","  0","  0","  0","  5"," 23","  1","  0","  0","  0"," 10"," 28","  0","385","  0"," 72","  1","  4","  1","  0","  0","  0","  0","  0","  0","  4","  0","  1","  0","  2","  4","  0","  0","  0","  0","  0","  8","  1","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 60","  0","  2","  1","  0","  0","  2","  0","  0","  0","  0","  1","  0"," 75","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  4","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  6","  0","  0","  0","  0","  0","312","  0","  0","  0","133","  0","  0","  0","  0","  0","  0","  0","  0"," 15","  9"," 15","  0","  0"," 70","  9","  1","  0","  0","  0","  1","  0"," 42","173","  2","  0","  1","  0","  0","  1","  0","  0","  0","  2","  4","  0","  0","  0"," 30","  0","  0"," 10","  0","  1","  0","  0","  0","  2","  0","  1","  0","  8","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0"
"148","955","  0","  0","  0","  0","  0","  0","  0","  0","  4"," 23","  0","  0","  0","  2","  6"," 24","  0","320","  0"," 56","  0","  8","  0","  0","  0","  0","  0","  1","  0","  4","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0"," 11","  5","  5","  3","  0","  2","  0","  0","  0","  0","  1","  0","  0"," 57","  0","  3","  0","  0","  0","  4","  0","  0","  0","  1","  1","  0"," 29","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  1","  0","  0","  0","  0","  0","  0","  5","  0","  0","  6","  0","  0","  2","  0","  0","259","  0","  0","  0","152","  0","  0","  0","  0","  0","  0","  1","  0"," 12","  3","  7","  1","  0"," 45","  1","  2","  0","  0","  0","  2","  0"," 20","115","  2","  0","  0","  0","  0","  0","  0","  0","  0","  1","  2","  0","  0","  0"," 24","  0","  0"," 12","  1","  2","  0","  1","  0","  6","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0"
"155","995","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 35","  5","  0","  0","  0","  9"," 15","  0","797","  0"," 65","  0","  7","  0","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 10","  2","  8","  0","  0","  1","  1","  0","  0","  0","  3","  0","  0","208","  0","  0","  0","  0","  0","  6","  0","  1","  0","  2","  2","  0"," 33","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 12"," 10","  2","  0","  1","  0","  0","  0","  0","  8","  0","  0","  6","  0","  0","  2","  0","  0","461","  0","  1","  0","632","  0","  0","  0","  0","  1","  0","  0","  0"," 35"," 10"," 24","  3","  0","152"," 34","  5","  0","  0","  0","  3","  0"," 18"," 76","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  9","  4","  0","  0"," 31","  1","  0"," 30","  0","  1","  0","  1","  0"," 12","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0"
