"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Campanulaceae","Carpinus","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Fagus","Fern","Fern-Lycopodiaceae","Fraxinus","Hedera","HippophaÃ«","Ilex","Indeterminable","IsoÃ«tes","Juglans","Lamiaceae undif.","Lycopodium spike","Lycopodium tablets","Lythrum","Musci","Myriophyllum undif.","Nuphar","Nymphaea","Olea t.","Persicaria t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Polygonum t.","Potamogeton","Pterocarya","Quercus undif.","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Sparganium","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Typha","Ulmus t.","Urtica t.","Vitis","Zelkova"
" 13300"," 14612"," 12023"," 17.50",NA,"10","0","0","1","18","3","82","12","5","2","0","1","0","0","0","5","3","3","0","0","1","0","0","0","1","1","0","1","0","0","0","45","0","0","0","324","0","0","0","0","0","0","1","0","0","1","37","0","5","0","60","4","0","0","56","0","0","1","2","0","0","0","2","0","2","0","1","0","6","0","0","0"
" 14855"," 16158"," 13587"," 18.00",NA,"6","0","0","3","12","9","47","5","14","6","0","0","0","0","4","5","5","4","1","0","1","8","1","1","0","0","0","2","0","0","0","17","0","0","0","244","0","0","0","1","0","0","0","0","0","2","41","0","7","0","130","1","0","0","31","0","0","2","8","0","0","1","3","0","11","0","0","0","3","0","0","1"
" 16410"," 17703"," 15150"," 18.50",NA,"6","1","0","1","20","5","59","12","6","1","0","1","0","0","5","2","2","3","0","0","3","2","0","0","1","0","0","0","0","0","0","27","0","0","0","308","0","0","0","0","0","0","0","0","0","0","35","0","7","0","119","2","0","0","30","0","0","1","3","0","0","0","2","0","5","0","0","0","0","0","0","1"
" 17965"," 19250"," 16714"," 19.00",NA,"7","0","0","1","23","8","59","15","2","2","0","2","0","0","4","5","1","3","0","0","2","4","1","1","2","0","0","0","0","0","0","39","0","0","0","219","0","0","0","1","0","0","0","0","0","0","32","0","5","0","82","1","0","0","35","3","0","0","3","0","1","0","2","0","2","0","1","0","1","0","0","0"
" 19520"," 20795"," 18277"," 19.50",NA,"2","1","1","1","45","4","102","12","6","1","0","1","0","0","3","3","2","1","0","0","0","0","0","1","2","0","0","0","0","0","0","41","0","0","0","283","0","0","0","4","0","0","1","0","0","0","24","0","6","0","96","5","3","0","44","2","0","0","4","0","0","1","4","0","7","0","0","0","3","0","0","0"
" 21075"," 22341"," 19840"," 20.00",NA,"16","1","0","0","5","3","31","7","2","0","0","1","0","0","0","3","1","11","0","2","2","1","1","0","1","0","0","0","0","0","0","17","0","0","0","1791","0","0","0","0","0","1","0","0","0","0","17","0","1","0","55","1","0","0","33","0","0","0","1","2","0","0","0","0","2","0","1","0","0","3","0","0"
" 25741"," 26979"," 24530"," 21.50",NA,"18","0","2","3","13","4","82","3","2","0","0","1","0","0","1","6","1","31","0","4","0","1","7","1","0","0","0","1","0","0","0","38","0","0","0","1129","0","0","0","0","0","0","0","0","0","0","37","0","0","0","46","4","1","0","41","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0"
" 28851"," 30071"," 27656"," 22.50",NA,"2","0","0","2","10","1","43","13","3","0","0","0","0","0","0","7","2","12","0","1","0","0","2","0","1","0","0","1","0","0","0","49","1","0","0","2805","0","0","0","0","0","0","0","0","0","0","13","0","0","0","60","4","0","0","19","0","0","0","0","1","0","0","0","0","3","0","0","0","2","2","0","0"
" 30406"," 31617"," 29219"," 23.00",NA,"8","1","0","5","15","2","37","13","0","0","0","0","0","0","1","5","2","23","1","1","4","1","3","0","3","0","0","0","0","0","0","52","0","0","0","1757","0","0","0","0","0","0","0","0","0","0","34","0","0","0","64","10","3","0","30","1","0","1","1","0","0","0","0","0","1","0","0","0","3","0","0","0"
" 31961"," 33164"," 30782"," 23.50",NA,"10","0","2","1","22","0","46","25","1","1","0","0","0","0","0","6","2","12","0","0","1","0","2","0","1","0","0","2","0","0","0","76","0","0","0","1858","0","0","0","0","0","0","0","0","0","1","23","0","1","0","50","14","1","0","14","0","0","0","0","1","0","1","0","0","1","0","2","0","1","2","0","0"
" 33516"," 34710"," 32345"," 24.00",NA,"6","0","0","1","17","1","40","9","2","0","0","1","0","0","0","3","5","12","0","0","1","0","6","0","0","1","0","0","0","0","0","88","0","0","0","1070","0","0","0","1","0","0","0","0","0","0","27","0","0","0","96","13","4","0","54","1","0","1","0","0","0","0","0","0","3","0","0","0","2","0","0","0"
" 36004"," 37183"," 34845"," 24.80"," 1","10","0","0","2","31","6","37","8","3","0","0","0","0","0","0","6","1","17","1","1","1","2","4","0","0","1","0","0","0","0","0","49","0","0","0","501","0","0","0","0","0","0","0","0","0","0","27","0","0","0","99","11","0","0","27","2","0","2","0","0","1","0","0","0","3","0","0","0","0","1","0","0"
" 39736"," 40896"," 38597"," 26.00",NA,"0","0","1","0","21","0","59","24","10","0","0","1","0","0","0","8","2","18","0","0","0","0","1","0","1","0","0","0","0","0","0","82","1","0","0","1337","0","0","0","0","0","0","0","0","0","0","21","0","0","0","85","11","1","0","45","0","0","2","0","0","0","0","0","0","2","0","0","1","1","0","0","0"
" 41292"," 42442"," 40159"," 26.50",NA,"14","0","0","2","11","1","51","18","1","0","0","0","0","0","0","7","0","8","0","3","2","1","3","0","1","0","0","0","0","0","0","43","0","0","0","1676","0","0","0","0","0","0","0","0","0","0","33","0","0","0","24","6","0","0","17","0","0","0","2","0","0","0","1","0","2","0","0","0","2","1","0","0"
" 45957"," 47083"," 44848"," 28.00",NA,"5","0","1","4","17","1","65","21","2","0","0","0","0","0","0","5","2","18","2","1","1","0","2","0","0","0","0","0","0","0","0","81","0","0","0","1637","0","0","0","0","0","1","0","0","0","0","19","0","1","0","72","16","0","0","31","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
" 47512"," 48629"," 46410"," 28.50",NA,"0","0","0","1","12","0","43","18","2","1","0","0","0","0","0","2","0","19","0","0","0","0","1","0","0","0","0","0","0","0","0","48","0","0","0","1270","0","0","0","1","0","0","0","0","0","0","12","0","0","0","54","10","0","0","29","0","0","1","0","0","0","0","0","0","2","0","1","0","0","0","0","0"
" 50622"," 51723"," 49535"," 29.50",NA,"7","0","0","1","11","2","60","10","2","0","0","0","0","0","0","2","3","6","1","3","3","6","0","0","2","0","0","0","0","0","0","32","0","0","0","697","0","0","0","6","0","0","0","0","0","0","50","0","0","0","86","4","1","0","52","0","0","0","1","1","0","1","7","0","9","0","1","0","0","0","0","0"
" 53732"," 54818"," 52661"," 30.50",NA,"7","0","0","1","36","5","93","7","3","0","0","0","0","0","2","3","2","1","0","3","0","0","0","0","0","0","0","1","0","0","0","59","0","0","0","154","0","0","0","1","0","0","0","0","0","0","18","1","1","0","44","1","0","0","90","1","0","0","2","0","0","0","7","0","4","0","0","0","0","0","0","1"
" 56842"," 57913"," 55786"," 31.50",NA,"21","0","0","0","17","2","48","10","2","0","0","1","0","0","2","9","0","7","1","3","3","0","3","0","3","1","0","0","0","0","0","40","0","0","0","1500","0","0","0","0","0","0","0","0","0","0","40","0","0","0","48","5","0","0","72","0","0","1","0","0","0","0","0","0","5","0","0","0","2","0","0","0"
" 59953"," 61008"," 58911"," 32.50",NA,"8","0","0","2","15","1","54","21","1","4","0","1","0","0","4","5","1","3","0","11","4","0","1","0","4","3","1","0","0","0","0","51","0","0","0","1063","0","0","0","0","0","0","0","0","0","0","34","0","0","0","40","7","0","0","85","0","0","2","3","0","0","1","0","0","7","0","0","0","2","0","0","1"
" 61508"," 62555"," 60473"," 33.00",NA,"8","0","0","3","22","0","99","8","5","0","0","0","0","0","3","1","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","38","0","0","0","232","0","0","0","1","0","1","0","0","0","2","28","0","0","0","44","3","1","0","85","0","0","0","5","0","0","0","3","0","2","0","0","0","1","0","0","0"
" 63063"," 64103"," 62036"," 33.50",NA,"33","0","0","3","13","0","40","2","6","2","0","0","0","0","22","2","0","1","0","11","1","1","2","0","7","0","0","0","0","0","0","34","0","0","0","91","0","0","0","0","0","0","0","0","0","0","38","0","0","0","33","1","0","0","131","0","0","0","0","0","0","0","0","0","1","0","0","0","4","0","0","3"
" 66173"," 67200"," 65161"," 34.50",NA,"19","0","0","3","13","2","30","0","5","6","0","1","0","0","25","2","1","0","0","10","0","1","1","0","6","0","0","0","0","0","0","27","0","0","0","100","0","0","0","0","0","0","0","0","0","0","85","0","1","0","31","0","1","0","133","0","0","0","1","1","0","0","0","0","3","0","1","0","4","0","0","0"
" 69283"," 70297"," 68286"," 35.50",NA,"1","0","0","0","20","0","73","6","3","0","0","0","0","0","1","0","1","0","0","1","3","0","0","0","0","0","0","1","0","0","0","60","0","0","0","208","0","0","0","0","0","0","4","0","0","1","102","0","4","0","52","0","2","0","90","0","0","0","3","1","0","0","1","0","2","0","0","0","1","0","0","0"
" 72393"," 73394"," 71410"," 36.50",NA,"4","1","0","1","15","0","57","5","4","0","0","1","0","0","0","3","1","3","0","1","15","0","2","0","0","5","0","0","0","0","0","26","0","0","0","158","0","0","0","0","0","0","0","0","0","0","76","0","0","0","57","1","0","0","88","0","0","0","3","0","0","0","0","0","4","0","0","0","0","0","0","2"
" 73948"," 74943"," 72972"," 37.00",NA,"2","1","0","1","32","3","108","7","4","0","0","0","0","0","1","3","0","2","0","0","1","1","3","0","0","0","0","0","0","0","0","29","0","0","0","328","0","0","0","2","0","0","0","0","0","0","10","1","2","0","66","1","2","0","56","0","0","0","2","1","0","0","6","0","1","0","0","0","1","1","0","1"
" 75503"," 76493"," 74535"," 37.50",NA,"4","0","0","0","27","1","85","6","10","1","0","4","0","0","0","5","1","1","0","0","5","0","0","0","0","1","0","1","0","0","0","31","0","0","0","277","0","0","0","1","0","0","0","0","0","0","25","0","0","0","83","0","0","0","37","0","0","0","4","0","0","0","3","0","6","0","0","1","0","0","0","0"
" 77059"," 78042"," 76097"," 38.00",NA,"3","0","0","4","23","1","57","6","3","1","0","1","0","0","0","5","0","2","0","0","11","0","1","0","0","3","0","1","0","0","0","24","0","0","0","519","0","0","0","0","0","0","0","0","0","0","20","0","2","0","66","0","0","0","88","0","0","0","2","0","0","1","3","0","2","0","0","1","0","0","0","0"
" 77836"," 78816"," 76878"," 38.25",NA,"2","0","1","3","11","5","74","12","3","2","0","0","0","0","2","2","5","2","0","1","7","0","2","0","0","0","0","0","0","0","0","29","0","0","0","426","0","0","0","1","0","0","0","0","0","0","50","0","0","0","111","0","0","0","52","0","0","0","2","1","1","0","3","0","1","0","0","0","1","0","0","0"
" 78614"," 79592"," 77660"," 38.50",NA,"19","0","0","0","12","0","40","7","4","0","0","0","0","0","0","1","0","3","0","1","8","0","3","0","0","0","0","1","0","0","0","40","0","0","0","487","0","0","0","0","0","0","0","0","0","0","115","0","0","0","48","0","1","0","51","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0"
" 80169"," 81142"," 79222"," 39.00",NA,"3","0","0","1","28","1","139","6","2","0","0","0","0","0","0","2","2","1","0","0","5","0","0","0","0","3","0","0","0","0","0","35","0","0","0","340","0","0","0","2","0","0","0","0","0","0","41","0","6","0","73","2","1","0","45","0","0","1","0","1","0","1","2","0","2","0","0","0","0","0","0","1"
" 81724"," 82690"," 80782"," 39.50",NA,"3","0","0","1","29","4","111","6","11","1","0","1","0","0","0","2","1","3","0","0","5","0","1","0","0","0","0","0","0","0","0","31","0","0","0","250","0","0","0","0","0","0","0","0","0","0","44","0","1","0","61","0","1","0","56","0","0","2","3","0","0","0","2","0","7","0","0","1","1","0","0","0"
" 83279"," 84240"," 82344"," 40.00",NA,"4","0","0","3","7","1","69","8","4","0","0","1","0","0","2","1","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","19","0","0","0","163","0","0","0","0","0","0","0","0","0","0","167","0","0","0","47","0","0","0","52","0","0","0","2","0","0","0","1","0","1","0","0","1","2","0","0","2"
" 84834"," 85790"," 83906"," 40.50",NA,"27","0","0","7","6","1","19","1","3","5","0","0","0","0","17","1","0","2","2","5","2","2","0","0","21","0","1","4","0","0","0","60","0","0","0","84","0","0","0","0","0","0","0","0","0","2","45","0","0","0","57","0","1","0","160","0","0","0","0","0","0","0","1","0","0","0","0","0","21","0","0","0"
" 86389"," 87340"," 85467"," 41.00",NA,"14","0","0","7","10","4","26","0","10","3","0","0","0","0","18","0","1","1","0","9","0","1","0","0","11","0","0","0","2","0","0","12","0","0","0","278","0","0","0","1","0","0","0","0","0","0","95","0","0","0","56","3","0","0","111","0","0","1","0","0","0","0","0","0","2","0","3","0","11","0","0","0"
" 87944"," 88890"," 87028"," 41.50",NA,"29","0","0","1","7","0","11","1","2","8","0","1","0","0","25","0","0","1","0","9","6","0","0","0","19","1","1","1","1","0","0","23","0","0","0","1376","0","0","0","0","0","0","0","0","0","1","54","0","0","0","25","0","0","0","115","0","0","0","0","1","0","1","0","0","4","0","0","0","4","0","0","1"
" 91054"," 91989"," 90148"," 42.50",NA,"30","1","0","2","7","1","15","2","1","8","0","1","0","0","24","1","0","1","0","3","1","0","2","0","26","0","0","1","0","0","0","27","0","0","0","154","0","0","0","0","0","0","0","0","0","0","50","0","0","0","32","0","1","0","88","0","0","1","1","0","0","0","0","0","2","0","1","0","7","0","0","2"
" 92609"," 93539"," 91708"," 43.00",NA,"22","0","0","2","8","1","22","3","2","0","0","0","0","0","24","0","0","3","0","14","0","3","2","0","36","0","0","0","0","0","0","24","0","0","0","105","0","0","0","0","0","1","0","0","0","0","54","0","0","0","46","0","0","0","87","0","0","1","1","0","1","0","0","0","1","0","1","0","5","0","0","1"
" 94165"," 95089"," 93268"," 43.50",NA,"22","2","0","2","2","1","15","1","3","13","0","0","0","0","32","2","0","0","0","11","1","1","0","0","69","6","0","1","0","0","0","28","0","0","0","109","0","0","0","0","0","0","0","0","0","0","34","0","0","0","28","0","0","0","97","0","0","0","0","0","0","0","0","0","4","0","0","0","13","0","0","4"
" 95720"," 96639"," 94827"," 44.00",NA,"25","0","0","3","3","2","13","3","1","8","0","0","0","0","29","1","0","0","0","14","0","4","0","0","11","0","0","6","0","0","0","25","0","0","0","264","0","0","0","0","0","0","0","0","0","2","41","1","0","0","31","0","0","0","137","0","0","0","1","0","0","0","0","0","0","0","1","0","9","0","0","2"
" 96497"," 97414"," 95607"," 44.25",NA,"15","1","0","0","7","0","24","3","1","8","0","0","1","0","1","2","0","0","0","1","1","0","1","0","3","0","2","0","0","0","0","24","0","0","0","91","0","0","0","0","0","0","0","0","0","0","150","0","0","1","40","0","0","0","78","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0"
" 97275"," 98189"," 96386"," 44.50",NA,"17","0","0","6","23","1","45","2","5","1","0","1","0","0","16","5","0","1","0","10","1","2","0","1","7","0","0","1","0","0","0","32","0","0","0","172","0","0","0","2","0","1","0","0","0","1","30","0","0","0","53","0","2","0","143","0","0","0","1","0","0","0","0","0","1","0","2","0","6","0","0","1"
" 98052"," 98964"," 97166"," 44.75",NA,"40","0","0","2","9","2","20","1","1","6","0","0","5","0","29","0","0","0","0","15","3","0","3","0","26","0","0","5","0","0","0","19","0","0","0","419","0","0","0","0","0","0","0","0","0","2","47","0","0","0","47","1","0","0","117","0","0","1","1","1","1","0","4","0","1","0","2","0","2","0","0","1"
" 98830"," 99739"," 97945"," 45.00",NA,"41","0","3","2","11","2","26","0","0","4","0","1","19","0","29","0","0","0","1","23","0","0","0","0","32","0","0","2","0","0","0","41","0","0","0","306","0","0","0","0","0","0","0","0","0","0","49","0","0","0","43","2","1","0","114","0","0","1","3","2","0","0","1","0","3","0","4","0","6","0","0","1"
" 99607","100514"," 98724"," 45.25"," 1","39","0","0","4","8","0","23","0","6","9","0","1","17","0","41","0","0","0","0","19","1","0","2","0","47","0","0","0","0","0","0","47","0","0","0","151","0","0","0","0","0","0","0","0","0","0","31","0","0","0","39","0","0","0","109","0","0","0","2","0","0","0","3","0","2","0","1","0","4","0","0","0"
"100385","101289"," 99503"," 45.50",NA,"6","0","0","5","16","0","56","6","4","0","0","0","0","0","10","0","0","1","1","5","2","0","0","0","0","0","0","0","0","0","0","60","0","0","0","232","0","0","0","0","0","1","2","0","0","4","69","0","0","0","60","4","1","0","159","0","0","0","6","1","0","0","4","0","1","0","0","0","0","0","0","0"
"101162","102063","100281"," 45.75",NA,"17","0","0","1","17","3","35","2","1","1","0","3","1","0","8","1","1","2","0","0","3","0","1","0","1","0","0","1","0","0","0","17","0","0","0","275","0","0","0","0","0","0","0","0","0","0","52","0","0","0","51","4","0","0","153","0","0","0","1","3","1","0","1","0","0","0","1","0","2","0","0","0"
"101940","102838","101060"," 46.00",NA,"7","0","0","2","5","0","26","2","2","2","0","3","0","0","9","0","0","0","0","2","0","0","0","0","0","2","0","1","0","0","0","18","0","0","0","56","0","0","0","0","0","0","0","0","0","0","54","0","0","0","17","0","0","0","172","0","0","1","1","0","0","0","4","0","0","0","2","0","1","0","0","2"
"103495","104388","102618"," 46.50",NA,"7","0","0","1","6","0","21","2","6","3","0","0","1","0","18","1","0","0","0","11","4","0","0","1","1","1","0","1","0","0","0","18","1","0","0","57","0","0","0","0","0","0","0","0","0","1","43","0","1","0","34","1","2","0","251","0","0","0","1","1","0","0","1","0","1","0","3","0","3","0","0","0"
"106605","107487","105732"," 47.50",NA,"14","0","0","5","0","0","21","4","5","5","0","0","0","0","22","0","0","0","0","19","2","1","2","0","0","1","0","1","1","0","0","33","0","0","0","89","0","0","0","0","0","0","0","0","0","1","47","0","0","0","31","0","0","0","251","1","0","1","1","0","0","0","2","0","1","0","6","0","5","0","0","0"
"109715","110586","108844"," 48.50",NA,"19","0","0","6","6","1","10","2","5","1","0","0","0","0","27","1","0","0","0","12","0","1","1","0","0","0","0","2","0","0","0","23","0","0","0","71","0","0","0","0","0","0","0","0","0","2","43","0","0","0","38","1","1","0","211","0","0","0","1","0","0","0","1","0","2","0","9","0","5","0","0","1"
"112826","113685","111956"," 49.50",NA,"32","0","0","8","2","1","15","2","7","8","0","0","0","0","74","0","0","2","0","6","1","0","1","0","0","0","0","1","0","0","0","28","0","0","0","64","0","0","0","0","0","1","0","0","0","1","30","0","1","0","22","0","3","0","155","0","0","0","1","1","0","0","1","0","2","0","5","1","8","0","0","1"
"115936","116784","115068"," 50.50",NA,"63","0","0","14","3","1","15","1","9","25","0","1","4","0","208","1","0","0","0","6","0","0","0","0","0","0","0","0","0","0","1","25","0","0","0","73","0","0","0","2","0","1","0","0","0","2","58","0","2","1","37","5","2","0","159","0","0","0","0","0","0","0","0","0","2","0","11","0","13","0","0","1"
"119046","119882","118178"," 51.50",NA,"125","1","0","15","2","3","22","0","20","62","0","2","0","0","312","1","0","1","1","5","0","0","0","0","0","8","0","2","0","0","0","56","0","0","0","213","0","0","0","2","0","0","0","0","0","2","104","1","0","0","39","1","4","0","230","0","0","0","1","2","0","0","0","0","4","0","14","0","27","0","0","3"
"122156","122982","121289"," 52.50",NA,"62","1","0","20","11","0","20","1","20","57","0","0","1","0","208","1","0","1","0","10","0","1","0","0","0","4","0","0","1","0","0","57","0","0","0","104","0","0","0","1","0","0","1","0","0","0","85","0","1","0","33","0","1","0","222","0","0","2","2","0","0","0","0","0","2","0","17","1","69","0","0","0"
"125266","126083","124401"," 53.50",NA,"60","1","0","30","4","1","11","2","18","88","0","1","1","0","196","1","0","2","0","16","1","4","0","2","0","5","0","4","2","0","0","67","0","0","0","145","0","0","0","5","0","0","0","0","0","0","75","0","1","2","43","0","7","0","321","2","0","4","2","1","0","1","0","0","2","0","13","1","42","0","0","2"
"126821","127634","125957"," 54.00",NA,"36","2","0","11","0","2","5","0","2","51","0","1","0","0","317","5","0","1","0","7","0","0","0","2","0","1","0","3","0","0","0","50","0","0","0","115","0","0","0","2","0","0","1","0","0","4","53","1","0","0","36","2","0","0","257","0","0","0","2","0","2","0","0","0","3","0","12","0","33","0","0","0"
"128377","129186","127514"," 54.50",NA,"20","0","0","4","10","0","11","4","1","63","0","0","0","0","23","0","0","1","2","5","2","1","0","3","0","3","0","7","2","0","0","106","11","0","0","112","0","0","0","2","0","0","9","0","0","7","120","0","0","1","55","5","3","0","545","0","0","0","0","0","0","0","2","0","2","0","5","0","27","0","0","0"
"129932","130737","129070"," 55.00",NA,"29","0","0","1","5","8","7","2","2","29","0","2","0","0","4","1","1","6","0","7","0","2","0","9","0","3","0","16","5","0","0","65","0","0","0","168","0","0","0","1","0","0","69","0","0","10","128","1","0","0","74","5","2","0","549","0","0","2","0","0","0","0","0","0","0","0","3","0","18","0","0","3"
"131487","132290","130627"," 55.50",NA,"12","0","0","2","3","4","8","4","0","9","0","0","0","0","7","0","1","2","1","3","1","2","0","4","0","2","0","10","2","0","0","63","3","0","0","94","0","0","0","1","0","0","26","0","0","9","90","3","4","1","43","4","1","0","579","0","0","3","0","1","0","3","1","0","1","0","3","2","12","0","0","0"
"134597","135396","133742"," 56.50",NA,"3","0","0","1","5","4","9","2","1","5","0","1","0","0","1","0","0","1","0","5","4","1","0","0","0","0","0","12","0","0","0","58","0","0","0","56","0","0","0","0","0","0","0","0","0","3","68","0","0","0","27","0","8","0","250","0","0","2","0","0","0","3","0","0","1","0","0","0","6","0","0","3"
"137707","138503","136856"," 57.50",NA,"0","1","0","2","6","2","8","4","10","2","0","1","0","0","1","0","1","1","0","0","17","0","1","0","0","0","0","8","0","0","0","68","0","0","0","103","0","0","0","0","0","0","0","0","0","0","47","2","0","0","50","0","6","0","166","0","0","1","0","1","0","4","0","0","2","0","0","0","17","0","0","0"
"140817","141611","139970"," 58.50",NA,"1","0","0","2","10","6","11","3","10","0","0","0","0","0","0","4","1","1","0","1","9","0","1","0","1","4","0","1","0","0","0","75","0","0","0","87","0","0","0","0","0","0","0","0","0","0","51","0","0","0","78","0","14","0","229","0","0","0","0","7","0","1","3","0","1","1","0","0","18","0","0","1"
"143927","144721","143086"," 59.50",NA,"5","1","0","0","22","5","88","5","12","0","0","1","0","0","3","2","1","0","1","0","4","0","2","0","0","0","0","2","0","0","0","27","0","0","0","481","0","0","0","0","0","0","0","0","0","0","34","0","1","0","48","0","1","0","51","0","0","1","8","1","0","0","1","0","3","0","0","0","0","0","0","0"
"147038","147832","146200"," 60.50",NA,"2","1","0","2","22","6","71","4","4","0","0","0","0","0","0","1","2","1","3","5","3","1","2","0","0","0","0","0","0","0","0","70","0","0","0","384","0","0","0","0","0","0","2","0","0","2","21","0","0","0","102","4","2","0","64","0","0","1","11","0","0","0","6","0","2","0","0","0","0","0","0","0"
"150148","150943","149315"," 61.50",NA,"1","0","0","0","76","8","121","14","5","0","0","0","0","0","0","6","1","2","0","1","3","2","4","0","0","0","0","0","0","0","0","25","0","0","0","264","0","0","0","0","0","0","0","0","0","0","7","0","3","0","119","3","0","0","59","1","0","0","18","0","0","0","0","0","1","0","0","0","0","0","0","0"
