"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Campanulaceae","Carpinus","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Fagus","Fern","Fern-Lycopodiaceae","Fraxinus","Hedera","HippophaÃ«","Ilex","Indeterminable","IsoÃ«tes","Juglans","Lamiaceae undif.","Lycopodium spike","Lycopodium tablets","Lythrum","Musci","Myriophyllum undif.","Nuphar","Nymphaea","Olea t.","Persicaria t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Polygonum t.","Potamogeton","Pterocarya","Quercus undif.","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Sparganium","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Typha","Ulmus t.","Urtica t.","Vitis","Zelkova"
"  7051","  7870","  6250"," 10.20",NA,"4","0","0","2","3","1","5","2","1","53","0","2","0","0","4","2","2","2","2","7","0","2","0","2","2","10","0","6","0","0","0","36","12","0","0","967","0","0","0","0","0","1","2","0","0","3","13","4","5","0","28","2","1","0","167","0","0","2","0","0","0","1","1","0","2","0","0","0","2","2","1","0"
"  7776","  8667","  6906"," 11.25",NA,"3","0","0","0","4","1","6","1","0","30","0","0","0","0","7","1","0","0","1","15","1","2","0","3","1","5","0","5","1","0","0","17","0","0","0","691","0","0","0","0","0","0","1","0","0","4","13","1","1","0","32","39","0","0","114","1","0","0","1","0","0","0","1","0","1","0","0","0","3","0","0","0"
"  8466","  9430","  7529"," 12.25",NA,"3","0","0","5","1","3","4","0","2","40","0","0","0","0","7","1","3","1","0","7","1","1","0","3","0","13","0","2","1","0","0","27","0","0","0","423","0","0","0","1","0","0","0","0","0","4","13","1","1","0","29","18","0","0","153","0","0","2","1","0","1","0","1","0","0","0","0","0","3","0","0","0"
"  8984"," 10002","  7994"," 13.00",NA,"3","0","0","0","7","4","3","4","0","40","0","0","0","0","8","3","0","0","1","9","0","1","0","1","2","7","0","6","0","0","0","17","0","0","0","508","0","0","0","1","0","0","4","0","0","2","23","0","6","0","50","8","0","0","144","3","0","0","0","0","0","1","3","0","0","0","0","0","9","0","0","0"
"  9329"," 10385","  8304"," 13.50",NA,"2","0","0","5","5","3","12","2","0","40","0","0","0","0","1","5","0","3","0","6","0","3","0","1","0","5","0","3","0","0","0","23","0","0","0","431","0","0","0","0","0","0","1","0","0","7","20","1","5","0","34","10","0","0","166","0","0","2","1","0","0","2","1","0","3","0","0","0","6","0","0","0"
" 10019"," 11150","  8921"," 14.50",NA,"2","0","0","4","2","6","8","2","0","34","0","2","0","0","0","7","1","1","1","16","2","5","0","4","1","6","0","3","0","0","0","21","0","1","1","454","0","0","0","0","0","0","1","0","0","3","14","1","0","0","42","5","0","0","123","1","0","0","1","0","0","1","0","0","1","0","0","0","5","0","0","0"
" 10709"," 11916","  9537"," 15.50",NA,"15","0","0","1","4","3","2","0","0","74","0","0","0","0","12","0","0","0","0","15","0","0","1","1","0","1","0","0","0","0","0","52","0","0","0","58","0","0","0","0","0","1","6","0","0","6","32","0","5","0","15","1","0","0","189","0","0","0","0","0","0","1","4","0","0","0","3","1","4","0","0","0"
" 11055"," 12299","  9845"," 16.00",NA,"8","0","0","6","0","3","3","2","0","53","0","0","0","0","8","0","0","1","0","16","0","0","0","2","0","2","0","6","1","0","0","31","0","0","0","64","0","0","0","1","1","1","0","0","0","4","26","1","1","0","26","3","0","0","174","0","1","0","0","0","0","0","2","0","0","0","8","0","7","0","0","0"
" 11400"," 12683"," 10153"," 16.50",NA,"7","0","0","8","4","2","6","4","1","11","0","0","0","0","1","1","1","1","0","11","3","0","0","0","0","0","0","4","2","0","0","26","0","0","0","53","0","0","0","2","0","1","0","0","0","5","24","2","0","0","22","2","0","0","249","0","0","0","0","0","0","2","3","0","0","0","8","0","9","0","1","0"
" 11745"," 13065"," 10459"," 17.00",NA,"3","0","0","0","14","1","4","4","3","1","0","0","0","0","0","2","0","0","0","8","5","0","0","0","0","0","1","10","0","0","0","32","0","0","0","66","0","0","0","0","0","1","0","0","0","4","18","6","2","0","72","1","0","0","238","0","0","1","1","7","0","13","2","0","0","1","1","0","2","0","0","1"
