"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Alnus","Amaranthaceae undif.","Apiaceae undif.","Apium t.","Artemisia","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Fern-Lycopodiaceae","Fraxinus","Geraniaceae undif.","Hydrocharitaceae","Hypericum undif.","Lamiaceae undif.","Lotus t.","Lysimachia","Malva undif.","Myrtus","Nuphar","Olea t.","Onagraceae","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Polygonum t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sparganium","Spike","Thalictrum","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Verbenaceae undif.","Zygnema/Spirogyra"
" 9200"," 9359"," 9033","130","0","3","0","10","22","10","0","0","0","0","4","0","1","0","3","6","0","0","1","0","1","16","0","0","0","0","1","0","0","0","0","0","0","0","0","203","0","2","32","0","2","2","0","0","0","0","0","1","0","0","0","1","0","1","0","0","39"
"10304","10487","10115","135","0","7","0","4","35","6","0","1","0","0","1","1","0","0","3","21","1","2","0","0","0","16","0","1","0","0","0","0","0","0","0","0","0","0","0","169","0","1","22","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43"
"11409","11618","11192","140","0","12","0","4","40","6","1","0","0","4","0","9","0","0","3","13","2","2","0","0","0","15","0","0","0","0","2","0","0","0","0","0","0","0","0","189","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31"
"12514","12750","12263","145","0","3","3","66","26","1","0","0","0","0","0","2","0","0","1","17","0","1","0","0","0","29","0","0","0","0","1","0","0","0","0","0","0","0","0","239","0","0","65","1","0","2","0","1","0","0","0","0","0","0","0","1","0","1","0","0","38"
"13619","13883","13330","150","0","0","0","0","8","1","0","0","0","0","0","0","0","0","3","13","1","0","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","330","0","1","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","33"
"14723","15019","14396","155","0","0","0","0","15","3","0","0","0","0","0","0","4","0","0","3","1","0","2","0","1","32","0","0","0","0","0","0","0","0","0","0","0","0","0","238","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","27"
"15828","16157","15461","160","0","1","0","2","13","1","1","0","0","0","1","0","2","0","3","2","0","1","1","0","0","27","0","0","0","0","1","0","0","0","0","0","0","0","0","269","0","0","22","0","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","3"
"16933","17299","16526","165","0","2","0","3","28","3","0","0","0","0","0","0","3","0","2","6","0","2","1","0","0","28","0","0","0","0","2","0","0","0","0","2","0","0","0","244","0","1","19","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","28"
"18038","18440","17590","170","0","1","0","0","30","1","5","0","0","0","0","0","0","0","0","14","0","2","3","0","0","77","0","0","0","0","0","0","0","0","0","3","0","0","0","78","0","0","28","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","6"
"19142","19583","18653","175","0","0","0","2","36","2","4","0","2","0","0","0","4","1","0","10","0","3","20","0","0","58","0","0","0","0","0","0","0","0","0","6","0","0","0","102","0","0","16","0","2","4","0","0","0","0","0","0","0","0","0","1","0","16","0","0","50"
