"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Algae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Brassicaceae","Caryophyllaceae undif.","Cedrus","Cichorieae","Cistaceae","Cyperaceae","Ephedra","Erica/Arbutus","Euphorbia t.","Fabaceae Undif.","Fern-Equisetophyta","Fungi","Hypericum undif.","Juglans","Lamiaceae undif.","Linum t.","Morella faya","Olea t.","Pinus canariensis","Plantago","Poaceae (<47 Âµm)","Poaceae (>47 Âµm)","Pollen concentration","Polygonum t.","Quercus deciduous","Ranunculaceae undif.","Rubiaceae undif.","Rumex t.","Sanguisorbineae","Ulmus t.","Unknown","Urtica t.","cf. Adenocarpus","cf. Aeonium","cf. Typhaceae/Potamogetonaceae"
"1200.00",NA,NA," 182.00","   0.00","   0.00","   0.00","   0.00","   0.00","   9.00","   0.00","   1.00","   0.00"," 146.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","  19.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 183.00","   0.00"," 163.00","   1.00","2133.28","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","  12.00","   0.00","   0.00","   0.00","   0.00"
"1293.00",NA,NA," 198.00","   0.00","   0.00","   0.00","   0.00","   0.00","  18.00","   0.00","   2.00","   0.00"," 115.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00"," 247.00","   0.00"," 113.00","   3.00","2731.33","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   7.00","   0.00","   0.00","   0.00","   0.00"
"1386.00",NA,NA," 214.00","   1.00","   0.00","   1.00","   0.00","   1.00","  18.00","   0.00","   0.00","   0.00"," 124.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 215.00","   0.00"," 144.00","   0.00","1836.54","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   9.00","   0.00","   0.00","   0.00","   0.00"
"1570.00",NA,NA," 245.50","   0.00","   0.00","  13.00","   0.00","   1.00","  17.00","   0.00","  23.00","   0.00","  77.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   8.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00"," 204.00","   0.00"," 158.00","   2.00","2972.03","   0.00","   0.00","   9.00","   0.00","   0.00","   0.00","   0.00","  15.00","   0.00","   0.00","   0.00","   0.00"
"1655.00",NA,NA," 260.00","   1.00","   0.00","   1.00","   0.00","   0.00","   5.00","   0.00","   7.00","   0.00","  82.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 215.00","   0.00"," 182.00","   3.00","2660.17","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00","   0.00","  18.00","   0.00","   0.00","   0.00","   0.00"
"1748.00",NA,NA," 276.00","   2.00","   0.00","   0.00","   0.00","   3.00","  20.00","   0.00","   0.00","   0.00","  59.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 172.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  98.00","   0.00","  75.00","   1.00","1119.23","   0.00","   0.00","   7.00","   0.00","   0.00","   0.00","   0.00","  34.00","   0.00","   0.00","   0.00","   0.00"
"1795.00",NA,NA," 284.00","   4.00","   0.00","   5.00","   0.00","   2.00","  16.00","   0.00","   1.00","   0.00"," 102.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  15.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 249.00","   0.00"," 115.00","   2.00","2547.43","   0.00","   0.00","   7.00","   0.00","   0.00","   0.00","   0.00","  40.00","   0.00","   0.00","   0.00","   0.00"
"1842.00",NA,NA," 292.00","   2.00","   0.00","   3.00","   0.00","   2.00","  22.00","   0.00","   3.00","   0.00","  92.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","  40.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 256.00","   0.00"," 109.00","   2.00","4467.65","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","   0.00","  23.00","   0.00","   0.00","   0.00","   0.00"
"1947.00",NA,NA," 310.00","   1.00","   0.00","   0.00","   0.00","   3.00","  13.00","   0.00","   3.00","   0.00","  58.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  17.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 334.00","   0.00"," 107.00","   2.00","5286.11","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","  18.00","   0.00","   0.00","   0.00","   0.00"
"2005.00",NA,NA," 320.00","   1.00","   0.00","   0.00","   0.00","   0.00","  13.00","   0.00","   3.00","   0.00","  85.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  20.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00"," 332.00","   0.00","  30.00","   0.00","3431.31","   0.00","   0.00","   7.00","   0.00","   0.00","   0.00","   0.00","  50.00","   0.00","   0.00","   0.00","   0.00"
