Depth,EPD defaultRadiocarbon years BP,Giesecke et al. 2014 (MADCAP)Calibrated radiocarbon years BP,Lycopodiumspore,Lycopodium spikecounted,Lycopodium tabletsconcentration,Lycopodium tabletsquantity added,Sample quantityvolume,Abies,Acer,Alisma,Alnus,Amaranthaceae,Apiaceae,Artemisia,Asteroideae,Betula,Boraginaceae,Brassicaceae,Buxus,Campanulaceae,Carpinus betulus,Caryophyllaceae,Centaurea,Cichorioideae,Cistus,Corylus,Cyperaceae,Daphne,Ephedra,Ericales,Fagus,Fraxinus excelsior-type,Fraxinus ornus,Hedera,Helianthemum,Hippophaë,Ilex,Indeterminable undiff./spore,Isoëtesspore,Juglans,Juniperus,Lamiaceae,Liliaceae,Lythrum,Myriophyllum,Nuphar,Nymphaea,Olea,Osmunda regalisspore,Ostrya/Carpinus orientalis,Persicaria maculosa-type,Phillyrea,Pinus,Pistacia,Plantago,Platanus,Poaceae,Polygonum,Polygonum aviculare-type,Polypodiophytaspore,Potamogeton,Poterium sanguisorba,Pteridiumspore,Pterocarya,Quercus,Ranunculaceae,Rhamnaceae,Rosaceae,Rubiaceae,Rumex,Salix,Sparganium,Sphagnumspore,Taxus,Thalictrum,Tilia,Typha latifolia,Ulmus,Urtica,Vitis,Zelkova
45.5,--/90811/--,101289/100385/99503,,232,12077,3,,6,,,5,16,,56,6,4,,,,,10,,,1,,5,,,,,,,,,1,,,60,,,2,,,,,,1,2,,,,4,69,,,,60,,4,,1,,,,159,,,,6,1,,4,,,1,,,,,,
45.75,--/91518/--,102063/101162/100281,,275,12077,3,,17,,,1,17,3,35,2,1,,3,1,,8,1,1,2,,,,,1,,1,,1,,,,,17,,,3,,,,,,,,,1,,,52,,,,51,,4,,,,,,153,,,,1,3,1,1,,,,1,,2,,,
46,--/92226/--,102838/101940/101060,,56,12077,3,,7,,,2,5,,26,2,2,,3,,,9,,,,,2,,,,,,,1,,,,,18,,,,,,,,,,,,2,,,54,,,,17,,,1,,,1,,172,,,1,1,,,4,,,,2,,1,,,2
46.5,--/93640/--,104388/103495/102618,,57,12077,3,,7,,,1,6,,21,2,6,,,1,,18,1,,,,11,,,,1,1,,1,,,,,18,1,,4,,,,,,,,,3,,1,43,,1,,34,,1,1,2,,,,251,,,,1,1,,1,,,1,3,,3,,,
47.5,--/96469/--,107487/106605/105732,,89,12077,4,,14,,,5,,,21,4,5,,,,,22,,,,,19,1,,2,,,1,,1,,,,33,,,2,,,,,,,,,5,,1,47,,,,31,,,1,,,,,251,1,,1,1,,,2,,,1,6,,5,,,
48.5,--/99298/--,110586/109715/108844,,71,12077,3,,19,,,6,6,1,10,2,5,,,,,27,1,,,,12,1,,1,,,1,1,,,,,23,,,,,,,,,,,,1,,2,43,,,,38,,1,,1,,,,211,,,,1,,,1,,,2,9,,5,,,1
49.5,--/102126/--,113685/112826/111956,,64,12077,4,,32,,,8,2,1,15,2,7,,,,,74,,,2,,6,,,1,,,,1,,,,,28,,,1,,,,,,1,,,8,,1,30,,1,,22,,,,3,,,,155,,,,1,1,,1,,,2,5,1,8,,,1
50.5,--/104955/--,116784/115936/115068,,73,12077,3,,63,,,14,3,1,15,1,9,,1,4,,208,1,,,,6,,,,,,,,,,,1,25,,,,,,,2,,1,,,25,,2,58,,2,1,37,,5,,2,,,,159,,,,,,,,,,2,11,,13,,,1
51.5,--/107784/--,119882/119046/118178,,213,12077,4,,125,1,,15,2,3,22,,20,,2,,,312,1,,1,1,5,,,,,,,2,,,,,56,,,,,,,2,,,,,62,,2,104,1,,,39,,1,7,4,,1,,230,,,,1,2,,,,,4,14,,27,,,3
52.5,--/110613/--,122982/122156/121289,,104,12077,3,,62,1,,20,11,,20,1,20,,,1,,208,1,,1,,10,1,,,,,,,1,,,,57,,,,,,,1,,,1,,57,,,85,,1,,33,,,4,1,,,,222,,,2,2,,,,,,2,17,1,69,,,
53.5,--/113442/--,126083/125266/124401,,145,12077,3,,60,1,,30,4,1,11,2,18,,1,1,,196,1,,2,,16,4,,,2,,4,,2,,,,67,,,1,,,,5,,,,,88,,,75,,1,2,43,,,2,7,1,3,,321,2,,4,2,1,,,,,2,13,1,42,,,2
54,--/114856/--,127634/126821/125957,,115,12077,4,,36,2,,11,,2,5,,2,,1,,,317,5,,1,,7,,,,2,,1,2,,,,,50,,,,,,,2,,,1,,51,,4,53,1,,,36,,2,1,,,,,257,,,,2,,2,,,,3,12,,33,,,
54.5,--/116270/--,129186/128377/127514,,112,12077,4,,20,,,4,10,,11,4,1,,,,,23,,,1,2,5,1,,,3,,6,1,2,,,,106,11,,2,,,,2,,,9,,63,,7,120,,,1,55,1,4,3,3,,,,545,,,,,,,2,,,2,5,,27,,,
