Depth,EPD defaultRadiocarbon years BP,Giesecke et al. 2014 (MADCAP)Calibrated radiocarbon years BP,Lycopodiumspore,Lycopodium spikecounted,Lycopodium tabletsconcentration,Lycopodium tabletsquantity added,Sample quantityvolume,Abies,Acer,Alisma,Alnus,Amaranthaceae,Apiaceae,Artemisia,Asteroideae,Betula,Boraginaceae,Brassicaceae,Buxus,Campanulaceae,Carpinus betulus,Caryophyllaceae,Centaurea,Cichorioideae,Cistus,Corylus,Cyperaceae,Daphne,Ephedra,Ericales,Fagus,Fraxinus excelsior-type,Fraxinus ornus,Hedera,Helianthemum,Hippophaë,Ilex,Indeterminable undiff./spore,Isoëtesspore,Juglans,Juniperus,Lamiaceae,Liliaceae,Lythrum,Myriophyllum,Nuphar,Nymphaea,Olea,Osmunda regalisspore,Ostrya/Carpinus orientalis,Persicaria maculosa-type,Phillyrea,Pinus,Pistacia,Plantago,Platanus,Poaceae,Polygonum,Polygonum aviculare-type,Polypodiophytaspore,Potamogeton,Poterium sanguisorba,Pteridiumspore,Pterocarya,Quercus,Ranunculaceae,Rhamnaceae,Rosaceae,Rubiaceae,Rumex,Salix,Sparganium,Sphagnumspore,Taxus,Thalictrum,Tilia,Typha latifolia,Ulmus,Urtica,Vitis,Zelkova
89.5,--/236212/--,238207/237233/236198,,472,12077,2,,3,,,2,46,1,128,2,1,,1,,,1,4,3,2,,5,4,,2,,,,4,,2,,,27,,,19,,,,,,1,,,,,1,146,,2,,72,,20,,,,,,118,4,,1,2,,1,2,,,1,,,3,,,1
90,--/237970/--,239769/238788/237745,,1014,12077,3,,,,,3,18,,62,6,1,,1,,,1,2,3,11,,2,2,,2,,1,,3,,,,,33,,,2,,,,,,,,,1,,,98,,,,48,,11,,,,,,44,,,1,2,,,,,,2,,,1,,,
90.5,--/239727/--,241330/240343/239292,,97,12077,2,,4,1,,1,23,,76,3,1,,,,,,2,,2,,2,3,,1,,,,1,,,,,22,,,2,,,,,,,1,,,,1,110,,2,1,30,,11,,1,,,,130,,,,2,,1,2,,,1,,,2,,,
91.5,--/243242/--,244455/243453/242388,,606,12077,3,,3,,,1,17,3,74,3,,,,,,,,2,2,,15,4,,,,,,,,,,,62,,,4,,,,1,,,,,1,,,135,,,,17,,3,,2,,,,78,,,3,2,1,,2,,,,,3,,,,
92.5,--/245922/--,246929/245930/244867,,502,12077,2,,2,,,2,19,1,79,8,1,,,,,1,5,,17,,1,4,,1,,,,,,,,,14,,,7,,,,,,,,,1,,,92,,,,40,,6,,,,,,58,,,,,,2,2,,,1,,,2,,,
93.5,--/247765/--,248753/247772/246731,,1732,12077,3,,1,,,,35,1,101,7,1,,,,,,7,,13,,,1,,2,,,,,,,,1,29,,,5,,,,,,,,,,,,52,,,,49,,4,,,,,,28,,,,2,,,,,2,,,,,,,
94.5,--/249608/--,250579/249615/248595,,641,12077,3,,,,,3,36,,102,8,2,,,,,,1,1,2,,,,,2,,,1,,,,,,23,,,4,,,,,,,,,,,,52,,,,55,,6,,,,,,64,,,,,,,,,,1,,,,,,
95.5,--/251451/--,252403/251458/250457,,844,12077,3,,,,,,24,1,82,7,,,,,,,,,12,,1,,,,,,,,,,,,61,,,3,,,,,,,,,,,,27,,,,31,,3,,3,,,,27,,,2,,,,2,,,,,,,,,
96.5,--/253294/--,254228/253301/252320,,518,12077,2,,,,,,46,,118,7,,,1,,,,4,3,3,,1,1,,2,,,1,1,,,,,36,,,5,,,,1,,,,,1,,1,26,,,,59,,12,,,,1,,72,2,,,1,,1,1,,,1,,,,,,
97.5,--/255137/--,256054/255143/254181,,874,12077,2,,,,,,35,1,154,10,,,3,,,,3,1,10,,,,,,,,,,,,,,23,,,,,,,,,,,,,,1,32,,,,40,,5,,,,,,38,,,,1,,1,1,,1,1,,1,,,,
98.5,--/256980/--,257878/256986/256040,,557,12077,2,,2,,,,51,2,148,9,2,,,,,,7,2,4,,,1,,6,,,,,,,,,30,,,5,,,,,,,,,,,,18,,,,34,,3,,1,,,,93,,,,,1,,,,,2,,,,,,
99.5,--/258824/--,259704/258829/257899,,338,12077,2,,1,,1,2,40,,179,10,,,,,,,,6,5,,,1,,1,,,2,2,,,,,44,,,2,,,,,,,,,2,,1,16,,,,25,,6,,,,,,49,1,,12,,,,,,,4,,,,,,
100.5,--/260667/--,261529/260672/259757,,738,12077,3,,1,,,2,31,,146,6,1,,,,,,2,,8,,,,,1,,,,,,,,,80,,,1,,,,,,,,,,,,29,,1,,17,,3,,3,,,,53,,,,,,,2,,,,,,,,,1
101.5,--/262510/--,263355/262514/261615,,540,12077,2,,1,,,1,46,,122,8,1,,,,,1,2,1,,,,2,,2,,,,,,,,,32,,,2,,,,3,,,,,,,1,10,,2,,67,,9,,3,,,,75,,,,,,,,,,5,,,,,,1
102.5,--/264353/--,265183/264357/263474,,798,12077,2,,1,,,1,39,,90,13,1,,1,,,,,,4,,1,2,,,,,,,,1,,,42,,,4,,,,,,,,,,,,22,,,,63,,8,,,,,,67,,,1,,,,,,,2,,,,,,1
103.5,--/266196/--,267013/266200/265333,,583,12077,2,,,,,,39,,95,5,2,,,,,,2,2,4,,2,1,,2,,,,,,,,,24,,,1,,,,,,,,,,,,30,,,,76,,14,,,,,,71,,,,,,,,,,1,,,,,,
104.5,--/268039/--,268845/268043/267195,,1090,12077,3,,1,,,,31,1,113,13,,,,,,,1,,5,,,,,,,,,,,,,,68,,,2,1,,,,,,,,,,,16,,,,28,,7,,2,,,,36,,,2,,,1,,,,2,,,,,,
106.5,--/271726/--,272514/271728/270919,,534,12077,2,,2,,,,20,1,73,4,2,,,,,,6,4,1,,2,1,,3,,1,,,,,,,33,,,1,,,,,,,,,,,,24,,,,92,,6,1,1,,,,75,,,1,1,,,,,,1,1,,,,,1
107.5,--/273569/--,274348/273571/272779,,432,12077,2,,6,,,,30,,42,17,1,,,,,,3,1,6,,7,,,5,,,,,,,,,37,,,2,,,,,,,,,,,,28,,,,102,,14,,,,,,64,,,,,,,,,,2,,,,,,1
108.5,--/275412/--,276179/275413/274635,,270,12077,2,,2,,,2,25,,41,2,5,,1,,,1,,1,,,,,,1,,3,,,,,,,18,,,5,,,,,,,,,2,,,52,,,,72,,10,,,,,,74,,,,4,,,2,,,3,2,,1,,,
109.5,--/277255/--,278010/277256/276490,,132,12077,2,,1,1,,,45,,82,8,8,,3,,,,1,2,4,,1,,,,,,,,,,,,15,,,2,,,,,,,,,2,,1,42,,,,86,,9,,,,,,58,,,,3,,,1,,,2,1,,,,,
110.5,--/279098/--,279841/279099/278343,,706,12077,4,,2,,,,37,3,54,5,2,,1,,,1,1,,2,,1,,,,,,,,,,,,37,,,1,,,,,,,,,,,,26,,,,42,,1,,,,,,51,2,,,,,1,,,,3,1,,,,,1
111.5,--/280941/--,281673/280942/280197,,140,12077,2,,4,,,2,37,1,62,7,6,,,,,3,2,2,1,,1,2,,1,,,,,,,,,26,,,2,,,,,,,,,6,,,59,,2,,97,,27,2,,1,,,64,,,,4,1,,6,,,2,,,8,,,3
112.5,--/282784/--,283508/282784/282053,,102,12077,2,,15,,,2,22,2,46,2,4,,,1,,8,1,,,,1,1,,,,1,1,,,,,,19,,,1,,,,1,,,,,5,,,68,,1,,85,,30,11,,,,,76,1,,,1,,,3,,,1,1,1,12,,,2
113,--/283706/--,284426/283706/282980,,157,18470,3,,14,,,3,27,3,48,,8,,,,,10,2,2,1,,12,2,,,,2,,,,,,,20,,,4,,,,2,,,,,4,1,,69,1,,,93,1,12,3,,,,,148,,,3,4,2,,1,,,2,4,1,14,,,1
113.5,--/284627/--,285344/284627/283906,,141,12077,3,,82,,,5,24,4,51,2,9,,,1,,48,1,,1,,27,1,,1,,8,,1,,,,,36,,,2,,,,1,,2,,,12,,1,112,,1,,87,,4,,,,,,261,1,,,2,,,2,,,2,10,,21,,,4
114,--/285549/--,286264/285549/284833,,64,18470,3,,83,,,9,2,1,16,,5,,,2,,38,,,,,20,,,,,3,,,1,,,,21,,,2,,,,,,,,,5,,,43,,,,21,,,,,,,,164,,,,,,,,,,1,3,,23,,,4
114.5,--/286471/--,287184/286470/285758,,170,12077,3,,11,,,,17,5,56,,3,,1,,,2,,2,,,4,,,1,,,1,1,,,,,22,,,,,,,,,1,,,4,,1,102,1,,,89,,6,,1,,,,120,,,,3,,,2,,,5,3,,2,,,2
115.5,--/288314/--,289023/288313/287606,,169,12077,3,,10,,,1,7,7,9,2,1,,,,,5,,,1,,2,2,,1,,,,4,,,,,83,,,8,,,,,,,1,,2,,3,16,,,,35,,2,2,10,,1,,218,,,,2,5,,4,,,2,3,,10,,,23
116.5,--/290157/--,290862/290155/289451,,122,12077,3,,,,,4,21,1,11,2,3,,,,,,1,1,2,,,1,,,,,,2,1,,,,19,,,41,,,,,,,,,2,,,71,,,,38,,4,,,,,,105,,,,2,,,1,,,1,,,7,,,2
117.5,--/292000/--,292703/291998/291292,,164,12077,3,,1,,,,29,1,72,3,2,,,,,,1,1,1,,2,,,,,,,,,,,,3,,,6,,,,,,,,,1,,,127,,,,20,,1,2,,,,,107,,,,1,,,,,,2,,,1,,,1
118.5,--/293843/--,294546/293841/293135,,757,12077,3,,,,,2,24,,113,3,3,,,,,,3,,5,,4,,,1,2,,,,,,,,16,,,8,,,,,,,,,,,,152,,,,39,,,1,,,,,152,1,,2,,,1,1,,,4,,,,,,3
119.5,--/295686/--,296389/295684/294974,,160,12077,3,,2,,,1,68,,101,9,3,,1,,,,2,,,,2,,,2,,,,,,,,,9,,,14,,,,,,,,,,,,147,,,,59,,1,3,,,,,172,,,1,1,,,5,,,1,,2,3,,,
120.5,--/297529/--,298236/297526/296814,,319,12077,3,,3,,,1,44,1,100,4,2,,,,,3,2,1,2,,2,,,,,,,,,1,,,21,,,11,,,,,,,,,3,,,102,,,,61,,7,2,,1,,,130,,,,6,,,5,,,,1,,1,,,
121.5,--/299373/--,300082/299369/298652,,328,12077,3,,10,,,7,10,1,38,3,4,,,,,15,,,4,,7,,,1,,1,,2,,,,,55,,,3,,,,,,,1,,,,,21,,,,77,,3,6,1,1,,,146,,,,1,1,,1,,,6,,,1,,,
122.5,--/301216/--,301932/301212/300489,,418,12077,3,,7,,,1,31,1,49,7,,,2,,,1,3,,1,,2,,,2,,1,,,,,,,25,,,9,,,,,,,,,,,,68,,,,63,,1,3,1,1,,,91,,,,,,,2,,,5,,,,,,
123.5,--/303059/--,303782/303055/302325,,744,12077,3,,5,,,2,9,1,40,8,,,,,,,5,,8,,1,,,2,,,,,,,,,33,,,7,,,,,,,,,1,,,20,,,,129,,2,,3,,,,86,,,,,,,1,,1,4,,,3,,,1
124.5,--/304902/--,305633/304897/304159,,215,12077,3,,45,1,,7,14,3,76,7,7,,1,,,47,1,,1,,25,,,2,,5,2,1,,,,,48,,1,9,,,,2,,,2,,17,,3,134,,3,,116,1,4,7,2,,,,373,,,1,7,,,1,1,,7,3,,13,,,6
125,--/305824/--,306559/305819/305076,,134,18470,2,,4,1,,2,12,6,74,5,8,,,,,4,2,,1,1,,3,,4,,,,,,,,,27,,,1,,,,7,1,6,,,2,2,,45,,,,168,,3,2,8,,,,58,,,7,2,,,13,,,1,,1,2,,,
125.5,--/306745/--,307485/306740/305993,,385,12077,3,,19,,,4,21,3,72,12,11,,1,,,17,2,1,1,,11,,,3,,,,,,1,,,82,,,1,,,,2,,,,,5,,3,74,,1,,117,2,8,2,4,1,,,154,,,2,7,1,1,6,,,5,1,1,2,,,
126.5,--/308588/--,309339/308583/307828,,107,12077,3,,15,1,,4,9,,28,,7,,,,,15,,1,1,,6,,,1,,1,2,,,,,,20,,,2,,,,,,,,,9,,1,39,,1,,109,,4,,,,,,129,,,3,3,1,,,,,3,,,6,,,1
127.5,--/310431/--,311194/310426/309663,,112,12077,3,,4,,,2,24,3,68,8,8,,,,,1,4,3,3,,1,,,2,,,,,,,,,11,,,,,,,,,,,,,,,42,,1,,109,,6,1,,,,,87,1,,4,7,,,3,,,2,,,2,,,
128.5,--/312275/--,313051/312268/311495,,185,12077,3,,4,,,3,19,3,66,10,8,,,,,4,2,,,1,4,3,,2,,1,1,,,,,,20,,,5,,,,,,,,,2,,2,57,,1,,113,,3,,,,,,99,,,1,5,1,,,,,4,,,4,,,
129.5,--/314118/--,314909/314111/313328,,131,12077,3,,16,,,7,19,7,44,2,8,,1,,,11,2,2,1,,13,,,5,,1,1,,,2,,,18,,,2,,,,,,,,,3,,,77,,1,,103,,2,,,,,,168,,,,6,,,,,,6,,,8,,,
130.5,--/315961/--,316765/315954/315157,,106,12077,3,,4,,,5,49,5,104,5,7,,,,,2,1,1,1,,,,,6,,1,,,,,,,28,,,13,,,,,,1,,,,,1,83,,2,,117,,11,,,,,,62,,,1,8,1,,5,,,5,,,,,,1
131.5,--/317804/--,318623/317797/316985,2,212,12077,4,,5,,,11,8,4,27,5,3,,,,,,2,,2,,7,,,2,,1,,,,,,,33,,,3,,1,,,,,,,,,,70,,,,60,,,,,1,,,46,,,,4,,1,2,,,2,,,3,,,
132.5,--/319647/--,320481/319639/318814,,127,12077,3,,2,,,5,21,8,53,14,7,,,,,3,,1,3,,4,1,,2,,1,2,1,,,,,40,,,15,,,,,,,,,2,,,104,,,,130,,7,,1,,,,123,,,,4,,1,1,,,1,,,3,,,1
133.5,--/321490/--,322341/321482/320642,,304,12077,3,,1,,,1,69,8,67,5,5,,,,,,1,1,2,,,,,,,,,1,1,1,2,,31,,,13,,,,,,,,,,,2,12,,,1,99,,10,,,,,,48,,,1,4,1,,5,,,3,,,1,,,
134.5,--/323333/--,324202/323325/322470,,271,12077,3,,2,,,,60,12,105,12,4,,,,,,,1,,,,,,3,,,,,,,,,38,,,13,,,,,,,,,,,,12,,3,,128,1,10,,,,,,56,,,1,4,,,4,,,6,,,,,,
135.5,--/325176/--,326062/325167/324295,,400,12077,3,,1,,1,,49,2,88,11,4,,,,,1,,,2,,2,,,2,,,,,,,,,77,,,5,,,,,,,,,1,,,27,,,,63,,1,1,,,,,49,1,,,1,,,1,,,4,1,,2,,,
136.5,--/327020/--,327925/327010/326121,,213,12077,3,,38,,,8,22,10,73,4,12,,1,,,14,3,1,5,,18,,,4,,7,,1,,,,,27,,,36,,,,,,,,,3,,,322,,4,,189,1,4,,,1,,,214,1,,1,5,2,3,5,,,6,1,,11,,,2
137,--/327941/--,328855/327932/327032,,335,18470,3,,4,,,2,5,3,40,4,1,,,,,,1,1,1,,,4,,2,,,,,1,,,,27,,,11,,,,,,,,,,,,69,,2,,102,,3,,1,,,,52,,,1,4,,1,6,,,1,,,1,,,
137.5,--/328863/--,329787/328853/327945,,238,12077,3,,9,,,1,20,10,61,9,,,2,,,8,3,1,3,,,2,,2,,1,,,,,,,39,,,17,,,,,,,,,3,,2,50,,1,,192,,,,,1,,,71,,,,1,2,,1,,,3,,1,2,,,
138.5,--/330706/--,331649/330696/329769,,144,12077,3,,13,,,1,28,5,78,7,1,,1,,1,18,2,,1,,3,2,,4,,5,1,1,,,,,21,,,7,,,,,,,,,5,,2,40,1,4,,138,,6,,,,,,74,,,1,2,3,,,,,2,,1,4,,,
139.5,--/332549/--,333512/332538/331593,,285,12077,4,,63,,,8,17,2,37,6,3,,1,5,,18,2,1,,,3,2,,2,,18,1,1,,,,,15,,,6,,,,2,,,,,7,,,88,,,,134,,,,,,,,98,,,4,1,2,,7,,,6,2,,10,,,6
140,--/333471/--,334443/333460/332504,,120,18470,3,,119,1,,13,8,1,26,1,,,,21,,39,,,,,8,2,,1,1,37,,1,1,,,,49,,,,,,,,,1,,,7,,,72,,,,73,,3,1,,,,,52,,,3,1,,,1,,,2,2,,17,,,3
140.5,--/334392/--,335375/334381/333415,,56,12077,3,,114,,,5,4,,8,2,1,,,,,23,2,,,,23,,,2,,32,,,3,,,,64,,,1,,,,,,,,,10,,,40,,,,18,,1,4,6,,,,54,,,3,1,,1,,,,2,1,,17,,,5
141,--/335314/--,336307/335303/334327,,94,18470,3,,122,,,17,10,6,18,,1,,,11,,67,,,,,27,1,,6,,56,,1,2,,,,39,,,3,,,,,,,,,22,,,72,,,,60,,1,1,,,,,130,,,,,,1,1,,,2,3,,28,,,2
141.5,--/336235/--,337239/336224/335238,,91,12077,4,,140,,,10,3,6,20,3,2,,3,5,,48,,,,,13,,,,,33,,,2,,,,14,,,1,,,,,,1,1,,19,,1,41,,,,50,,,,,,,,74,,,,,,,1,,,1,2,,14,,,1
142,--/337157/--,338170/337145/336148,,98,18470,3,,50,1,,3,3,5,21,2,,,1,1,,25,1,,,,11,1,,,4,26,,,2,,,,44,,,11,1,,,,,,,,12,,1,48,,1,,67,,,2,1,,,,234,,,,,1,,2,,,,4,1,24,,,5
142.6,--/338263/--,339289/338251/337241,,160,12077,4,,26,1,,6,10,2,27,1,4,,,,,19,3,,1,,21,,,,1,8,,3,,,,,73,,,69,,,,,,,,,8,,2,109,,,,111,,,,4,,,,372,,,4,,1,,,,,1,3,,35,,,4
143,--/339000/--,340034/338988/337968,,119,18470,3,,18,,,3,4,3,12,2,1,,2,2,,7,,,1,,15,,,,,16,,2,1,,,,64,,,32,,,,,,1,,,4,,,66,,1,,64,,,,,,1,,172,,,1,1,,,2,,,1,4,,26,,,2
143.5,--/341154/--,342164/341142/340150,,353,12077,4,,12,,,,6,3,14,1,,,,,,5,1,1,1,,,,,,,1,,,,1,,,8,,,6,,,,,,,,,3,,,162,,1,1,47,2,1,,,,,,60,,,2,,,,,,,,2,,2,,,
144.5,--/345462/--,346427/345450/344515,,226,12077,4,,20,,,3,11,2,9,1,2,,,,1,8,1,,,,3,,,,,1,1,,,,,,15,,,10,,,,1,,,,,2,,1,137,,,,51,,1,,,1,,,100,,,1,,,,1,,,1,1,,5,,,
145.5,--/349769/--,350687/349758/348874,,428,12077,3,,30,,,4,23,5,43,7,2,,1,,,4,2,1,1,,5,,,1,,3,2,,,,,,80,,,18,,,,1,,,,,4,,,242,,2,,101,1,,5,1,,1,,166,,,,1,1,1,,,,4,1,,10,,,4
146.5,--/354077/--,354946/354065/353224,,179,12077,3,,16,,,1,8,,16,1,1,,,1,,10,2,,,,4,,,1,,1,2,,,,,,23,,,4,,,,,,,,,6,,1,126,,2,,102,,1,,,,,,107,,,1,,,,,,,1,2,,9,,,
147.5,--/358385/--,359209/358373/357569,,183,12077,3,,8,,,2,10,3,13,1,2,,1,,,3,4,1,,,1,,,1,,1,,,,,,,19,,,3,,,,,,,,,3,,,126,,,1,60,,,2,,,,,96,,,1,,1,,,,,1,1,,1,,,
148.5,--/362692/--,363481/362681/361912,,259,12077,3,,1,,,1,30,1,43,7,3,,1,,,1,,,,,1,1,,,,,,,,,,,14,,,4,,,,,,,,,,,,190,,1,,88,,3,,,,,,45,,,3,2,,,,,,2,,,1,,,1
149.5,--/367000/--,367772/366989/366257,,119,12077,3,,1,,,2,21,2,34,1,1,,,,,,,,2,,1,,,,,2,,,,,,,10,,,1,,,,1,,,,,,,,143,,,,76,,5,,1,,,,37,,,2,3,1,,,,,3,,,,,,
150.5,--/371308/--,372072/371297/370601,,361,12077,4,,19,,,1,6,1,15,6,,,,,,2,1,,2,,2,,,,,,,,,,,,50,2,,,,,,,,,1,,2,,1,154,,1,,36,,1,1,,,,,73,,,,,,,,,,3,,,1,,,5
151.5,--/375615/--,376368/375605/374931,,130,12077,3,,98,,,2,2,3,16,2,1,,,,,19,,1,3,,8,1,,,,10,,,,,,,11,,,,,,,,,,1,,6,,,36,,1,,51,,3,,,,,,67,,,4,,1,,1,,,4,2,,16,,,2
152.5,--/379923/--,380658/379912/379245,,100,12077,3,,29,,,5,17,8,23,5,9,,,,1,18,2,,1,,4,2,,,,,1,1,1,,,,19,,,,,,,1,,,,,4,,2,72,,1,,72,,3,,,1,,,71,,1,4,5,3,1,,,,2,1,,13,,,
153.5,--/384231/--,384957/384220/383555,,100,12077,3,,64,,,5,7,5,10,3,2,,,1,,50,1,,2,,14,1,,,,2,,,1,,,,25,,,3,,,,,,,,,3,,,38,,1,,31,,1,,,,,,148,,,2,1,,,,,,2,12,,26,,,11
154.5,--/388538/--,389261/388528/387851,,127,12077,4,,45,,,4,8,,7,3,,,,,,72,2,,2,,29,1,,,,3,1,1,,,,,18,,,4,,,,,,,,,5,,1,49,,1,,35,,1,1,,,,,185,1,,1,,,,,,,2,8,,21,,,3
155.5,--/392846/--,393567/392836/392133,,93,12077,3,,19,,,1,5,,7,1,3,,1,,,15,2,1,,,10,,,1,,3,1,,,,,,38,,,3,,,,,,,2,,1,,,22,,,,22,,21,,1,,,,179,,,3,,1,,1,1,,,5,,9,,,9
156.5,--/397154/--,397891/397144/396417,,133,12077,4,,7,,,2,8,3,6,2,1,,,,,13,1,1,1,,10,1,,1,,2,1,1,,,,,15,,,5,,,,,,,,,4,,,59,,1,,35,,6,,,,,,239,,,3,2,1,,,,,,1,,11,,,1
157.5,--/401462/--,402225/401452/400695,,118,12077,4,,18,,,2,4,4,5,,2,,1,2,,12,1,,1,,13,1,,1,,2,2,1,2,,,,13,,,4,,,,,,,,,4,,1,39,,1,,46,,,,,,,,257,,,2,,,,,,,,2,,27,,,2
158,--/403615/--,404393/403605/402832,,64,18470,3,,104,,,10,3,,5,,4,,1,13,,20,,,1,,2,2,,,,2,1,,,,,,22,,,5,,,,,,,,,20,,,27,,,,42,,2,1,,,1,,50,,,1,,,,1,,,,2,,30,,,5
158.5,--/405769/--,406561/405759/404965,,64,12077,4,,211,,,13,1,,1,,1,,,13,,43,,,,,6,,,,,1,,1,1,,,,28,,,2,,,,,,,,,5,,1,35,,1,,20,,,2,,,,,52,,,3,,,,,,,1,,,18,,,3
159,--/407923/--,408730/407913/407098,,36,18470,3,,115,,,16,,,3,,1,,,16,,30,,,,,1,,,,,1,3,,1,,,,20,,,2,,,,,,,,,8,,4,18,,,,8,,,,,,,,59,,,,,,,,,,2,,,29,,,7
159.5,--/410077/--,410899/410067/409228,,52,12077,4,,123,,,11,,,9,1,1,,,18,,35,1,,,,3,,,,,,,1,2,,,,19,,,,,,,,,,,,5,,,29,,2,,31,,4,,,,,,59,,,,1,,,,,,,1,,36,,,8
160,--/412231/--,413071/412221/411359,,77,18470,4,,69,,,9,5,2,2,,,,1,36,,61,,,,,1,,,,,2,2,2,3,,,,43,,,,,,,,,,,,5,,,31,,,,22,,2,1,2,,,,68,,,,,,,,,,1,4,,67,,,11
160.5,--/414385/--,415243/414375/413490,,147,12077,3,,136,,,38,3,2,14,1,1,,1,53,,88,,,,,12,,,3,,,1,2,4,,,,116,,,2,,,1,,,,,,10,,1,82,,,,40,1,1,2,3,,,,136,,,,1,,,1,,,2,1,,81,,,79
161,--/416538/--,417416/416529/415620,,113,18470,4,,90,3,,17,3,,1,,,,2,29,,51,,,1,,,,,,,,,1,2,,,,13,,,1,,,,,,,,,12,,1,60,,,,23,,,,,,,,102,,,1,,,,1,,,,3,,90,,,30
161.5,--/418692/--,419591/418683/417750,,48,12077,3,,51,,,8,2,,3,,3,,,21,,52,1,,,,2,2,,,,,2,3,2,,,1,29,,,3,,,,,,,2,,20,,1,53,1,2,,19,,3,1,,1,1,,90,,,4,,,,,,,2,1,,61,,,15
162,--/420846/--,421768/420837/419880,,169,18470,4,,29,1,,1,1,1,4,,1,,1,2,,32,1,,,,4,2,,,4,1,5,3,2,,,,26,1,,3,,,,,,,3,,47,,2,69,2,,,61,,2,1,5,1,2,,100,,,,1,1,,,,,1,1,1,57,,,33
162.5,--/423000/--,423947/422991/422010,,126,12077,4,,22,,,1,2,1,3,,2,,4,1,,10,1,,,,8,,,,1,1,7,6,4,,,,32,,,3,,,,,,,3,,12,,3,42,1,1,,23,,,1,,,,,131,,,1,,,,,,,,,,29,,,57
163,--/425154/--,426127/425145/424141,,162,18470,3,,1,1,,,21,3,27,5,,,,,,,1,,1,,1,,,2,,,2,,,,,,30,,,3,,,,,,,,,,,,81,,,,54,1,2,,,2,,,100,,,,,,,,,,1,,,3,,,
163.5,--/427308/--,428308/427298/426272,,228,12077,4,,1,1,,,38,2,41,5,1,,,,,1,3,,,,2,,,2,,,,,1,,,,12,,,7,,,,,,,,,2,,1,77,,,,50,,3,,,2,,,138,1,,6,1,1,,1,,,,,2,3,,,2
164.5,--/431615/--,432674/431606/430531,,267,12077,3,,,,,2,50,2,79,5,4,,1,,,1,,3,,,,,,1,,,,,,,,,27,,,7,,,,,,,,,1,,,95,,1,,92,,10,,,7,,,142,,,3,6,3,,1,,,3,,,8,,,1
165.5,--/435923/--,437041/435914/434791,,217,12077,3,,,,,,38,1,43,4,2,,,,,,,,2,,,,,3,,,,1,,,,,33,,,,,,,,,,,,,,,76,,,,27,,3,,,,,,71,,,,,,1,,,,,,,,,,
168.5,--/448846/--,450154/448838/447555,,570,12077,2,1,6,1,,4,69,3,41,10,2,1,2,,,1,9,1,,,1,,,1,,,,,,1,,,21,,,6,,,,5,,,,,,,,43,,3,,104,,9,,,,4,,52,,,2,4,,,,,,3,,,,,,
169.5,--/453154/--,454528/453145/451806,,612,12077,2,,3,,,1,60,6,32,3,6,,1,,1,,5,,1,,1,1,,,,1,,,,,,,13,,,7,,,,6,,,,,,,,22,,2,,118,,7,,,,,,38,,,4,2,2,,,,,,,,3,,,
170.5,--/457462/--,458903/457453/456053,,1120,12077,3,,8,,,5,68,2,37,12,1,,,1,,1,1,1,4,,1,,,,,,,,,,,,50,,,9,,,,2,,,,,,,,60,,,,75,,6,,,,8,,54,,,,1,1,,,,,2,,,1,,,1
171.5,--/461769/--,463276/461761/460298,,438,12077,2,,8,,,1,97,6,52,19,3,,,,,2,4,3,1,,1,,,2,,,,,,,,,36,,,13,,,,16,,,,,,,,48,,8,,154,,6,,,,,,47,,,2,,2,,,,,6,,,1,,,
172.5,--/466077/--,467650/466069/464542,,243,12077,2,,5,,,3,62,5,37,10,5,,,,,4,,1,2,,4,1,,2,,,,,,,,,23,,,11,,,,1,,,,,,,,70,,3,,112,,6,,1,,,,20,,,3,2,,1,,,,7,,,2,1,,
173.5,--/470385/--,472025/470377/468783,,329,12077,2,,7,,,,59,1,35,13,4,,,,,3,4,,,,4,2,,1,,1,,,,,,,15,,,11,,,,1,,,,,,,,133,,2,,115,,8,,,,,1,29,,,2,3,,,,,,5,,,,,,
174.5,--/474692/--,476400/474685/473021,,1735,12077,2,,7,,,2,7,,20,4,3,,,,,4,3,,6,1,,1,,,,,,,,,,,26,,,,,,,,,,,,1,,,83,,,,166,,23,6,,,,,7,,,,,,,,1,,2,,,1,,,
175.5,--/479000/--,480775/478992/477259,,133,12077,2,,44,,,,3,1,14,,1,,,,,9,6,,3,,6,10,,,,4,,,,,,,45,,,1,,,,2,,1,,,,,,68,,,,96,,7,2,3,,,,42,1,,1,,,,13,,,,,9,4,,,1
176.5,--/483308/--,485150/483300/481498,,103,12077,2,1,28,,,1,19,3,22,4,9,,,,,4,2,,,,5,3,,1,,1,,,,,,,23,127,,,,,,2,,9,,,,,,168,,1,,64,,8,,,,,,36,,,1,1,,,21,,,2,1,,1,,,
177.5,--/487615/--,489526/487608/485735,,1156,12077,2,,7,,,,3,1,27,17,,,,,,,2,1,9,,3,3,,,,,,,,,,,29,,,,,,,,,,,,1,,,34,,,,223,,31,9,,,1,,7,,,1,1,,,,,,1,,,,,,
178.5,--/491923/--,493902/491916/489972,,264,12077,1,,9,,,,6,,23,16,1,,,,,1,1,1,1,,,1,,,,,,,,,,,36,,,1,,,,,,,,,,,,31,,1,,222,,8,5,,,,,4,,,,,,,,,,1,,,2,,,
179.5,--/496231/--,498278/496224/494206,,247,12077,1,,5,,,3,,3,16,6,,,,,,6,2,,,,1,4,,1,,,,,,,,,60,,,,,,,,,,,,,,,21,,,,248,,3,1,1,,,,9,,,,,,1,,,,1,,,1,,,
