,"Depth (cm) [cm]","Sample Age (cal yr BP) [cal yr BP]","preparedby [undefined]","dateprepared [undefined]","model [undefined]","notes [undefined]"
,2.0,0,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,50.0,0,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,100.0,50.46429,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,150.0,573.5714,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,200.0,1096.679,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,250.0,1619.786,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,300.0,2142.893,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,350.0,2666,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,400.0,3189.107,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,450.0,3712.214,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,500.0,4235.321,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,550.0,4758.429,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,597.0,5250.149,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,652.0,5825.567,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,700.0,6327.75,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,752.0,6871.781,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,798.0,7353.04,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,850.0,7897.071,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,900.0,8420.179,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,950.0,8943.286,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,1000.0,9466.393,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,1054.0,10031.35,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,1081.0,10313.83,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,1130.0,10826.47,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
