,"depth (cm) [cm]","Sample age (cal yr BP) [cal yr BP]"
,Depth (cm),Sample age (cal yr BP)
,1.5,-5
,19,69
,31,482.57754
,40,651.700535
,47,783.240642
,49,820.823529
,58.5,1004
,75,1309.40107
,85,1497.31551
,95,1751
,105,2160.36364
,115,2569.72727
,125,2979.09091
,135,3388.45455
,145,3797.81818
,155,4207.18182
,165,4616.54545
,175,5025.90909
,185,5435.27273
,195,5844.63636
,205,6254
,215,6510.2
,225,6766.4
,235,7022.6
,245,7278.8
,255,7535
,265,7791.2
,275,8047.4
,285,8303.6
,295,8559.8
,305,8816
,315,8843.75
,325,9121.25
,335,9398.75
,345,9926
,355,10203.5
