labID,"	age","	error","	depth","	cc",delta.R,delta.STD
UQ 539,4700,1230,78,1,-25.6,0
UQ 538,5510,100,113,1,-24.4,0
UQ 619,5720,635,159,1,-25.6,0
UQ 617,5030,170,188,1,-27.2,0
