Depth,Giesecke et al. 2014 (MADCAP)Calibrated radiocarbon years BP,EPDRadiocarbon years BP,FossilvaRadiocarbon years BP,Abies,Acer,Achillea,Allium,Alnus,Amaranthaceae,Apiaceae,Artemisia,Asteroideae,Betula,Brassicaceae,Buxus,Carpinus,Caryophyllaceae,Centaurea montana,Centaurea nigra,Centaurea scabiosa,Cichorioideae,Cirsium,Corylus,Cyperaceae,Dryopterisspore,Ephedra distachya,Ephedra fragilis,Fagus,Fraxinus excelsior,Fraxinus ornus,Galium,Hedera,Helianthemum,Hippophaë,Indeterminable undiff./spore,Juniperus,Olea,Ostrya,Picea,Pinus,Pistacia,Plantago lanceolata,Plantago undiff.,Poaceae,Poaceae (Cerealia-type),Poterium sanguisorba,Pteridiumspore,Quercus,Rhamnaceae,Rumex,Salix,Taxus,Thalictrum,Tilia,Ulmus,Unknown/spore,Unknown (monolete)spore,Unknown (trilete)spore,Viburnum,Vitis
425,10294/9842/9393,--/16367/--,--/10103/--,1,5,,,3,2,3,,,,,,1,,,,,,,44,,,,,10,3,4,,2,,,3,,,11,,,,1,1,17,,,,158,,,3,,,8,7,1,4,,3,1
445,10450/10031/9620,--/16808/--,--/10524/--,,3,,,1,4,3,,1,1,,,1,,,,,,,35,,,,,9,15,,1,3,,,4,,,5,,1,,,,12,,,,153,,1,8,,,8,10,1,,,,3
465,10613/10221/9838,--/17241/--,--/10718/--,,3,,,3,4,7,,2,1,,,,,,,,,,44,2,1,,,9,10,11,,2,,,8,,,5,,2,,3,,22,,,,164,,,5,,,6,23,,2,,,1
485,10779/10410/10045,--/17666/--,--/10913/--,,1,,,1,,2,3,,1,,,,,,,,,,27,3,,,,5,5,10,,3,,,4,1,,,,5,,,,18,,,1,152,,,7,,,1,21,3,,,2,
495,10869/10505/10144,--/17875/--,--/11010/--,,2,1,2,1,1,4,1,1,,,,,,,,,,,21,1,,,,2,6,9,,3,,,,,,1,,4,,,,34,,,1,163,,1,2,,1,,23,1,,,1,
530,11215/10836/10449,--/18595/--,--/11351/--,,,1,,,2,3,3,,2,,,,,,,,2,,11,,,,,7,3,5,,4,,,3,,,,,5,1,,,9,,,,169,,,1,,,,13,,2,,2,
540,11320/10930/10527,--/18798/--,--/11448/--,,,1,1,2,,6,,,4,1,,,,,1,,3,,10,,1,,1,8,2,8,,5,,,3,,,,,5,,2,,23,,,1,253,,1,5,,,6,24,2,,1,4,
560,11547/11120/10684,--/19197/--,--/11642/--,,,,,1,3,5,,,12,,,,1,,,,2,,5,6,1,,1,2,1,6,,1,1,,4,1,,,,16,,2,2,57,2,,2,287,,7,2,,,9,16,2,,,3,
580,11784/11309/10842,--/19590/--,--/12007/--,,,,,1,6,4,2,,7,,,,1,,,,1,,1,2,,,,3,1,2,1,,,,,2,,,,10,,,,39,1,,,187,,2,4,,,5,9,,,,1,
600,12021/11498/10987,--/19978/--,--/12541/--,,,,,1,1,3,18,,25,,,,3,,,,2,,,,,,,3,2,1,1,,,,1,2,,,,12,,,,98,,,,222,,12,,,,3,2,1,,1,2,
610,12171/11731/11305,--/20170/--,--/12808/--,1,,,,,,4,5,,35,,,,2,,,,,,,1,,,,1,,,2,,1,1,1,,,,,9,,,,40,,,1,190,,,1,,1,2,1,,,1,,
625,12437/12080/11702,--/20455/--,--/13209/--,,1,1,,1,10,4,33,1,58,1,,,,,1,,1,,,2,,,,3,2,,,,,,,1,,,,14,,,,64,,,,160,,1,,,1,2,4,,,1,1,
635,12704/12313/11928,--/20644/--,--/13476/--,,1,2,,3,6,1,24,1,21,,,,1,,,1,2,1,,,,,1,4,1,,,,1,,,2,,,1,16,,,,31,,,,193,,,2,,,3,5,,2,,1,
645,13005/12546/12092,--/20831/--,--/13608/--,,2,,,,,2,5,,12,,,,,,1,,1,,2,3,,,,8,9,,1,,,,2,1,,,,8,,,,26,,,,152,,2,1,,,22,8,3,1,,,
655,13315/12861/12402,--/21017/--,--/13603/--,,3,,,3,1,1,18,2,27,1,,,,,,,,,2,,,,,12,2,1,,,,,,,,,,2,,,,20,,4,,189,,,3,,3,17,3,,1,,,
665,13645/13258/12862,--/21202/--,--/13598/--,,2,1,2,,4,4,14,2,39,,,,1,,1,,1,,4,1,,,,27,17,3,,,,,,3,,1,,9,,1,,67,,,,172,,3,2,,1,27,7,1,,,2,
