Depth,Giesecke et al. 2014 (MADCAP)Calibrated radiocarbon years BP,EPDRadiocarbon years BP,FossilvaRadiocarbon years BP,Abies,Acer,Achillea,Allium,Alnus,Amaranthaceae,Apiaceae,Artemisia,Asteroideae,Betula,Brassicaceae,Buxus,Carpinus,Caryophyllaceae,Centaurea montana,Centaurea nigra,Centaurea scabiosa,Cichorioideae,Cirsium,Corylus,Cyperaceae,Dryopterisspore,Ephedra distachya,Ephedra fragilis,Fagus,Fraxinus excelsior,Fraxinus ornus,Galium,Hedera,Helianthemum,Hippophaë,Indeterminable undiff./spore,Juniperus,Olea,Ostrya,Picea,Pinus,Pistacia,Plantago lanceolata,Plantago undiff.,Poaceae,Poaceae (Cerealia-type),Poterium sanguisorba,Pteridiumspore,Quercus,Rhamnaceae,Rumex,Salix,Taxus,Thalictrum,Tilia,Ulmus,Unknown/spore,Unknown (monolete)spore,Unknown (trilete)spore,Viburnum,Vitis
1705,69507/54611/39792,--/36542/--,--/41795/--,8,3,5,,,2,4,15,1,9,3,,1,5,2,1,,2,1,,6,,,1,15,,,2,,,2,3,2,,1,7,52,,,3,162,,,,53,,1,1,,5,1,4,1,,1,,
1720,70320/55207/40174,--/36728/--,--/41986/--,5,1,3,,1,8,,23,1,20,5,,2,8,,1,,2,1,2,11,,,1,,2,,3,,2,1,,1,,,2,67,,,3,104,,,,82,,,1,,1,,9,,,,,
1740,71406/56002/40685,--/36974/--,--/42241/--,1,3,3,,1,1,7,22,1,12,1,,4,8,,1,,1,2,2,4,1,,,17,2,2,6,,,4,,6,,,,38,,2,1,141,,1,,71,,5,1,,5,,4,4,,,1,
1760,72489/56797/41193,--/37219/--,--/42495/--,,1,5,,,5,1,36,2,5,2,1,1,4,,1,,1,,1,16,,3,,6,,,1,,2,6,1,29,,,2,50,,,3,96,,,,36,,,,,,1,2,5,,1,,
1780,73573/57593/41701,--/37463/--,--/42750/--,3,,2,,,18,,29,5,3,,,,,,,,5,1,,29,,,1,1,,,,,,3,,92,,,,36,,1,,178,,,,13,,1,1,,,,,,,,2,
1800,74658/58388/42211,--/37706/--,--/43050/--,,,,,,26,4,53,,,,,,,,,,,,,21,,,1,,,,5,,1,7,,60,,,,17,,,2,92,,,,6,,4,,,1,,,1,,2,,
1820,75742/59183/42720,--/37947/--,--/43395/--,1,,1,,,23,2,53,2,1,2,,,4,,,,2,,,2,,,1,,,,3,,1,,,1,,,,5,,,1,13,,,,,,2,,,1,,,2,,4,,
1845,77098/60177/43357,--/38248/--,--/43827/--,16,,11,1,5,17,,70,2,,5,,,2,,,,4,,,10,,2,1,2,,,3,,1,1,,6,,,,12,,,2,75,,,,8,,1,,,1,,,,,2,,
1860,77912/60774/43739,--/38427/--,--/44086/--,,,6,,1,18,2,62,1,3,,,,11,,,1,4,3,,2,,,,,,,7,,4,,2,4,,,,15,,,3,142,,,,2,,3,1,,4,,1,1,,2,,
1880,78995/61569/44247,--/38666/--,--/44391/--,1,1,3,,5,7,2,34,1,1,,,1,8,,1,,1,1,,6,,1,1,1,,,4,,2,3,1,34,,,2,43,,,1,148,,,,12,,,1,,2,,1,1,,,,
1900,80080/62364/44757,--/38903/--,--/44655/--,4,,7,,7,20,1,46,,,,,,7,1,2,,3,,,7,,1,,2,,,,,,2,1,14,,1,,30,,,,153,,,,20,,2,,,1,,,2,,2,,
1920,81164/63159/45265,--/39139/--,--/44920/--,16,,3,,8,33,2,46,,2,4,1,1,5,,2,,3,1,,9,,2,1,2,1,1,10,,3,3,,6,,,,12,,,4,122,,,,15,,3,1,,,,2,3,,,,
1940,82248/63955/45774,--/39374/--,--/45184/--,7,,10,,4,36,3,61,2,2,1,,,,1,2,,1,,,5,,1,,2,1,,3,,1,,2,3,,,1,28,,,5,144,,1,,17,,2,1,,,,,3,,1,,
1960,83332/64750/46282,--/39609/--,--/45449/--,18,,15,,7,,6,47,1,3,1,,2,5,,3,,5,,,3,,1,,14,,,2,,1,2,,2,,,2,39,,1,,115,,,,36,,5,,,4,,2,,1,1,,
1980,84417/65545/46792,--/39842/--,--/45713/--,51,1,1,,1,5,2,27,2,4,,,3,8,,1,,,3,,6,,,,12,,1,2,,,,,1,,1,4,47,,,3,67,,1,,50,,1,,,,,2,,,,,
2000,85501/66340/47301,--/40074/--,--/45978/--,25,,1,,19,17,2,15,,5,2,,2,,,,,3,2,1,2,,,,18,,,2,,,1,,3,,3,,14,,,,83,,,,82,,,,,,2,3,1,,,,
2020,86585/67135/47809,--/40305/--,--/46242/--,4,,11,,1,12,6,82,,1,3,,,3,,1,,2,,,6,,,,5,,,6,,,1,,1,,1,,30,,,4,131,,,,18,,3,,,,,,,,,,
2045,87940/68130/48445,--/40593/--,--/46573/--,11,,10,,4,16,4,71,1,1,4,1,,4,,2,,2,,,2,,,1,4,,,3,,,,1,3,,,,29,,,1,89,,1,,24,,,1,,,1,1,,1,1,,
2060,88754/68726/48827,--/40765/--,--/46771/--,9,1,9,,1,17,3,68,4,1,1,,3,3,,,,3,2,,6,,,,11,1,,3,,1,1,1,2,,,1,51,,1,3,125,,,,18,,,,,1,,1,1,,1,,
2080,89838/69521/49336,--/40993/--,--/47036/--,9,,4,,8,27,4,92,,4,2,,,9,19,1,,1,,,7,,3,,6,,,6,,2,,2,27,,,1,17,,,4,105,,,,15,,1,1,,1,,1,1,,2,,
2100,90923/70316/49845,--/41221/--,--/47301/--,67,,,,2,17,,17,,2,,,,,,2,,,,,,,,,5,,,,,,2,,3,,,,14,,,1,78,,,,10,,,,,1,,2,1,,,,
2120,92007/71112/50354,--/41447/--,--/47565/--,28,1,3,,3,22,3,49,,1,1,,3,12,,,,4,1,,3,,,,7,,,,2,2,1,1,9,,,3,34,2,,2,94,,,,32,1,,1,,1,,3,,2,1,,
2140,93092/71907/50863,--/41673/--,--/47830/--,6,,5,,2,23,5,55,1,5,1,,1,,,,,1,,,5,,,,3,,,4,,,,1,2,,,,27,,,,138,,,,12,,1,1,,1,,,,,1,,
2160,94175/72702/51371,--/41897/--,--/48094/--,87,1,1,,5,3,2,17,1,6,,1,1,1,,,,,,1,1,,,1,15,,,6,,,,4,2,,1,4,48,,,,68,,,,37,,,2,,,,2,,,1,1,
2180,95261/73497/51881,--/42121/--,--/48359/--,164,,,,,2,1,4,,1,,,1,,,1,,,,,1,,,,3,,,,,,,2,,,1,1,46,,,,13,,,,11,,,,,,2,2,,,1,,
2200,96345/74293/52390,--/42344/--,--/49072/--,3,4,2,,,10,6,24,2,13,3,,10,1,,,,,,1,7,,,,20,4,2,10,,,2,3,4,,4,,45,,,1,98,,,,77,,,1,,2,,7,,,3,1,
2220,97429/75088/52898,--/42566/--,--/50233/--,7,1,,,2,12,2,14,,5,1,,,1,,,,,,,5,,,2,5,,,1,,,,,4,,,,46,,,,81,,,,43,,1,2,,2,,,2,,,,
2240,98513/75883/53406,--/42788/--,--/51395/--,4,,3,1,6,21,5,40,3,1,,,,,,1,,3,2,,5,,,3,2,,,2,,,,1,5,,,,30,,,2,144,,,,8,,3,,,2,,,1,2,1,,
2260,99598/76678/53915,--/43008/--,--/52556/--,6,,2,,,29,2,49,1,3,3,,,,,,,3,1,,3,,1,,1,,,1,,1,,2,2,,,,42,,1,3,115,,,,13,,4,1,,,,,1,1,1,,
2270,100139/77076/54168,--/43118/--,--/53137/--,23,4,2,,1,7,5,23,,13,4,,2,,1,2,,3,,,11,,,,13,3,,5,,,,2,10,,,,72,,,,131,,,,75,,5,,,3,,2,1,,,2,
2290,101224/77871/54678,--/43337/--,--/54298/--,2,,2,,1,5,7,29,1,10,,,,2,,,,1,,,5,,,2,18,1,,,,,,2,8,,1,,36,,,2,96,,,,52,1,,,,1,1,1,,3,1,,
2310,102308/78666/55186,--/43556/--,--/55459/--,2,1,2,,,15,6,54,,21,2,,,4,,3,,2,,,4,,1,,2,,,10,,2,2,1,10,,,1,23,,,,124,,,,,,4,,,1,,,,1,2,,
2330,103393/79462/55695,--/43773/--,--/56621/--,3,1,1,,3,15,6,46,,6,1,,,1,,1,,2,,,5,,,1,4,,,7,,,2,,24,,,,29,,,,132,,,,27,,3,1,,2,,,2,1,1,,
2350,104477/80257/56203,--/43990/--,--/57782/--,3,1,3,,1,9,11,50,1,3,1,,1,6,,,,3,,,3,,,,1,,,3,,,1,,11,,,,19,,,2,102,,,,11,1,1,1,,,,,1,,,,
2370,105562/81052/56713,--/44206/--,--/58944/--,7,,1,,2,17,6,56,,3,3,,,8,,,,3,,1,,,,,1,,,1,,1,4,,27,,,,12,,,,95,,,,6,1,3,,,,,,,,,,
2390,106646/81847/57221,--/44422/--,--/60105/--,4,,2,,,39,4,73,,1,1,,,16,,1,,2,1,,5,,,,3,,,8,,1,2,,31,,,,6,,2,2,136,,,1,3,,4,,,2,,1,,,1,,
2410,107730/82642/57729,--/44636/--,--/61266/--,81,,1,,44,14,2,11,,4,,1,2,5,,,,1,1,2,5,,,,43,,1,,2,,1,,4,,1,,24,1,,1,102,,,,,,,2,,1,1,11,1,,1,,
2430,108815/83438/58238,--/44850/--,--/62428/--,37,,1,,27,11,1,39,,,2,1,1,8,,1,,1,,,8,,1,1,13,,1,7,,,1,,28,,1,,22,,,3,119,,,,40,,,,,3,2,3,1,,1,1,
2450,109899/84233/58746,--/45063/--,--/63589/--,42,,5,,21,30,4,40,,2,1,,1,5,,2,,3,1,,5,,,2,12,,,4,,1,1,,13,,,,17,,,4,115,,,,52,,,,,1,,4,,,,,
2470,110984/85028/59255,--/45275/--,--/64751/--,37,1,,,39,11,2,13,,2,1,,1,1,1,,,1,1,,2,,1,,22,1,,3,,,,2,2,,3,,15,,1,,54,,,,41,,,,,,1,6,1,,,1,
2490,112067/85823/59763,--/45487/--,--/65912/--,10,2,4,,3,13,5,33,,,4,,,6,,,,,,,4,,1,2,3,,,2,,1,1,2,12,,,,38,,,2,120,,,,11,,,1,,1,,,,,1,,
2510,113152/86619/60272,--/45698/--,--/67073/--,3,,6,,4,10,3,35,,1,6,,,2,,,,,,1,5,,,,2,,,8,,,2,2,5,,,,65,,,9,157,,,,11,,,,,5,,,3,,,,
2520,113694/87016/60526,--/45803/--,--/67654/--,9,,5,,2,6,4,30,1,1,5,,1,7,,,,1,2,,2,,1,1,2,,,2,,3,3,2,,,,,53,,,1,102,,,,27,,,,,1,,,2,,1,,
2540,114778/87812/61034,--/46013/--,--/68816/--,14,,9,,6,8,1,29,,3,5,,1,3,,,,,1,1,2,,1,2,3,,,3,,1,,2,,,,,33,,,3,163,,,,14,,,1,,2,,1,,1,,,
2550,115321/88209/61289,--/46117/--,--/69396/--,19,5,4,,3,1,4,9,,35,7,2,3,1,,,1,3,,1,6,,,,25,3,,1,2,,,,1,,,1,44,,,1,103,,,,100,2,,,1,,,11,,,,,
2557,115700/88487/61467,--/46191/--,--/69803/--,7,2,3,,3,6,1,4,1,1,1,,1,3,,,,,,,3,,,1,6,,,,,,1,3,1,,,2,37,,,,29,,,,41,,,1,,1,1,1,1,,,,
