,"depthcm [cm]","thickness [cm]","age [undefined]","ageup [years]","agelo [years]","rationale [undefined]"
,10.0,,280.0,325.0,235.0,uncorrected radiocarbon date
,25.5,,335.0,380.0,290.0,uncorrected radiocarbon date
,54.5,,530.0,575.0,485.0,uncorrected radiocarbon date
,74.5,,1655.0,1705.0,1605.0,uncorrected radiocarbon date
,145.5,,3300.0,3380.0,3220.0,uncorrected radiocarbon date
,252.5,,5885.0,5965.0,5805.0,uncorrected radiocarbon date
,315.0,,7131.0,7201.0,7061.0,uncorrected radiocarbon date
,335.5,,7395.0,7470.0,7320.0,uncorrected radiocarbon date
,375.5,,8105.0,8190.0,8020.0,uncorrected radiocarbon date
,589.5,,10220.0,10350.0,10090.0,uncorrected radiocarbon date
