,"Method [undefined]","Depth (cm) [undefined]","thickness [undefined]","material dated [undefined]","agebp [undefined]","14C age (yr BP) [undefined]","error [undefined]","lab number [undefined]","deltac13 [undefined]","notes [undefined]"
,14C,10.0,1.0,Organic matter,280.0,45.0,45.0,AA21840,,
,14C,25.5,1.0,Organic matter,335.0,45.0,45.0,AA21839,,
,14C,54.5,1.0,Organic matter,530.0,45.0,45.0,AA21838,,
,14C,74.5,1.0,Organic matter,1655.0,50.0,50.0,AA21836,,
,14C,145.5,1.0,Organic matter,3300.0,80.0,80.0,AA21837,,
,14C,252.5,1.0,Organic matter,5885.0,80.0,80.0,AA21835,,
,14C,315.0,1.0,Organic matter,7131.0,70.0,70.0,AA21834,,
,14C,335.5,1.0,organic matter,7395.0,75.0,75.0,AA2138-3,,
,14C,375.5,1.0,organic matter,8105.0,85.0,85.0,AA2183-2,,
,14C,589.5,1.0,organic matter,10220.0,130.0,130.0,aa21831,,
,14C,684.5,5.0,organic matter,9535.0,80.0,80.0,aa21830,,
