Depth,CAL BP,C14 BP,Abies,Acer,Alnus,Amaranthaceae,Angiospermae undiff. (herbs),Artemisia,Asteraceae,Brassicaceae,Carpinus betulus,Caryophyllaceae,Cichorioideae,Corylus,Cyperaceae,Fabaceae,Fagus,Fraxinus,Juniperus,Ostrya,Pinus sylvestris-type,Plantago,Poaceae,Pteridiumspore,Pteridophyta undiff.spore,Quercus,Quercus coccifera,Ranunculaceae,Rosaceae,Rumex/Oxyria-type,Salix,Spermatophyta undiff. (trees),Vaccinium,Varia/spore,Vitis
0,--/-41/--,--/0/--,2,,4,4,5,3,2,2,,2,4,4,150,2,37,,11,16,246,20,218,,2,31,22,7,11,16,7,5,5,5,2
10,--/78/--,--/104/--,5,,3,5,3,4,6,1,1,4,4,3,223,2,41,5,8,17,198,41,287,4,3,59,30,5,10,16,7,3,4,4,1
20,--/197/--,--/208/--,2,,2,7,27,21,13,1,5,15,9,5,243,9,37,7,7,38,144,96,267,3,,110,49,5,6,10,13,1,3,2,1
30,--/315/--,--/312/--,2,2,2,14,43,27,83,,6,62,39,2,680,19,45,2,10,45,126,360,143,2,4,108,39,6,17,21,15,8,4,6,2
40,--/434/--,--/416/--,2,,2,,,1,2,,,2,3,2,38,,7,,,12,272,5,102,1,,46,1,,3,,1,,,1,1
50,--/553/--,--/520/--,5,1,5,6,7,4,12,,5,7,9,3,229,3,38,,,24,143,10,293,4,,121,10,19,8,6,6,1,1,1,1
60,--/741/--,--/719/--,62,,1,5,7,3,1,3,1,3,2,3,103,1,38,,,13,143,1,19,3,3,58,1,,,3,3,1,,2,
70,--/929/--,--/917/--,103,,3,,3,6,,,2,2,,4,29,4,14,,,7,161,1,35,,5,40,3,3,6,1,1,1,,3,
80,--/1118/--,--/1116/--,82,,3,,1,1,,,1,1,1,1,28,1,13,,1,7,207,,77,1,3,37,,,,2,1,,,1,
90,--/1306/--,--/1314/--,36,,12,1,10,4,12,,4,3,1,6,320,3,71,,8,20,131,10,336,2,16,88,3,13,3,3,2,1,2,3,1
100,--/1494/--,--/1513/--,26,,6,1,3,3,4,2,,,3,3,68,3,51,,14,11,198,2,162,1,5,54,,2,1,2,,,1,1,3
110,--/1682/--,--/1712/--,80,,1,2,3,2,1,2,,5,,32,55,,25,,4,1,160,1,38,,100,51,1,6,1,2,1,11,1,2,2
120,--/1918/--,--/1910/--,61,,3,,13,3,1,5,,1,1,82,90,2,18,,8,8,145,4,31,1,286,55,1,3,2,11,8,39,1,4,1
130,--/2059/--,--/2109/--,98,,4,,14,4,3,3,3,2,4,112,38,2,4,,,5,124,2,14,,467,70,,6,1,4,7,52,1,4,
140,--/2247/--,--/2308/--,59,,4,2,14,1,11,1,1,4,6,139,43,4,6,,8,10,151,5,14,,554,84,1,6,2,1,6,33,,2,1
150,--/2436/--,--/2506/--,87,1,3,4,12,6,10,1,,7,10,103,68,3,16,6,5,11,127,1,21,,356,64,,1,3,3,10,35,,4,
