Depth,Cal yrs BP,Spike concentration,Alchornea,Alnus,Amaranthaceae,Anthoceros spore,Apiaceae,Apiosordaria spore,Artemisia,Asteroideae,Betula,Blepharisma palynomorph,Boraginaceae,Botryococcus spore,Brassicaceae,Calligonum,Caryophyllaceae,Cedrus,Ceratophyllum,Cichorioideae,Coelastrum filament/cell,Combretaceae,Corylus,Cyperaceae,Ephedra fragilis,Erica,Fabaceae,Gloeotrichia palynomorph,Glomus spore,Indeterminable spore,Indeterminable spore,Indeterminable spore,Indeterminable spore,Lamiaceae (tricolpate),Matthiola-type,Mitracarpus,Monactinus simplex filament/cell,Monoletes (psilate) spore,Mougeotia spore,Myriophyllum verticillatum,Nyctaginaceae,Persicaria maculosa,Picea,Pinaceae,Pinus,Plantago,Plantago major,Poaceae,Poaceae (Cerealia-type),Podocarpus,Pseudopediastrum boryanum filament/cell,Pseudoschizaea cyst,Pteris spore,Quercus,Quercus ilex-type,Ranunculaceae,Riccia spore,Rubiaceae,Rumex,Scenedesmus ecornis filament/cell,Sordaria spore,Sphagnum spore,Tamarix,Taxus,Tetraploa spore,Tetraedron palynomorph,Thalictrum,Transeauina filament/cell,Triletes (psilate) spore,Turbellaria oocyte,Typha latifolia-type,Typha/Sparganium,Unknown (type 119,Urticaceae/Moraceae,Zygophyllum
1101,5336.7,3544,,,109,,2,,1,17,1,,,627,20,,1,,,5,43,,,74,,,,29,,3,21,5,42,,1,,1312,1,,3,,,,,3,8,1,69,,1,5,1,,,1,1,1,,10,,,,2,,1,331,2,,1,4,1,3,,,
1459,6706.7,2113,,1,28,3,1,,3,6,1,,,1202,2,,2,,,2,729,,6,108,4,,,,,5,3,1,84,1,,,2004,22,,2,1,,,1,2,14,,110,2,2,146,2,5,1,2,2,4,1,2,,,,,,,,1,,29,,,5,1,,
1540,7066.7,5759,,,61,2,,,6,7,,,,1726,2,,,,,3,5083,,3,115,,,,1,1,2,8,5,64,,,,3286,11,,1,,,,,3,10,,83,7,1,213,1,1,3,,4,4,,1,1,,1,,,,4,1,1,9,1,,2,,,
1631,7471.1,17552,,,90,2,3,,3,18,,2,,181,9,1,1,,1,3,132,,,121,,,,4,,,65,2,40,,,,294,3,,1,,,,,1,5,,38,1,1,28,,,2,1,,,1,1,,,,,,2,57,1,,,,,4,1,,
1805,8536.3,11646,2,1,89,,5,,8,9,,,,1177,7,,,,2,2,1121,2,2,93,,,1,6,,2,18,4,50,1,,,2653,13,1,1,,1,1,,1,11,,92,3,2,149,,,3,1,,4,,7,,1,,,1,,75,1,,,2,,1,1,,1
1901,9114.5,16654,,,143,1,,1,3,8,,,1,661,10,,,,,1,413,,,59,2,,,2,,,36,3,16,,,,3779,,,9,,,,,,16,,57,,,62,,,1,,,,,7,,,,,,,640,,,,2,,1,3,,
2015,9828.6,9904,,,119,,1,,1,2,1,,1,623,9,,,1,1,6,12,,1,47,1,1,,11,,,14,5,27,,,1,1173,2,,6,,,,,,15,,76,3,2,5,1,,4,,,2,,6,1,1,,,,,20,,,,1,,,,1,1
