Depth,Calendar years BP,Giesecke et al. 2014 (MADCAP) Calendar years BP,Abies,Alisma,Alnus,Amaranthaceae,Anagallis,Anisosciadium-type,Anthriscus-type,Anthyllis-type,Antirrhinum/Linaria,Apiaceae,Apium-type,Artemisia herba-alba-type,Artemisia vulgaris-type,Asperula-type,Asteroideae,Atriplex-type,Betula,Botrychium spore,Brassica-type,Bunium-type,Bupleurum-type,Butomus,Campanula-type,Capsella-type,Carthamus,Caryophyllaceae,Castanea,Cedrus,Celtis,Centaurea cyanus-type,Centaurea scabiosa-type,Centaurea solstitialis-type,Cheilanthes spore,Chelidonium,Chrysosplenium,Cichorioideae,Cirsium/Gundelia,Cistus,Cladium mariscus,Clematis-type,Convolvulus,Cornulaca,Coronilla,Corylus,Cotinus coggygria,Cynoglossum-type,Cyperaceae,Datisca,Delphinium-type,Descurainia,Dryopteris-type spore,Echium-type,Elaeagnus,Ephedra distachya-type,Ephedra fragilis-type,Equisetum spore,Ericaceae,Eryngium-type,Euphorbia,Fabaceae,Fagopyrum,Fagus,Ferula-type,Filago-type,Filipendula,Fraxinus ornus,Galeopsis,Galium-type,Gentianaceae,Glaucium,Hedysarum/Ebenus,Helianthemum,Hippophaë,Hippuris,Humulus/Cannabis,Hypericum coris-type,Hypericum hirtellum var. assyriacum-type,Hypericum perforatum-type,Jasione-type,Juglans,Juncus/Luzula,Juniperus,Knautia,Laurus,Lemna,Lepidium,Ligustrum,Liquidambar,Lomelosia rotata-type,Lythrum,Malva,Matricaria-type,Matthiola,Mercurialis annua,Mercurialis perennis,Myriophyllum spicatum/M. verticillatum,Myrtus,Noaea-type,Nymphaea,Olea,Ononis-type,Onopordum-type,Ostrya/Carpinus orientalis,Paliurus,Papaver,Pedicularis,Persicaria maculosa-type,Phillyrea,Pimpinella-type,Pinus,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago maritima-type,Plantago media-type,Plantago ovata-type,Platanus,Poaceae,Poaceae (Cerealia-type),Polygonum aviculare-type,Populus,Potamogeton,Prunus-type,Pseudopediastrum boryanum colony,Pteridium spore,Punica,Quercus cerris-type,Quercus coccifera-type,Ranunculaceae,Ranunculus arvensis-type,Ranunculus asiaticus-type,Ranunculus peltatus-type,Ranunculus repens-type,Ranunculus sceleratus-type,Ranunculus sect. Batrachium-type,Rhynchospora-type,Rumex acetosa-type,Salix,Sambucus nigra-type,Samolus,Sanguisorba-type,Satureja/Ziziphora,Scandix,Scilla-type,Scorzonera-type,Scrophularia/Verbascum,Scrophulariaceae,Secale,Senecio-type,Silene-type,Solanum dulcamara,Sparganium-type,Stachys-type,Teucrium,Thalictrum,Theligonum,Thymus/Mentha,Tilia,Tofieldia,Trifolium-type,Turgenia-type,Typha latifolia,Ulmus,Umbilicus-type,Unknown spore,Unknown (trilete) spore,Urtica dioica-type,Urtica pilulifera-type,Utricularia,Valerianella,Verbascum,Verbena,Veronica,Vicia-type,Vitex,Vitis,Xanthium,Zygophyllum
30,--/1152/--,1388/1235/1084,,1,,24,,,3,1,,3,1,35,1,,,,,,13,6,,,,,,4,3,,,,,3,,,,2,1,,32,,,,4,,1,,416,,1,1,1,,,,,1,,1,,1,,,,,,8,,3,,,,,,,5,,,,,3,,35,,,3,3,,,,1,,3,1,,,,,2,1,47,3,,,,,,,12,1,95,5,,4,,,1,5,135,7,2,,4,,,2,1,32,19,,,,,,2,,,,,,2,2,,1,,,,,,,,,12,,,,,1,,,,,2,1,,2,,,,,,,,,4,,1,,
40,--/1535/--,1852/1661/1474,,,,19,,1,,,1,1,,14,4,,,1,,,11,2,1,,,,,,1,1,,,,4,,,,3,1,,6,,,,,,,,283,1,,,5,,,,,,1,1,,,,1,,,,,,4,,,,,,,2,,,,,3,,23,,,,6,,,,5,,4,,,1,,,3,2,23,,,2,,,,,6,,84,,,4,,,,1,91,4,1,,,,,,,29,25,,,,,,2,,,,,,,1,1,,,,,,,1,1,,11,,,,,,,,,,3,,,1,,,,,,,,,,,,,1
50,--/1919/--,2321/2086/1859,,,,18,,,2,,,,,20,3,,,1,,,12,1,,,,,,1,1,3,,2,,4,1,,,2,,,5,,,,,1,,,264,,,,2617,,,,,,,1,,1,,,,,1,1,,6,,1,,,,,2,,,,,1,1,19,,,,2,,,,2,,4,,,,,,,1,17,,,1,,,,,,,93,3,,1,1,,,3,197,4,,2,,,,1,,35,24,,,,,,1,,,,2,,,1,,,,,,,,,,,35,,,,,,1,,,,4,,,4,,,,,,,,,1,,,,
60,--/2303/--,2791/2512/2242,,,1,17,2,,9,1,,2,,31,,,,,,,10,9,3,,,,,2,1,4,,1,,12,,,1,5,,,1,,,,,,,,598,,2,,2620,,1,,,1,,,2,1,,1,,,2,,,9,,,,,,,,,,,,3,15,27,,,,,,,,3,,6,,,,,,,10,43,1,,1,,,1,,6,,92,10,2,1,,,1,3,353,2,1,,1,1,,1,3,41,21,,,,,,,,,2,3,,,3,,,,,1,2,,3,,,14,1,,1,,2,,,,2,2,,,14,,,1,1,,,,,5,,,,
70,--/2687/--,3263/2938/2625,,,,17,,1,1,,,,,38,3,,,,,,5,,,,,,,2,2,1,,1,,2,,,,1,2,,,,,,,1,1,,91,,,,4,,1,,,6,1,,,,,,,1,,,,3,1,,,,,,3,,,,,2,,21,,,,2,,,,,,2,,1,,94,,,,19,,1,2,,,,,1,,90,1,1,2,1,1,,2,191,4,1,,64,,4,,,14,7,,1,,,,,,,2,1,,,,,,,,1,,,,,1,11,,,1,,1,,,2,,11,,,3,,,1,1,,,,,,,1,1,
80,--/3071/--,3736/3363/3008,,,1,9,,,,,,,1,19,3,,,,,,,3,,,,1,,,,6,1,1,,8,,,,,1,,,,,1,,,,,496,,,,2,,,,,15,,1,,1,,,,,1,2,1,3,,,,,1,,,,1,,,1,,42,,,,1,,,,,,4,,,,,,1,,10,1,,1,1,,,,,,133,5,,5,,,,2,851,33,1,,,,5,1,,64,34,,,,,1,6,1,,5,1,,,1,,,,,,,,,,,829,,,,,2,,1,4,,3,,,,,1,,3,1,,,,1,,,,
90,--/3455/--,4209/3789/3390,,,,14,,,,,1,,,12,2,,,,,,1,1,1,,,,,1,,3,,1,,3,,,,1,,1,,,,,,,,,382,,,,,,,,,6,,,,,,,,,,1,,3,,,,,,,3,,,,,,,9,,,3,,,,,,,1,,1,,,,,,6,1,,,1,,,,,,85,4,,1,1,,,1,663,22,1,,,,9,1,,28,10,,,,,,,,,,,,,,,1,,,1,,1,,,,10,,,,,,,,1,,,,,1,,,,1,,,,,,,1,,
100,--/4260/--,5086/4700/4325,,,,4,,,,,,,1,9,,,,,,,,1,,1,,,,,1,4,,,,1,,,,,,,,1,,,,,,,70,,,,3,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,3,,8,,,,,1,1,,,,1,,,,,,,4,,,,,,,,,,,348,1,,1,,,,1,67,4,,,,,26,1,,28,11,,,,,,1,,,1,1,,,,,,,,,,,,,,25,,,1,,,,,,,1,,,,,,,,,,,1,,,,,
110,--/5487/--,6402/6097/5772,1,,1,12,,,1,,,,,8,3,1,,,1,,3,7,1,,,2,,2,,4,,,,3,,1,,5,,,,,,,,,,1,82,,,,3,2,,,,,,,,,,,,,,1,,5,1,,1,,,,4,,,,,,1,44,,,,,,,,2,,5,,,,,,1,7,4,1,,,,1,,,4,,355,4,,4,1,2,,3,106,4,,,2,,5,,,25,25,,,,,,,,,,1,,,,,,,,,,1,1,,,39,,,,,4,,,,,2,,1,2,,,1,,,,,,,1,,,
120,--/6714/--,7836/7494/7180,2,,,5,,,,,,,,9,1,,,,,,,2,,,,1,,1,1,7,,,,1,,,,1,,,,,,,,,,,65,,,,1,,,,,,,,,,,,,,,2,,,,,,1,,,2,1,,,,,,12,,,,,,,,,1,2,,,,,1,,4,,1,,,,,,,,,200,,,5,,,,,78,1,,,2,,24,,,14,13,,,,,,2,,2,,1,,,,,,,,,,,,,,27,,,,,1,,,,,1,,,1,,,,,,,,,,,,,
