Depth,Sample age (cal BP),Sample age (C14 BP),Abies,Acer,Alisma,Alnus,Amaranthaceae,Apiaceae,Arbutus,Armeria,Artemisia,Asphodelus,Asteroideae,Betula,Borago,Brassicaceae,Buxus,Calystegia,Campanulaceae,Cannabaceae,Carpinus,Caryophyllaceae,Castanea,Centaurea,Cichorioideae,Cistaceae,Cistus,Coriaria,Corylus,Cyperaceae,Cyperus,Echium,Ephedra distachya-type,Ephedra fragilis-type,Erica,Euphorbia,Fabaceae,Fagus,Fraxinus,Galium-type,Iridaceae,Lamiaceae,Lemna-type,Limonium,Malvaceae,Mercurialis,Myriophyllum,Myrtaceae,Olea,Pedicularis,Pinus,Pistacia,Plantago,Poaceae,Poaceae (Cerealia-type),Populus,Potamogeton,Prunus,Quercus (deciduous),Quercus (evergreen),Ranunculaceae,Rhamnus,Rosaceae,Rubiaceae,Rumex,Ruppia,Salix,Scabiosa,Scrophulariaceae,Secale,Sedum,Solanaceae,Sparganium-type,Tamarix,Thymelaea,Tilia,Trapa,Typha latifolia-type,Ulmus,Urticaceae,Vitis,cf. Juniperus
0,--/0/--,--/0/--,,,,2,22,2,,,6,,4,2,,,,,,,,,,,6,1,,,,4,,,,1,5,,,,,,,,,,,,,,84,,53,5,3,26,,,,,2,22,,,,,,4,,,,,,,,,,,,,,,,2
10,--/125/--,--/246.875/--,,,,1,24,4,,,8,,8,1,,,,,,,,,,,13,1,,,1,10,,,,11,18,,,,,,,,,,,,,,82,,41,15,2,13,,,,,2,52,,,,,,,,,,,,,1,,,,,,,,1,1
20,--/250/--,--/493.75/--,,,,,39,4,,,5,,5,,,,,,,,,,,,17,,,,,11,,,,9,9,,,,,,,2,,,,,,,68,,48,3,3,32,2,,,,1,31,,,,,,,,,,,,,3,,,,,,,,,5
30,--/374/--,--/740.625/--,,,,1,17,1,,,4,,4,1,,,,,,,,,,,8,,,,1,11,,,,4,6,,,,,,,,,,,,,,35,,35,,1,12,,,,,2,22,,,,,,,,,,,,,,,,,,,,,,2
40,--/496/--,--/811.6/--,,,,2,48,2,,,6,,7,,,,,,,,,,,,8,1,,,,11,,,,12,11,,,,,,,1,,,,,,,75,,51,3,8,42,,,,,,58,,,,,,1,,,,,,,2,,,,,,,,,10
50,--/618/--,--/838.6/--,,,,2,32,4,,1,10,,8,3,,,,,,,,,,,16,,,,,9,,,,12,9,,,,,,,1,,,,,,,44,,30,5,14,49,,,,,7,60,,,,,,,,,,,,,2,,,,,,,,2,11
60,--/739/--,--/865.6/--,,,,5,30,11,,,9,,11,1,,,,,,,,,,,32,2,,,1,7,,,,9,12,,,,,,,3,,,,,,1,107,,16,4,14,55,,,,,3,57,,,,,,13,,,,,,,4,,,,,,,,,14
70,--/860/--,--/892.6/--,,,,2,27,7,,,16,,8,,,,,,,,,1,,,21,4,,,1,12,,,,13,13,,,,,,,,,,,,,,98,,23,5,11,39,2,,,,,83,,,,,,,,,,,,,1,,,,,,,,1,11
80,--/979/--,--/919.6/--,,,,,50,4,,,10,,10,2,,,2,,,,,1,,1,50,2,,,,19,,,,7,24,,,,,,,,,,,,,,22,,8,10,4,72,,,5,,2,21,,,,,,4,,,,,,,2,3,,,,,,,,11
90,--/1098/--,--/946.6/--,,,,,60,4,,,4,,23,1,,,,,,,,,,2,99,1,,,1,15,,,,3,36,,,,,,,,,,,,,,8,,11,4,3,70,,,,,,18,,,,,,2,,,,,,,,4,,,,,,,,2
