Sample name,Alnus sp.,Casuarina sp.,Fenestrees,Moltkia ciliata,Fagonia sp.,Artemisia sp.,Polycarpaea sp.,Umbelliferae Indeterminees,Balanites aegyptiaca,Cordia sinensis,Commiphora africana,Boscia senegalensis,Cadaba glandulosa,Capparis sp.,Capparis decidua,Maerua crassifolia,Trianthema pentandra,Tapinanthus sp.,Acacia seyal,Acacia vulgares,Hyphaene thebaica,Salvadora persica,Grewia villosa,Blepharis sp.,Justicia insularis,Monechma ciliatum,Peristrophe bicalycina,Amaranthaceae Indeterminees,Alternanthera sp.,Celosia argentea,Celosia trigyna,Cleome sp.,Cleome monophylla,Gynandropsis gynandra,Commelina sp.,Echinulees,Cruciferae Indeterminees,Cucurbitaceae Indeterminees,Euphorbia sp.,Phyllanthus sp.,Phyllanthus maderaspatensi,Indigofera sp.,Borreria radiata,Mitracarpus scaber,Oldenlandia sp.,Corchorus fascicularis,Tribulus sp.,Piliostigma reticulatus,Capparis fascicularis,Crateva adansonii,Diospyros mespiliformis,Phyllanthus reticulatus,Securinega virosa,Acacia albida,Ficus sp.,Ziziphus sp.,Grewia sp.,Cassia sp.,Cassia absus,Cassia tora,Ambrosia maritima,Cissampelos mucronata,Lannea sp.,Sclerocarya birrea,Kigelia africana,Daniellia oliveri,Isoberlinia doka,Combretaceae Indeterminees,Acacia sieberiana,Albizia sp.,Crossopteryx febrifuga,Mitragyna inermis,Salix sp.,Celtis integrifolia,Acalypha ciliata,Stereospermum kunthianum,Combretum paniculatum,Melia sp.,Prosopis africana,Syzygium guineense,Sterculia setigera,Peucedanum zenkeri,Uapaca sp.,Elaeis guineensis,Adina sp.,Podocarpus sp.,Eriocaulaceae Indeterminees,Mimosa pigra,Aeschynomene elaphroxylon,Gomphrena celosioiddes,Polycarpon prostratum,Commelinaceae Indeterminees,Ipomoea sp.,Cyperaceae Indeterminees,Chlorophytum sp.,Liliaceae Indeterminees,Nesaeaerecta,Nymphaea sp.,Aeschynomene crassicaulis,Aeschynomene pfundii,Sesbania pachycarpa,Typha sp.,Cissus ibuensis,Spores triletes,Spores monoletes,Gramineae,Cereales,Indetermines,Abimes
A,0,0,0,0,0,44,2,0,2,1,1,0,14,91,0,13,17,1,8,6,0,23,2,0,1,0,0,22,2,2,9,0,1,0,0,2,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,6,4,0,0,6,0,0,1,0,0,0,0,3,0,0,0,10,0,0,0,0,0,6,0,0,7,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,52,0,0,0,1,0,0,0,1,0,2,0,658,8,22,58
B,0,0,0,0,5,29,0,0,0,0,0,0,0,67,0,67,5,0,81,14,0,0,0,0,0,10,0,152,0,0,586,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,5,0,0,14,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,5,0,1819,48,43,767
C,0,0,0,0,0,0,0,0,0,0,0,0,38,113,0,0,8,0,136,0,4,0,0,0,0,0,0,30,0,0,185,0,0,0,0,15,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,8,19,61,0,0,185,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,64,0,4,0,703,0,0,246
D,0,0,10,0,0,0,0,0,0,0,0,229,0,577,0,0,10,0,0,10,50,0,0,0,0,0,0,119,0,0,249,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,10,10,2873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,209,298,0,0,0,0,249,0,0,0,0,30,0,0,0,0,0,20,0,0,0,0,0,0,0,0,656,0,0,0,0,0,0,0,2605,0,20,50,1372,0,30,1362
E,1,0,1,1,0,0,1,0,115,1,0,0,0,36,0,37,2,0,0,1,6,0,0,0,0,0,0,6,1,0,29,34,0,237,0,3,1,0,0,0,0,0,0,0,0,0,0,1,453,64,0,0,0,0,0,1,0,0,0,0,0,0,10,0,1,0,1,13,15,0,0,0,0,1,0,0,0,1,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,47,3,0,0,0,0,0,0,109,0,0,1,214,1,11,68
F,0,0,0,0,0,0,0,0,584,0,0,0,0,261,0,0,0,10,0,0,146,0,0,0,0,0,0,292,10,0,344,0,0,125,0,63,0,0,0,0,0,0,10,0,0,0,0,0,563,0,83,0,42,10,0,0,31,0,0,0,0,31,31,0,0,0,0,751,52,0,0,0,0,219,0,0,0,83,323,21,0,0,0,10,0,0,0,21,0,0,0,0,0,969,0,10,0,0,0,0,0,469,0,42,0,4388,10,104,678
G,0,0,0,0,0,0,0,12,122,0,0,0,0,0,0,37,0,0,0,0,49,0,0,0,0,12,0,208,0,0,0,134,0,49,0,122,12,0,49,0,0,0,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,183,73,0,12,0,0,110,0,0,0,98,24,12,0,0,0,0,61,0,0,134,0,0,0,0,12,2053,0,0,0,0,0,0,0,110,0,24,0,7258,12,49,1173
H,0,0,0,0,0,0,0,3,22,0,0,0,0,9,0,132,6,19,0,13,0,0,0,0,0,0,0,22,3,0,0,25,0,0,0,19,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,138,0,9,3,0,0,0,0,19,9,3,0,0,0,0,186,9,0,0,28,0,50,0,0,0,0,0,0,0,0,0,0,0,3,0,75,0,0,0,0,0,708,9,13,0,0,0,0,0,19,0,12,3,1500,0,0,72
I,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,25,6,0,0,3,0,0,0,0,0,0,0,39,0,0,8,6,0,312,0,8,0,0,0,0,3,0,6,0,0,0,6,0,0,0,0,0,25,0,0,8,6,0,0,0,149,6,3,0,0,0,0,298,19,6,0,55,0,3,33,0,0,11,3,0,0,0,3,0,0,0,0,22,0,0,0,0,0,5030,0,3,0,0,6,0,0,0,0,6,0,3711,0,3,74
J,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,8,3,1,0,0,1,0,0,0,0,0,0,54,0,0,12,3,0,15,0,0,1,0,2,0,0,5,6,0,0,0,1,0,0,0,0,0,6,0,0,25,0,4,0,0,3,0,2,0,0,0,0,209,8,0,0,21,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,283,0,1,0,0,0,15,0,0,0,0,0,5271,0,2,31
