Sample name,Acacia albida,Acacia sp.,Balanites aegyptica,Cocculus pendulus,Commiphora africana,Hyphaene theba?ca,Maerua,Phoenix dactylifera,Waltheria,Boerhavia,Chrozophora brocchiana,Cleome,Kohautia,Lotus,Pentodon pentandrus,Polycarpaea,Tribulus terrestris,Boscia,Cadaba,Cassia,Celtis integrifolia,Combretaceae,Crossopteryx,Croton/Jatropha,Daniellia,Dichrostachys,Diospyros,Fagara type,Lannea,Mitragyna inermis,Parinari,Parkia,Piliostigma,Securinega,Tamarindus,Tapinanthus,Ziziphus mauritiana,Cissampelos,Corchorus,Jacquemontia type,Justicia,Mitracarpus scaber,Sesbania,Divers ornamental,Bauhinia,Caesalpinia pulcherrina,Casuarina,Ceiba pentandra,Crudia type,Cucurbitaceae,Delonix regia,Dodonaea,Eucalyptus,Eugenia,Khaya senegalensis,Leucaena type,Mangifera,Melia azedarach,Myrtaceae,Prosopis,Psidium guajava,Acalypha,Aizoaceae,Anacardiaceae,Capparidaceae,Cordia,Ficus,Labiae,Oleaceae,Phyllantus,Pinus,Ricinus,Sapotaceae,Acanthaceae,Alternanthera,Blepharis,Borreria,Commelina,Compositae tubuliflores,Compositae liguliflores,Cruciferae,Diodia,Euphorbia,Hypoestes,Indigofera,Malvaceae,Papilionaceae,Paronyschia,Pedaliaceae,Peripores,Tephrosia,Umbelliferae,Vigna,Gramineae,Cyperaceae,Abies,Artemisia,Balanites orbicularis,Commicarpus,Ephedra,Plantago,Rumex,Salvadora persica,Alchornea,Elaeis guineensis,Symphonia globulifera,Uapaca,Aeschynomene,Bryophytes,Chlorophyton type,Heliotropium,Hygrophyla,Mimosa pigra,Nymphaea,Polygonum,Portulaca,Pteridophytes,Typha,Utricularia,Varies-indetermines,Indeterminables,Gramineae >50m,Gramineae indeterminees,Gramineae longues,Gramineae rondes
NCC11285,0,0,0,1,0,43,0,0,0,0,0,1,0,0,0,5,0,0,1,7,1,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,27,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,2,0,0,0,4,0,1,0,3,0,1,4,0,43,0,0,0,512,126,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,11,41,361,35,28
NCC31285,0,3,3,0,0,48,1,0,0,1,0,0,0,1,0,1,1,0,1,6,1,35,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,1,0,0,0,21,0,0,0,0,13,0,0,2,0,0,0,6,0,0,2,0,2,2,0,0,0,0,0,1,1,0,1,27,0,2,1,0,0,2,2,0,42,0,1,0,518,116,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,5,13,17,413,21,20
NCC10186,0,0,1,0,0,42,4,0,0,0,0,0,0,0,0,2,0,0,0,8,0,34,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,14,3,0,0,0,0,1,1,0,0,0,26,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,6,0,2,0,0,0,1,2,0,27,0,0,0,521,33,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,16,9,428,21,15
NCC30186,0,0,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,11,0,0,0,0,1,0,1,0,0,5,25,0,0,0,0,10,0,0,1,0,0,3,1,0,0,0,0,1,1,2,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,2,0,25,0,0,0,357,31,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,8,8,6,295,8,15
NCC10286,0,4,1,0,1,15,2,0,0,0,1,0,0,0,0,2,0,0,0,16,0,56,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,6,34,2,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,5,0,0,0,2,0,1,0,0,14,0,0,0,358,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,4,8,5,289,8,23
NCC30286,0,3,2,0,0,77,6,1,0,2,0,0,0,0,0,2,0,0,2,30,1,74,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,11,1,0,0,0,0,2,0,0,1,2,94,2,0,0,13,3,0,0,0,0,2,0,0,1,0,1,0,3,5,0,0,0,0,0,1,0,1,0,3,0,1,0,1,0,4,0,0,14,0,0,0,479,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,13,0,4,10,13,403,7,13
NCC10386,0,3,3,0,0,60,15,3,1,0,0,13,0,0,0,3,1,0,2,35,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1,0,0,1,0,0,3,0,0,2,400,0,1,0,3,37,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1,1,0,3,0,5,0,3,0,0,0,0,1,0,23,0,0,1,590,28,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,5,15,27,488,8,13
NCC30386,0,4,103,0,0,108,3,0,0,0,0,0,0,0,0,1,0,0,0,34,1,28,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,24,1,0,0,0,0,0,1,0,0,1,308,9,1,0,2,149,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0,373,8,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,10,5,321,5,8
NCC10486,0,1,36,0,0,364,1,1,0,2,0,1,0,0,0,2,1,0,0,9,0,48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,60,2,0,0,0,522,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,9,0,0,0,205,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,8,0,175,6,5
NCC30486,0,0,23,0,0,347,3,1,0,0,0,3,1,0,0,2,1,0,0,42,12,128,2,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,22,0,0,0,2,24,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,20,0,0,0,344,33,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,7,0,12,14,6,300,0,6
NCC10586,0,6,34,0,1,168,1,0,0,0,0,3,0,0,0,0,1,0,0,36,9,167,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,3,0,0,0,29,3,1,0,0,31,0,0,68,0,0,2,0,0,0,0,1,4,0,0,0,0,0,3,1,1,0,2,1,1,0,0,0,1,0,0,14,0,0,0,0,15,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,1,0,0,0,1,5,0,18,770,9,22
NCC30586,0,3,16,0,0,223,1,0,0,0,0,2,0,0,0,1,3,0,0,30,2,85,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,17,1,0,0,1,19,0,0,39,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,12,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,13,729,0,6
NCC10686,0,1,6,0,0,37,1,0,0,0,0,0,0,0,0,1,0,0,0,15,2,434,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,6,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,569,10,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0,0,0,0,1,0,2,10,4,503,5,6
