Depth,Calendar years BP,Eucalyptus spikecounted,Eucalyptus tabletsconcentration,Sample quantityvolume,Eucalyptus tabletsquantity added,Abies,Acer,Allium-type,Alnus,Amaranthaceae,Angiospermae undiff. (herbs),Anthemis-type,Apiaceae,Artemisia,Asphodelaceae,Betula,Brassicaceae,Buxus,Carpinus betulus,Caryophyllaceae,Centaurea cf. C. cyanus-type,Centaurea solstitialis-type,Centaurium-type,Chrysosplenium-type,Cichorioideae,Cirsium,Corylus,Cupressaceae-type,Cyperaceae,Digitalis-type,Ephedra distachya,Ephedra fragilis-type,Equisetumspore,Ericaceae,Fagus,Filipendula,Fraxinus excelsior-type,Galium-type,Hedera,Helianthemum,Hippophaë,Ilex,Indeterminable/spore,Juglans,Larix,Mentha-type,Myriophyllum cf. M. spicatum,Olea,Ostrya,Pedicularis-type,Picea,Pinus,Pistacia,Plantago,Poaceae,Polypodiophyta (monolete)spore,Polypodiophyta (trilete) undiff.spore,Potamogeton,Poterium sanguisorba subsp. sanguisorba,Prunus spinosa,Pteridiumspore,Quercus (deciduous),Ranunculus,Rosaceae undiff.,Rumex,Sambucus,Saxifragaceae undiff.,Scilla-type,Scrophulariaceae,Scutellaria-type,Solidago-type,Spermatophyta undiff. (trees/shrubs),Tamarix,Thalictrum,Tilia,Typha angustifolia,Typha latifolia,Ulmaceae,Urtica-type,Veronica-type,Vicia-type,Viscum,Vitis
47,--/78740.5/--,460,30600,0.5,1,15,2,,49,8,1,3,2,5,,2,1,,7,3,,,,,1,,,1,2,,,1,,,40,,2,,,1,,,3,,,,,,1,,,25,,,78,,1,,,,,85,,,,,,,,,,,,,1,,,13,,,,,
62.625,--/78818.6/--,1040,42500,0.5,1,2,,,7,6,,6,1,19,,,1,,2,3,,,,,,,,,1,,1,,,,5,,,9,,,,,3,,,,,,1,,,9,,3,121,1,,1,,,,10,,,,,,,,,,,,1,,,,2,2,,,,
62.9,--/78820/--,671,42500,0.8,1,6,1,,37,13,1,4,3,46,,1,5,1,6,4,,,,,2,1,3,,,,,,,1,30,2,1,7,,1,,,13,,,,,,,1,2,17,,3,243,,,,,,,46,3,1,,1,,,,,2,1,,1,,,,4,,,,,
63.2,--/78821.5/--,675,42500,0.8,1,45,6,,56,31,,8,2,40,1,4,6,1,10,1,,,,2,2,1,,2,2,,,2,,,26,,,7,4,1,,1,26,,,,,1,4,,,41,,2,244,,,1,,,1,86,1,1,,2,,,,,4,1,,4,2,,,15,1,,,,
63.675,--/78823.9/--,840,42500,1.1,1,33,9,,72,32,,6,3,16,,4,6,,9,,,3,,2,10,,1,,,,,,2,,36,1,,3,2,1,,1,31,,,1,1,1,6,,,37,1,4,104,1,,,,,,136,3,,2,1,,,,1,,,,2,1,,,5,1,1,,,
64.1,--/78826/--,671,42500,0.8,1,3,2,,5,12,,11,4,42,,3,10,,1,8,,1,,,1,1,4,,,,1,1,,,9,,2,13,,1,,,12,,1,,,1,4,,,26,,6,198,,,1,,1,,20,2,,,,,,,,9,,,1,1,,,2,1,,,,
64.3,--/78827/--,661,42500,0.6,1,4,1,,,7,,1,1,9,,1,1,1,1,10,,,1,,1,,2,,2,,,1,,,4,,,8,,,,,11,,,,,1,1,,,6,,1,96,,,,,,,3,,,,,1,,1,,2,,1,1,,,,1,1,,,,
64.55,--/78828.3/--,782,42500,1.2,1,6,,,6,12,2,15,,45,,,3,,3,5,1,1,1,2,3,4,,,2,2,,,2,,6,,,9,1,,1,,17,1,,,,,1,,,22,,1,295,,,,,,,16,1,,1,,,1,,1,8,,,,,,,1,,,,,1
65.1,--/78831/--,390,42500,1.6,1,11,1,1,21,9,,11,4,27,,,2,,1,6,,1,,,9,,,,1,,1,2,,,6,2,,5,,,,,16,,,1,,,2,,,9,,1,129,1,,,1,,,34,,,4,,,,,,1,,,2,,1,,2,,,,1,
68.25,--/78836.8/--,99,96000,0.8,1,6,1,,14,6,,5,,21,,4,5,,,2,,1,,,,4,2,,1,,1,2,,,4,,,5,,1,,,4,,,,,,1,,,33,,,181,1,3,,,,,24,,,1,,,,,,,,,1,,,1,4,,,1,,
